subset_delta_mean_vs_h012,subset_delta_p10_vs_h012,subset_delta_p90_vs_h012,subset_delta_max_vs_h012,subset_beats_h012_rate,uniform_delta_mean_vs_h012,uniform_delta_p90_vs_h012,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,h015_subset_delta_mean,delta_gain_vs_h015_subset,h016_decision,decision_rank,file
-0.00029629683054962163,-0.00029851848522944734,-0.00029473996420142825,-0.00029473996420142825,1.0,-0.00028403824553977717,-0.0002840382455397771,gain_all_k1000_a0.75,gain,all,1000,0.75,250,1000,0.005597960584765066,0.04088660896427987,0.00016464899144879005,-0.00046094582199841165,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k1000_a0.75_97e8957f.csv
-0.00028752736331945746,-0.0002897537718422167,-0.00028596877572514346,-0.00028596877572514346,1.0,-0.000275353426952069,-0.00027535342695206896,gain_all_k700_a0.75,gain,all,700,0.75,240,700,0.004293170769516492,0.04088660896427987,0.00016464899144879005,-0.00045217635476824754,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k700_a0.75_ca0e2ab8.csv
-0.0002824875529264241,-0.00028520883551568904,-0.0002805946102821623,-0.0002805946102821623,1.0,-0.00027003927996585824,-0.0002700392799658582,gain_all_k700_a1,gain,all,700,1.0,240,700,0.005668855524352323,0.05164167766874983,0.00016464899144879005,-0.0004471365443752142,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k700_a1_caabf1c1.csv
-0.0002720333321360352,-0.00027474659244074043,-0.0002701453062566142,-0.0002701453062566142,1.0,-0.0002593282680400395,-0.0002593282680400395,gain_all_k1000_a1,gain,all,1000,1.0,250,1000,0.0073964782681278166,0.05164167766874983,0.00016464899144879005,-0.00043668232358482525,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k1000_a1_9c865eb1.csv
-0.00025566555255255604,-0.000258383274653316,-0.0002537735137646166,-0.0002537735137646166,1.0,-0.0002427912845959383,-0.00024279128459593827,gain_all_k400_a1,gain,all,400,1.0,200,400,0.004087894074972629,0.05164167766874983,0.00016464899144879005,-0.0004203145440013461,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k400_a1_560c6dfe.csv
-0.00025397557280234644,-0.0002562107429685441,-0.0002524120277518705,-0.0002524120277518705,1.0,-0.00024153170326482942,-0.00024153170326482944,gain_all_k400_a0.75,gain,all,400,0.75,200,400,0.0031001358905201224,0.04088660896427987,0.00016464899144879005,-0.0004186245642511365,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k400_a0.75_21ec7b12.csv
-0.0002392052577411836,-0.00024137453675312994,-0.00023766472530071947,-0.00023766472530071947,1.0,-0.0002254860069547545,-0.0002254860069547545,combined_all_k400_a0.75,combined,all,400,0.75,199,400,0.0030545757793401383,0.04088660896427987,0.00016464899144879005,-0.00040385424918997365,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_combined_all_k400_a0.75_ba6e7e09.csv
-0.0002390210314323894,-0.00024120273409915214,-0.00023749304566737602,-0.00023749304566737602,1.0,-0.00022566460357139898,-0.00022566460357139898,gain_all_k1400_a0.75,gain,all,1400,0.75,250,1400,0.00780745088747162,0.04088660896427987,0.00016464899144879005,-0.00040367002288117944,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k1400_a0.75_b5a1a2c2.csv
-0.00023081519817287445,-0.00023390150071345327,-0.00022868468519374264,-0.00022868468519374264,1.0,-0.00021970196152145113,-0.00021970196152145113,gain_all_k700_a1.25,gain,all,700,1.25,240,700,0.0070186187211415075,0.06373900677125643,0.00016464899144879005,-0.0003954641896216645,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k700_a1.25_1504c299.csv
-0.0002190164245840942,-0.0002216952796640649,-0.00021715106429958474,-0.00021715106429958474,1.0,-0.00020560864589389035,-0.00020560864589389035,gain_all_k240_a1,gain,all,240,1.0,158,240,0.0028918736531160605,0.05164167766874983,0.00016464899144879005,-0.00038366541603288424,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k240_a1_68b772b5.csv
-0.00021887226931640064,-0.00022194068621738322,-0.00021674879967130834,-0.00021674879967130834,1.0,-0.00020719632372492297,-0.00020719632372492297,gain_all_k400_a1.25,gain,all,400,1.25,200,400,0.005054087272220837,0.06373900677125643,0.00016464899144879005,-0.0003835212607651907,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k400_a1.25_daab9d6e.csv
-0.0002176371802314934,-0.0002204077199399385,-0.00021568171886539216,-0.00021568171886539216,1.0,-0.00020466068379878255,-0.00020466068379878255,combined_all_k400_a1,combined,all,400,1.0,199,400,0.004014172376774781,0.05164167766874983,0.00016464899144879005,-0.00038228617168028345,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_combined_all_k400_a1_437ce036.csv
-0.00021625434699843455,-0.00021844274376317863,-0.0002147217344118367,-0.0002147217344118367,1.0,-0.0002033207505897392,-0.00020332075058973923,gain_all_k240_a0.75,gain,all,240,0.75,158,240,0.0021983314348469314,0.04088660896427987,0.00016464899144879005,-0.0003809033384472246,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k240_a0.75_847feb11.csv
-0.00020419781039515954,-0.0002062949532794392,-0.000202716159072057,-0.000202716159072057,1.0,-0.00019014790155180757,-0.00019014790155180757,combined_all_k240_a0.75,combined,all,240,0.75,154,240,0.0020638579553441615,0.04088660896427987,0.00016464899144879005,-0.00036884680184394957,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_combined_all_k240_a0.75_06c93b0b.csv
-0.00020008601631733218,-0.00020311658647298255,-0.00019799466922346975,-0.00019799466922346975,1.0,-0.0001971051543837443,-0.00019710515438374428,combined_all_k700_a0.75,combined,all,700,0.75,237,700,0.00486247939068419,0.04088660896427987,0.00016464899144879005,-0.0003647350077661222,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_combined_all_k700_a0.75_368ec3a8.csv
-0.00019762622927144654,-0.000200205009971456,-0.00019581908770143419,-0.00019581908770143419,1.0,-0.00018326084853663742,-0.00018326084853663742,combined_all_k240_a1,combined,all,240,1.0,154,240,0.0027059370252928015,0.05164167766874983,0.00016464899144879005,-0.0003622752207202366,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_combined_all_k240_a1_87b8d488.csv
-0.00019058605516215685,-0.0001936594666586375,-0.00018846539379150837,-0.00018846539379150837,1.0,-0.00017896386102885363,-0.00017896386102885363,gain_all_k1000_a1.25,gain,all,1000,1.25,250,1000,0.009163205154206374,0.06373900677125643,0.00016464899144879005,-0.0003552350466109469,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k1000_a1.25_e13230ef.csv
-0.00018987279372470098,-0.00019292122255603272,-0.00018776490780802796,-0.00018776490780802796,1.0,-0.0001776783450423585,-0.00017767834504235847,gain_all_k240_a1.25,gain,all,240,1.25,158,240,0.0035670068904386635,0.06373900677125643,0.00016464899144879005,-0.000354521785173491,public_subset_big_bet,0,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k240_a1.25_e3877c33.csv
-0.00017750101401734059,-0.0001776906502072961,-0.00017735184007898247,-0.00017735184007898247,1.0,-0.00016999098075298093,-0.00016999098075298093,gain_S_k400_a0.75,gain,S,400,0.75,207,400,0.002781797483706524,0.04088660896427987,0.00016464899144879005,-0.00034215000546613064,public_subset_sensor,1,hitl/h016_public_subset_weight_jepa/submission_h016_gain_S_k400_a0.75_57c59d76.csv
-0.00017198973434985197,-0.00017216521629677943,-0.00017184718805183022,-0.00017184718805183022,1.0,-0.00016422567047916575,-0.00016422567047916578,gain_S_k700_a0.75,gain,S,700,0.75,243,700,0.004448626928365883,0.04088660896427987,0.00016464899144879005,-0.000336638725798642,public_subset_sensor,1,hitl/h016_public_subset_weight_jepa/submission_h016_gain_S_k700_a0.75_88b5e137.csv
-0.00016843123084550244,-0.00017096556607545127,-0.0001666804511028538,-0.0001666804511028538,1.0,-0.00015533523678977585,-0.00015533523678977585,gain_all_k120_a1,gain,all,120,1.0,98,120,0.0016996038334385268,0.05164167766874983,0.00016464899144879005,-0.0003330802222942925,public_subset_sensor,1,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k120_a1_30bf3f38.csv
-0.00016368430734105648,-0.0001657578607490641,-0.0001622429109765106,-0.0001622429109765106,1.0,-0.00015115911267792875,-0.00015115911267792878,gain_all_k120_a0.75,gain,all,120,0.75,98,120,0.001296632853864305,0.04088660896427987,0.00016464899144879005,-0.00032833329878984653,public_subset_sensor,1,hitl/h016_public_subset_weight_jepa/submission_h016_gain_all_k120_a0.75_849c609a.csv
