source,route,h098,curv_marg,badw,badmax,h088,margin
h136,-0.0007622935975881542,-2.7358028241525334e-05,4.431591519901603e-05,0.0,0.0,-0.062132664419270255,0.15944105044829257
h139,-0.0007598668511077312,-2.570516751316317e-05,4.471644342514728e-05,0.0,0.0,-0.06455070911864706,0.15956021539222434
h140,-0.0007598815331013997,-2.5658900143278075e-05,4.4247750663989165e-05,0.0,0.0,-0.06366240274235492,0.15992404006987163
h141,-0.0007611008006488334,-2.6357858148529415e-05,4.424725012714759e-05,0.0,0.0,-0.06355860331484117,0.1597072130453379
