seed,train_days,val_days,final_train_loss,final_val_loss,best_val_loss,positive_mode,normalization,view,device,channels_selected,channel_groups_selected,embedding_dim,embedding_norm_mean,embedding_axis_std_mean,embedding_axis_std_min,embedding_effective_rank,subject_centroid_leakage,adjacent_cosine_mean,random_cosine_mean,temporal_locality_gap,train_sample_mean_l2,train_sample_std_l2
2027,574,126,3.9389878511428833,1.3126766681671143,1.3126766681671143,same_day,subject_channel_token,only_event,mps,11,['event'],24,4.9062933921813965,0.7575178146362305,0.3622422516345978,5.392920553147893,0.18428571428571427,0.449118127933015,0.3604840226093496,0.08863410532366539,0.20115576684474945,0.16784986853599548
2026,574,126,4.460946679115295,1.5284894704818726,1.4882869720458984,same_day,subject_channel_token,only_event,mps,11,['event'],24,4.907841682434082,0.7322291731834412,0.27001842856407166,4.361849733958417,0.18857142857142858,0.45953736464776423,0.3994172401105364,0.060120124537227815,0.14653512835502625,0.18328996002674103
2027,574,126,6.454065203666687,2.1009156703948975,1.533297061920166,same_day,global,only_event,mps,11,['event'],24,4.883130073547363,0.31794166564941406,0.11800677329301834,2.964929179162248,0.17857142857142858,0.8869024339793385,0.8733636878538823,0.013538746125456247,0.06902281194925308,0.0715763121843338
2026,574,126,6.823911905288696,2.0194809436798096,1.663220763206482,same_day,global,only_event,mps,11,['event'],24,4.894033432006836,0.2714531719684601,0.11056659370660782,2.4073144413143988,0.19285714285714287,0.9382961824752283,0.9103257297605708,0.02797045271465748,0.10751678794622421,0.0723535567522049
2027,574,126,7.185015320777893,2.1568443775177,1.7014250755310059,same_day,global,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.90017557144165,0.13444773852825165,0.05632646381855011,2.1513922454709506,0.2642857142857143,0.9874885028687076,0.976698426751123,0.010790076117584646,0.06567998230457306,0.12020547688007355
2027,574,126,4.382165551185608,2.420121669769287,1.7859175205230713,same_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.91837739944458,0.783998966217041,0.25025197863578796,3.2585277630459726,0.21285714285714286,0.35772134854957677,0.23664748123374538,0.12107386731583139,0.5660722255706787,0.12432554364204407
2026,574,126,5.843341112136841,2.9521920680999756,2.1477417945861816,same_day,global,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.902522087097168,0.4980858862400055,0.1767587959766388,1.465206931420717,0.24,0.8207067247534143,0.682292365077613,0.1384143596758013,0.24716003239154816,0.13943250477313995
2026,574,126,4.281007289886475,2.7981252670288086,2.1513094902038574,same_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.9271559715271,0.7260300517082214,0.33026909828186035,2.278896033071767,0.17285714285714285,0.49345329614707095,0.37061001535613036,0.12284328079094059,0.4735446274280548,0.13696013391017914
2026,574,126,7.122077822685242,8.926454544067383,8.610535621643066,adjacent_day,subject_channel_token,only_event,mps,11,['event'],24,4.891554355621338,0.31438231468200684,0.146012544631958,3.649711236809474,0.21285714285714286,0.9078927749740905,0.8853449583053589,0.022547816668731624,0.06560126692056656,0.08673088252544403
2027,574,126,7.098300099372864,8.99340534210205,8.99340534210205,adjacent_day,subject_channel_token,only_event,mps,11,['event'],24,4.8924994468688965,0.1732676476240158,0.08798928558826447,5.124864129945995,0.24285714285714285,0.97310115824575,0.9648245145445284,0.008276643701221609,0.04427947476506233,0.04593817889690399
2026,574,126,7.415711760520935,9.199846267700195,9.082971572875977,adjacent_day,global,only_event,mps,11,['event'],24,4.892345428466797,0.05743620917201042,0.031167510896921158,3.357421591738995,0.20142857142857143,0.9970340763313182,0.9960708846216616,0.0009631917096566411,0.021879928186535835,0.011783896945416927
2026,574,126,7.3366323709487915,9.1142578125,9.107542037963867,adjacent_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.90252685546875,0.14863905310630798,0.051404476165771484,2.4552176499319804,0.18857142857142858,0.980202866723572,0.9709181899609773,0.009284676762594701,0.04188832640647888,0.10882442444562912
2027,574,126,7.228272795677185,9.797018051147461,9.797018051147461,adjacent_day,global,only_event,mps,11,['event'],24,4.888916492462158,0.05946141481399536,0.025062229484319687,4.517973509769504,0.22,0.9965522387753363,0.9958850815676261,0.0006671572077101562,0.017772478982806206,0.012550399638712406
2026,574,126,7.305527448654175,9.935758590698242,9.896505355834961,adjacent_day,global,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.89871072769165,0.08592468500137329,0.03240714967250824,1.7555681550471818,0.25142857142857145,0.9951469524183135,0.9908507996711178,0.004296152747195747,0.06195228546857834,0.08533690869808197
2027,574,126,7.598890542984009,9.90153980255127,9.90153980255127,adjacent_day,global,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.902547359466553,0.044652000069618225,0.013449018821120262,2.6193821976137897,0.24714285714285714,0.9984712071176888,0.9974107202412426,0.0010604868764462205,0.027070732787251472,0.07062314450740814
2027,574,126,7.557364583015442,10.135557174682617,10.082498550415039,adjacent_day,subject_channel_token,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.905076026916504,0.14087070524692535,0.05792337283492088,2.637775042292482,0.19142857142857142,0.9820834144302036,0.9759977995485499,0.0060856148816537114,0.10777278989553452,0.12164127826690674
