file,basename,scenario_count,posterior_delta_mean,posterior_delta_median,posterior_delta_p10,posterior_delta_p90,posterior_delta_max,posterior_beats_current_rate,changed_rows,changed_cells,mean_abs_logit_delta,l1_logit_delta,max_abs_logit_delta,max_abs_prob_delta,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4,cos_h010_bad,proj_h010_bad,cos_e323_bad,proj_e323_bad,cos_e216_bad,proj_e216_bad,cos_e267_bad,proj_e267_bad,cos_e368_q2s1,proj_e368_q2s1,cos_e95_good,proj_e95_good,cos_mixmin_good,proj_mixmin_good,candidate_id,family,alpha,target_subset,cell_mode,k,min_consistency,mean_cell_score_changed,min_consistency_changed,mean_consistency_changed,public_bad_cos_pos_sum,h012_big_bet_gate,h012_extreme_sensor_gate,h012_score,h012_decision,decision_rank
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_all_k1200_a0.7_d33942cf.csv,submission_h012_top_all_k1200_a0.7_d33942cf.csv,27,-0.006446397246018698,-0.007071652057353415,-0.007201429291706466,-0.004693169530876691,-0.002412029801637371,1.0,250,1200,0.3253253485869852,569.3193600272241,8.651048832386786,0.29411027902876097,167,105,141,194,207,194,192,-0.2926608951603593,-4.85862767804117,-0.017796574257906206,-0.3354598334694784,-0.23775871254683062,-6.070233220534044,-0.03222645715424954,-3.095409948732716,-0.2222614342414015,-34.124308450903214,-0.009198917350118026,-0.46806607150190693,-0.04240817018241361,-1.9025066530904762,top_all_k1200_a0.7,top,0.7,all,top,1200,0.55,0.6732463236410142,0.8148148148148148,0.9891358024691359,0.0,True,True,-0.007287653817773731,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_direct_all_a0.6_53cc3fa8.csv,submission_h012_direct_all_a0.6_53cc3fa8.csv,27,-0.006209930981850309,-0.006745652825852726,-0.006859803278385326,-0.0047103394479829225,-0.002739437273464351,1.0,250,1750,0.28589531322189576,500.3167981383176,7.415184713475872,0.2542045318355899,250,250,250,250,250,250,250,-0.29315924233572294,-4.172043840907916,-0.018004413223306263,-0.29092392456257815,-0.23813751653171716,-5.211864383694551,-0.03258586932836517,-2.6830654803246485,-0.22219462451165234,-29.243519809641473,-0.009724689925633382,-0.4241725471569589,-0.04271164079181898,-1.642552483418975,direct_all_a0.6,direct,0.6,all,all,0,0.0,0.47284094835688134,0.5185185185185185,0.9653968253968255,0.0,True,True,-0.007232209574805252,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_all_k800_a0.7_4deb56af.csv,submission_h012_top_all_k800_a0.7_4deb56af.csv,27,-0.006166511339565352,-0.006783095934785257,-0.00690894874509914,-0.004407630502457004,-0.0022097673134748074,1.0,245,800,0.30719732960681817,537.5953268119318,8.651048832386786,0.29411027902876097,105,44,74,147,160,139,131,-0.2892639310427068,-4.799821864317824,-0.016724678385557384,-0.31509666284501764,-0.23554469439904838,-6.010687864566595,-0.030451450447497523,-2.9234488973753634,-0.22169582512984634,-34.02038105606885,-0.009088240212197413,-0.4622023559976842,-0.04187988510961716,-1.877863602392286,top_all_k800_a0.7,top,0.7,all,top,800,0.55,0.9539729721392552,0.8888888888888888,0.9903703703703703,0.0,True,True,-0.006887990892745854,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_direct_all_a0.4_3b0a4ca8.csv,submission_h012_direct_all_a0.4_3b0a4ca8.csv,27,-0.005237594946260354,-0.00559474284226195,-0.00567084314395035,-0.0042378672570155505,-0.002923932474003119,1.0,250,1750,0.1905968754812591,333.5445320922034,4.943456475649652,0.18728850418444387,250,250,250,250,250,250,250,-0.2931592423357226,-2.781362560605163,-0.018004413223303723,-0.1939492830416837,-0.23813751653171694,-3.474576255796232,-0.03258586932836588,-1.7887103202164314,-0.22219462451162938,-19.49567987309212,-0.009724689925631073,-0.28278169810456294,-0.042711640791817336,-1.0950349889459041,direct_all_a0.4,direct,0.4,all,all,0,0.0,0.47284094835688134,0.5185185185185185,0.9653968253968255,0.0,True,True,-0.006372905235519692,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_all_k1200_a0.4_0c2ccc41.csv,submission_h012_top_all_k1200_a0.4_0c2ccc41.csv,27,-0.005197439576522693,-0.005554728040142507,-0.005628886459772823,-0.0041955951678701465,-0.0028920867511622256,1.0,250,1200,0.1859001991925566,325.32534858697403,4.943456475649652,0.18728850418444387,167,105,141,194,207,194,192,-0.2926608951603521,-2.7763586731661554,-0.017796574257919296,-0.19169133341126066,-0.23775871254683476,-3.4687046974478957,-0.032226457154250626,-1.7688056849901221,-0.22226143424137582,-19.499604829084948,-0.009198917350115562,-0.2674663265724339,-0.04240817018241092,-1.0871466589087213,top_all_k1200_a0.4,top,0.4,all,top,1200,0.55,0.6732463236410142,0.8148148148148148,0.9891358024691359,0.0,True,True,-0.006312551526483165,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_all_k800_a0.4_03d15959.csv,submission_h012_top_all_k800_a0.4_03d15959.csv,27,-0.004999040871273231,-0.0053513749256845836,-0.005423290817292516,-0.003993966107211348,-0.002738044284936069,1.0,245,800,0.1755413312038897,307.197329606807,4.943456475649652,0.18728850418444387,105,44,74,147,160,139,131,-0.28926393104269943,-2.742755351038529,-0.016724678385570405,-0.18005523591156863,-0.23554469439905235,-3.4346787797522107,-0.03045145044749855,-1.670542227071635,-0.22169582512982058,-19.440217746322453,-0.009088240212194957,-0.2641156319985928,-0.041879885109614455,-1.0730649156526126,top_all_k800_a0.4,top,0.4,all,top,800,0.55,0.9539729721392552,0.8888888888888888,0.9903703703703703,0.0,True,True,-0.00602939344969773,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_S_k1200_a0.7_b995ec00.csv,submission_h012_top_S_k1200_a0.7_b995ec00.csv,27,-0.004338171390291836,-0.004795177234844883,-0.004858936362430031,-0.0038632194269530994,-0.00011487323354803307,1.0,250,999,0.2650977444682665,463.92105281946635,8.159612096475124,0.15154162030558238,0,0,0,249,250,250,250,-0.31685248244021025,-4.867396865321709,-0.011356552206152355,-0.19808032434835768,-0.2396962290472289,-5.662664862358475,-0.00179669991400803,-0.1596878517116587,-0.010660325376890111,-1.5144708818483237,0.01962298950344954,0.9239029147817193,-0.01974228891121746,-0.8195300338887003,top_S_k1200_a0.7,top,0.7,S,top,1200,0.55,0.659562257883594,0.5555555555555556,0.9712304897490084,0.0,True,True,-0.005635487493626407,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_S_k800_a0.7_71d782ed.csv,submission_h012_top_S_k800_a0.7_71d782ed.csv,27,-0.004320113321941136,-0.004775696360777496,-0.0048395057776281355,-0.003846037395966381,-0.00010833144902899722,1.0,250,800,0.2621698827416534,458.7972947978935,8.159612096475124,0.15154162030558238,0,0,0,197,210,198,195,-0.31630130847468935,-4.858739021823902,-0.011181424558939878,-0.19501809713790438,-0.23948041205601717,-5.657344089571173,-0.0017457565220486647,-0.1551539885040879,-0.01066082025707774,-1.51448169371498,0.01980498073804659,0.9324349205343255,-0.01976167419471343,-0.8203025199414371,top_S_k800_a0.7,top,0.7,S,top,800,0.55,0.8150260450071636,0.8148148148148148,0.9868518518518518,0.0,True,True,-0.005609893718719924,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_S_k1200_a1_aa0927f0.csv,submission_h012_top_S_k1200_a1_aa0927f0.csv,27,-0.004442203414582481,-0.005095068906801071,-0.005186153374779852,-0.003763700609812997,0.001591079666479401,0.9259259259259259,250,999,0.37871106352608136,662.7443611706424,11.656588709246375,0.19128189645118865,0,0,0,249,250,250,250,-0.31685248244020786,-6.953424093316243,-0.011356552206164485,-0.2829718919265098,-0.23969622904723306,-8.089521231940306,-0.0017966999140081605,-0.22812550244522686,-0.010660325376890819,-2.163529831211863,0.019622989503452894,1.3198613068311653,-0.019742288911214767,-1.1707571912693349,top_S_k1200_a1,top,1.0,S,top,1200,0.55,0.659562257883594,0.5555555555555556,0.9712304897490084,0.0,True,True,-0.0055775814862025624,public_equation_jackpot,0
hitl/h012_public_equation_jepa_jackpot/submission_h012_top_S_k800_a1_067b52e5.csv,submission_h012_top_S_k800_a1_067b52e5.csv,27,-0.004422681759448094,-0.005073514672071417,-0.005164670981858047,-0.003745430436627157,0.0015941494875685509,0.9259259259259259,250,800,0.37452840391663417,655.4247068541098,11.656588709246375,0.19128189645118865,0,0,0,197,210,198,195,-0.31630130847468707,-6.941055745462235,-0.011181424558952,-0.2785972816258622,-0.2394804120560214,-8.081920127958448,-0.0017457565220487913,-0.22164855500583996,-0.010660820257078452,-2.163545276735658,0.019804980738049968,1.3320498864777461,-0.019761674194710747,-1.1718607427732453,top_S_k800_a1,top,1.0,S,top,800,0.55,0.8150260450071636,0.8148148148148148,0.9868518518518518,0.0,True,True,-0.005550314134383483,public_equation_jackpot,0
