scenario_name
good_median_r1e-05_full
good_soft_r1e-05_full
good_median_r3e-05_full
e247_r1e-05_full
good_soft_r3e-05_full
e247_r3e-05_full
good_median_r0.0001_full
good_soft_r0.0001_full
good_median_r1e-05_loo0
good_median_r1e-05_loo1
good_median_r1e-05_loo2
good_median_r1e-05_loo3
good_median_r1e-05_loo4
good_median_r1e-05_loo5
good_median_r1e-05_loo6
good_median_r1e-05_loo7
good_median_r1e-05_loo8
good_median_r1e-05_loo9
good_median_r1e-05_loo10
good_median_r1e-05_loo11
good_median_r1e-05_loo12
good_median_r1e-05_loo13
good_median_r1e-05_loo14
good_median_r1e-05_loo15
good_median_r1e-05_loo16
good_median_r1e-05_loo17
good_median_r1e-05_loo18
