candidate_id,file,resolved_path,family,route_public,public_rows,public_mode,alpha_public,route_private,private_rows,private_mode,alpha_private,target_group,row_route_score,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,world_cell_delta_vs_h012,posterior_delta_vs_h012,memory_delta_vs_h012,route_delta_vs_h012,row_route_complete_rate,pre_h024_proxy_score,full_known_h024_pred_public_median,full_known_h024_pred_public_p10,full_known_h024_pred_public_p90,full_known_h024_margin_vs_h012_median,full_known_h024_margin_vs_h012_p10,full_known_h024_margin_vs_h012_p90,full_known_h024_support_better_than_h012,full_known_h024_model_count,pre_h012_h024_pred_public_median,pre_h012_h024_pred_public_p10,pre_h012_h024_pred_public_p90,pre_h012_h024_margin_vs_h012_median,pre_h012_h024_margin_vs_h012_p10,pre_h012_h024_margin_vs_h012_p90,pre_h012_h024_support_better_than_h012,pre_h012_h024_model_count,h025_score,pred_gain_top1200_sum,pred_gain_mean_moved,pred_positive_rate_moved,ood_abs_delta_rate,h040_score
h040_public_route_world_p140_world_high_a0.45_h012_v0_support_b0_all_0985acf7,submission_h040_public_route_world_p140_world_high_a0.45_h012_v0_support_b0_all_0985acf7.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_world_high_a0.45_h012_v0_support_b0_all_0985acf7.csv,public_route,world,140,world_high,0.45,h012,0,support,0.0,all,0.002725467786942207,334,130,0.002979982334716434,0.06530081712701685,0.06316986485280952,3.192290456492996,-0.0014260679172066444,-0.001708677217407707,0.010733244597076436,-0.0006861156367591346,0.2153846153846154,0.01892189218921892,0.5726452334830672,0.569458550116889,0.584728263103443,0.004340214747933502,0.0011280224957130104,0.016478356273972886,0.0,12,0.5609615022594052,0.544855338908206,0.63040060907068,0.007548586233207644,-0.15300291450315462,0.04453059084742156,0.25,12,-3.854202502560705,3.8548167882749906,0.011541367629565837,0.5688622754491018,0.02457142857142857,0.32896341463414636
h040_public_route_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_94945876,submission_h040_public_route_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_94945876.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_94945876.csv,public_route,posterior_world,140,world_high,0.7,h012,0,support,0.0,all,0.0029290150756263495,334,130,0.0029623444621116823,0.08603670206716796,0.08277559017564465,2.595314649748481,-0.0014246707024210654,-0.002007032462128486,0.015646453601084513,-0.000730170014363997,0.2153846153846154,0.01091859185918592,0.5723074426184168,0.5696155939345785,0.5825147223713812,0.004016696265397912,0.0012095349676954248,0.014170896160207969,0.0,12,0.5609380540376302,0.5477887977285119,0.6287197103278457,0.01015786810746988,-0.15589793088436923,0.04272384952974236,0.25,12,-3.888593898698052,3.889208184412338,0.011644335881474068,0.562874251497006,0.02457142857142857,0.39847560975609747
h040_transition_exception_world_p140_world_high_a0.45_h012_v0_support_b0_all_96b84b21,submission_h040_transition_exception_world_p140_world_high_a0.45_h012_v0_support_b0_all_96b84b21.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_world_high_a0.45_h012_v0_support_b0_all_96b84b21.csv,transition_exception,world,140,world_high,0.45,h012,0,support,0.0,all,0.002402328682280032,324,128,0.002875008305788973,0.06530081712701685,0.06161827032293384,3.192290456492996,-0.0013547024805674562,-0.0013441943839943198,0.010797596284160072,-0.0006280994084650716,0.2109375,0.042876787678767875,0.5726207486752568,0.569439663141964,0.5846054417689736,0.004315729940123081,0.0010937348549179937,0.01635553493950347,0.0,12,0.560551352448438,0.5447384193076054,0.6297995706178295,0.007436993005118631,-0.15371239002854842,0.043911838668193794,0.25,12,-3.7670115343540584,3.7676115343540584,0.011628430661586602,0.5648148148148148,0.024,0.4045731707317073
h040_public_route_world_p140_world_high_a0.7_h012_v0_support_b0_all_6c38d486,submission_h040_public_route_world_p140_world_high_a0.7_h012_v0_support_b0_all_6c38d486.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_world_high_a0.7_h012_v0_support_b0_all_6c38d486.csv,public_route,world,140,world_high,0.7,h012,0,support,0.0,all,0.003248852355286972,334,130,0.004597811097388515,0.09801523244461341,0.09826423421540549,4.965785154541477,-0.0018222518318934979,-0.0018770757592981946,0.016916897795696672,-0.0007570820424755132,0.2153846153846154,0.0009900990099009892,0.572706633394171,0.5700608757397635,0.5847285236352916,0.004401614659037267,0.001543558722106786,0.01647861680582151,0.0,12,0.5617895659174924,0.549298102377153,0.6277776681915427,0.011741306277976093,-0.15300607830935012,0.04190779019135112,0.25,12,-3.8581843380725576,3.8588414809297005,0.011553417607573958,0.562874251497006,0.026285714285714287,0.40564024390243897
h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633,submission_h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633.csv,public_route,world,110,all,0.45,h012,0,support,0.0,all,0.0025284202889877976,770,110,0.004488271616598309,0.06530081712701685,0.06939075145007789,3.192290456492996,-0.0013756768719095716,-0.0013943410331361014,0.010843474660826441,-0.0006656869821590382,1.0,-0.1332095709570957,0.5730380451385287,0.5698627468475506,0.5861665122862448,0.004733026403395013,0.0016211390412335103,0.017916605456774728,0.0,12,0.5627287218887415,0.5450401891161677,0.630708967554402,0.007772609859114377,-0.1500825383587923,0.04488897768713226,0.25,12,-1.526015687835026,1.5266156878350259,0.001982617776409123,0.5064935064935064,0.024,0.41722560975609757
h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28,submission_h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28.csv,public_route,world,140,support,0.45,h012,0,support,0.0,all,0.0028450556927484385,758,140,0.0044404905119508455,0.06530081712701685,0.0706344223960177,3.192290456492996,-0.0014315909354445516,-0.0017691248921601025,0.010797939030780966,-0.0007455628810278532,0.9642857142857143,-0.07836908690869088,0.5729853505768259,0.569931130392502,0.5860954978555516,0.004680331841692198,0.0016485865637554387,0.017845591026081534,0.0,12,0.5624321162229113,0.5451437744352735,0.6312072256686531,0.007886970091080303,-0.15068533688856217,0.04540082162262549,0.25,12,-0.3899194899293769,0.39053377564366265,0.0005152160628544328,0.48284960422163586,0.02457142857142857,0.4368902439024391
h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462,submission_h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462.csv,public_route,world,140,all,0.45,h012,0,support,0.0,all,0.002998227561316592,980,140,0.0056735516383503255,0.06530081712701685,0.0767820016739526,3.192290456492996,-0.001572754197834501,-0.0017691248921601025,0.010830227781604024,-0.0007821687343120966,1.0,-0.16032728272827282,0.5732481217611297,0.5702249582003924,0.5870261886918315,0.004943103025995987,0.0020224444049548483,0.018776281862361435,0.0,12,0.5640778244577604,0.5453893235008712,0.6316095871971271,0.008138366753526527,-0.14784383665018147,0.04584182231859635,0.25,12,0.641490817779192,-0.6408765320649064,-0.000653955644964192,0.4775510204081633,0.02457142857142857,0.43932926829268293
h040_public_route_posterior_world_p110_world_high_a0.7_h012_v0_support_b0_all_251c3ba9,submission_h040_public_route_posterior_world_p110_world_high_a0.7_h012_v0_support_b0_all_251c3ba9.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p110_world_high_a0.7_h012_v0_support_b0_all_251c3ba9.csv,public_route,posterior_world,110,world_high,0.7,h012,0,support,0.0,all,0.0024795706498523654,296,106,0.0025436438675929115,0.08603670206716796,0.07891321698152637,2.595314649748481,-0.0012743804654789335,-0.0015785766933475776,0.015668687985280174,-0.0006349519008277615,0.25471698113207547,0.0297029702970297,0.5720201636188429,0.5694712287808306,0.5824671438327828,0.0038788966419363025,0.0010779053737379307,0.013781514114397698,0.0,12,0.5607446873019737,0.5474986697785841,0.6280766289986689,0.00979743725160609,-0.1573451643900684,0.04204855558799967,0.25,12,-4.0427561621189145,4.043356162118915,0.013659987034185523,0.581081081081081,0.024,0.45182926829268294
h040_public_route_world_p110_world_high_a0.7_h012_v0_support_b0_all_7ddf4b85,submission_h040_public_route_world_p110_world_high_a0.7_h012_v0_support_b0_all_7ddf4b85.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p110_world_high_a0.7_h012_v0_support_b0_all_7ddf4b85.csv,public_route,world,110,world_high,0.7,h012,0,support,0.0,all,0.002755930302448411,296,106,0.003937413720524864,0.09801523244461341,0.09281342460734637,4.965785154541477,-0.0016253749969864903,-0.0014545353476818617,0.017030690766729743,-0.0006589198839125784,0.25471698113207547,0.017024202420242024,0.5726216815980207,0.569863514391967,0.5842955998976054,0.004316662862887066,0.0013710057041687819,0.016045693068135327,0.0,12,0.561431646300737,0.5489902538303107,0.6271127813654291,0.011434648808049841,-0.15469874936255776,0.04120342814981963,0.25,12,-4.037346976943547,4.037989834086404,0.013641857547589203,0.5844594594594594,0.025714285714285714,0.46310975609756094
h040_transition_exception_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_9702e1,submission_h040_transition_exception_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_9702e1.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p140_world_high_a0.7_h012_v0_support_b0_all_9702e1.csv,transition_exception,posterior_world,140,world_high,0.7,h012,0,support,0.0,all,0.0025384455350482087,324,128,0.0028071884088937474,0.08603670206716796,0.0804407407777048,2.595314649748481,-0.0013412803259697233,-0.001561191072831404,0.015551024906056933,-0.0006620640469522907,0.2109375,0.0297029702970297,0.5722917416971747,0.5695818104025321,0.5824751889702142,0.003986722962040945,0.001162537969734989,0.014024085673732123,0.0,12,0.5607961671559469,0.5475933852730215,0.6281663549867009,0.009987713654687647,-0.15650255505453817,0.042149387158810815,0.25,12,-3.7933702007986736,3.7939702007986735,0.01170978457036628,0.558641975308642,0.024,0.4652439024390244
