candidate_id,file,resolved_path,family,route_public,public_rows,public_mode,alpha_public,route_private,private_rows,private_mode,alpha_private,target_group,row_route_score,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,world_cell_delta_vs_h012,posterior_delta_vs_h012,memory_delta_vs_h012,route_delta_vs_h012,row_route_complete_rate,pre_h024_proxy_score
h040_public_route_world_p140_all_a0.7_h012_v0_support_b0_all_557feb76,submission_h040_public_route_world_p140_all_a0.7_h012_v0_support_b0_all_557feb76.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_all_a0.7_h012_v0_support_b0_all_557feb76.csv,public_route,world,140,all,0.7,h012,0,support,0.0,all,0.003565527519459674,980,140,0.008784282971764945,0.09801523244461341,0.11943866927051691,4.965785154541477,-0.002013543293267532,-0.0019353516847761124,0.017131158617531745,-0.0008560225243506751,1.0,-0.16995324532453246
h040_public_route_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_de0bcb56,submission_h040_public_route_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_de0bcb56.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_de0bcb56.csv,public_route,posterior_world,140,all,0.7,h012,0,support,0.0,all,0.003278835314183476,979,140,0.0057860706639214785,0.08603670206716796,0.097725295992981,2.595314649748481,-0.001551831046611596,-0.0022045682465027224,0.015913606348192222,-0.0008561396293804418,1.0,-0.16409515951595158
h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462,submission_h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_all_a0.45_h012_v0_support_b0_all_3c160462.csv,public_route,world,140,all,0.45,h012,0,support,0.0,all,0.002998227561316592,980,140,0.0056735516383503255,0.06530081712701685,0.0767820016739526,3.192290456492996,-0.001572754197834501,-0.0017691248921601025,0.010830227781604024,-0.0007821687343120966,1.0,-0.16032728272827282
h040_transition_exception_world_p140_all_a0.7_h012_v0_support_b0_all_ee51a837,submission_h040_transition_exception_world_p140_all_a0.7_h012_v0_support_b0_all_ee51a837.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_all_a0.7_h012_v0_support_b0_all_ee51a837.csv,transition_exception,world,140,all,0.7,h012,0,support,0.0,all,0.0031692432792582103,980,140,0.008874705673701865,0.09801523244461341,0.11797463021878007,4.965785154541477,-0.0019372941835157434,-0.001468970814121802,0.01746981468513308,-0.0007884722662531806,1.0,-0.15625687568756874
h040_transition_exception_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_60be70ce,submission_h040_transition_exception_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_60be70ce.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_60be70ce.csv,transition_exception,posterior_world,140,all,0.7,h012,0,support,0.0,all,0.0028757959461846784,979,140,0.005738721640599265,0.08603670206716796,0.09569708381834245,2.595314649748481,-0.0014806373985881219,-0.0017199252943102758,0.016140652337164232,-0.0007888284251795082,1.0,-0.1552117711771177
h040_public_route_world_p110_all_a0.7_h012_v0_support_b0_all_8a3bbe18,submission_h040_public_route_world_p110_all_a0.7_h012_v0_support_b0_all_8a3bbe18.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p110_all_a0.7_h012_v0_support_b0_all_8a3bbe18.csv,public_route,world,110,all,0.7,h012,0,support,0.0,all,0.0029839428517880267,770,110,0.006940028842658322,0.09801523244461341,0.10794116892230451,4.965785154541477,-0.0017564104038659293,-0.0014859419429144225,0.01709935546827639,-0.0007266807401108893,1.0,-0.15334158415841584
h040_public_route_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_69626934,submission_h040_public_route_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_69626934.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_69626934.csv,public_route,posterior_world,110,all,0.7,h012,0,support,0.0,all,0.002737487711409498,770,110,0.004577027126474517,0.08603670206716796,0.08966937949611255,2.595314649748481,-0.0013604101744130624,-0.0017172707991477576,0.015863246715285925,-0.0007234060702015713,1.0,-0.1464108910891089
h040_transition_exception_world_p140_all_a0.45_h012_v0_support_b0_all_d97e60e1,submission_h040_transition_exception_world_p140_all_a0.45_h012_v0_support_b0_all_d97e60e1.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_all_a0.45_h012_v0_support_b0_all_d97e60e1.csv,transition_exception,world,140,all,0.45,h012,0,support,0.0,all,0.0026834133960132083,980,140,0.0057356717853029055,0.06530081712701685,0.0758408337121216,3.192290456492996,-0.0015144853565957983,-0.0013947167900386392,0.011055920541581853,-0.0007294485035691768,1.0,-0.14184543454345433
h040_transition_exception_world_p110_all_a0.7_h012_v0_support_b0_all_55ef8730,submission_h040_transition_exception_world_p110_all_a0.7_h012_v0_support_b0_all_55ef8730.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p110_all_a0.7_h012_v0_support_b0_all_55ef8730.csv,transition_exception,world,110,all,0.7,h012,0,support,0.0,all,0.0027541678553834816,770,110,0.006947057364483962,0.09801523244461341,0.1021758224573357,4.965785154541477,-0.0016418185997625584,-0.0013318842160414952,0.016159419449047877,-0.0006664980607758037,1.0,-0.13945269526952694
h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633,submission_h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p110_all_a0.45_h012_v0_support_b0_all_6d031633.csv,public_route,world,110,all,0.45,h012,0,support,0.0,all,0.0025284202889877976,770,110,0.004488271616598309,0.06530081712701685,0.06939075145007789,3.192290456492996,-0.0013756768719095716,-0.0013943410331361014,0.010843474660826441,-0.0006656869821590382,1.0,-0.1332095709570957
