bucket,cells,cell_share,posterior_gain_sum,posterior_gain_share,mean_gain,mean_alignment,targets
agree,486,0.405,3.5059012472869395,0.2796714325176345,0.007213788574664485,0.16695568496124055,"Q1,Q2,Q3,S1,S2,S3,S4"
disagree,714,0.595,9.029884820408327,0.7203285674823655,0.012646897507574688,-1.2833883593737379,"Q1,Q2,Q3,S1,S2,S3,S4"
high_align_q75,300,0.25,2.8994840066214107,0.23129654502427927,0.009664946688738036,0.25691574321633787,"Q1,Q2,Q3,S1,S2,S3,S4"
high_align_q60,480,0.4,3.4875827100089802,0.2782101330682792,0.007265797312518709,0.16903635700608266,"Q1,Q2,Q3,S1,S2,S3,S4"
high_rel_q60,483,0.4025,4.943533130353886,0.39435366108339837,0.010235058240898315,-0.7102214119739176,"Q1,Q2,Q3,S1,S2,S3,S4"
high_align_and_rel,196,0.16333333333333333,1.2721527060323206,0.10148168604365859,0.006490575030777146,0.1683779333735338,"Q1,Q2,Q3,S1,S2,S3,S4"
low_align_or_low_rel,688,0.5733333333333334,9.798688373729188,0.7816572746866205,0.014242279612978472,-1.2809136351500987,"Q1,Q2,Q3,S1,S2,S3,S4"
