variant,selected_cells,selected_rows,move_l1,move_l2,target_mix,cosine_h088,cosine_h149,cosine_h150
cohort_memory_balanced,360,181,105.84035429413612,6.730495642257368,"{'Q2': 90, 'S2': 86, 'Q3': 85, 'S1': 53, 'S3': 46}",-0.19610881028462812,-0.032970127687788155,-0.04117446830371423
cohort_memory_stage_heavy,430,203,155.50873390578533,9.108945002812273,"{'S2': 95, 'Q2': 90, 'Q3': 85, 'S1': 85, 'S3': 75}",-0.19130730700116685,-0.04437507247713749,-0.05561477018910039
cohort_memory_jackpot,520,217,222.968197488955,11.723578444582623,"{'S2': 95, 'S3': 95, 'Q2': 90, 'S1': 90, 'Q3': 85, 'S4': 35, 'Q1': 30}",-0.2099617399716139,-0.04916957653664943,-0.06686365313729344
