spec_name,bundle_pool_rows,added_cells,bundle_score
id04_s1_bundle_closure,1,1,0.0007302474318247884
id06_s2_margin_bundle,4,0,0.0
id06_stage_margin_bundle,6,0,0.0
route_tail_plus_margin_bundle,5,0,0.0
