row,h120_row_sensor_raw,h120_row_sensor_cells,h120_row_sensor_max_gain,h120_row_sensor_mean_h088,h120_row_sensor_rank
205,0.01756521579541786,2.0,0.0111652114288583,0.3880071428571429,1.0
195,0.017166888242613216,7.0,0.0072171435909333,0.6319238095238096,0.996
62,0.01638632180242191,5.0,0.0032378230387287,0.5673714285714286,0.992
219,0.015941895142574887,6.0,0.0037254175643018,0.6299571428571429,0.988
228,0.015824885101244197,4.0,0.0101554042959463,0.42966122448979593,0.984
30,0.014689697442021941,5.0,0.0041292264625568,0.5395714285714286,0.98
221,0.014645604421798011,3.0,0.007563371208552,0.37993061224489794,0.976
214,0.012495745004734982,4.0,0.0029143943186809,0.5711821428571429,0.972
26,0.012318299605021723,6.0,0.0061888647582266,0.5272530612244898,0.968
244,0.012204708500828759,2.0,0.0050830611888748,0.6583714285714286,0.964
207,0.011657797530621456,4.0,0.0043291181176714,0.6025714285714285,0.96
236,0.011031479070119782,5.0,0.0028056141880203,0.6772244897959183,0.956
92,0.010929800915864792,5.0,0.0066963892820723,0.37542448979591836,0.952
74,0.009897545155967535,5.0,0.0030299014303315,0.5515714285714286,0.948
229,0.009427702261287061,5.0,0.0046080725317702,0.5989836734693877,0.944
249,0.009113479202762802,3.0,0.0083244644712191,0.5602163265306123,0.94
84,0.008785179480805252,4.0,0.0022798014163463,0.7125020408163266,0.936
107,0.008754770608024228,5.0,0.0041632362866571,0.5991428571428571,0.932
156,0.008208079345230566,4.0,0.0028308040153192,0.567869387755102,0.928
14,0.008022675734116138,4.0,0.002408268711629,0.6086816326530613,0.924
126,0.007756473562111428,3.0,0.0028874317465593,0.4052,0.92
119,0.007554837215404278,6.0,0.0020429377482854,0.6168979591836735,0.916
19,0.007284049541621707,3.0,0.0029364561654092,0.5845714285714286,0.912
246,0.007113345260910209,1.0,0.0057022071480689,0.35636326530612245,0.908
224,0.007028190895953058,4.0,0.004508403587583,0.4152489795918367,0.904
12,0.00688685417091397,5.0,0.0028950057488527,0.7499551020408164,0.9
40,0.006766963467598313,4.0,0.0023608793749699,0.5882222222222223,0.896
83,0.006698736361075744,4.0,0.0027862466739209,0.5870081632653061,0.892
183,0.006613257499871369,4.0,0.003746809937669,0.6300734693877551,0.888
193,0.006304601500006778,3.0,0.0045825588209913,0.6127020408163266,0.884
213,0.006276898373633044,3.0,0.0022564665683207,0.4257428571428572,0.88
55,0.006097106649108911,4.0,0.0019202326185956,0.5767428571428571,0.876
122,0.005876907716403901,5.0,0.0021901484649076,0.6021551020408163,0.872
86,0.005874245289999618,2.0,0.0025771348295413,0.5892326530612245,0.868
82,0.005806438381716298,5.0,0.0024681998885398,0.6120734693877551,0.864
5,0.005604895433983844,2.0,0.0037148103146871,0.6184214285714286,0.86
222,0.005588416581180352,6.0,0.0015701629928182,0.6302285714285715,0.856
4,0.005587393272024968,5.0,0.0019778712565452,0.6197020408163265,0.852
199,0.005407996207627246,3.0,0.0026326212209057,0.6222040816326532,0.848
99,0.00538319280206858,5.0,0.0052966735371283,0.6017142857142856,0.844
73,0.005349227190457246,3.0,0.0027318630683736,0.6855836734693879,0.84
16,0.0051313224491466095,4.0,0.0034664540931523,0.623326530612245,0.836
176,0.004953766209379604,3.0,0.0026930253401212,0.42410204081632646,0.832
218,0.0048498088560519,4.0,0.0027206927627624,0.6723510204081633,0.828
75,0.004817234957940122,3.0,0.0018483523540639,0.45858775510204086,0.824
159,0.004775889596424848,5.0,0.0026469921616191,0.19870204081632653,0.82
25,0.004736118113446357,3.0,0.0026145395888352,0.5616775510204082,0.816
215,0.004618934749464306,3.0,0.0022204763590698,0.5686775510204082,0.812
