group_mode,neighbors,weights,threshold,oof_original_cells,oof_original_gain_sum,oof_original_positive_gain_rate,oof_kept_cells,oof_kept_gain_sum,oof_kept_positive_gain_rate,oof_removed_cells,oof_removed_gain_sum,oof_gain_delta,active_subjects,positive_subjects,negative_subjects,min_subject_improvement,mean_predicted_gain,policy_key
target_expert,3,uniform,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.11287161146016614,target_expert__knn3__uniform__thr-0.10
target_expert,3,distance,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.11346807272157804,target_expert__knn3__distance__thr-0.10
target_expert,5,uniform,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10005363298376352,target_expert__knn5__uniform__thr-0.10
target_expert,5,distance,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.1014006085873096,target_expert__knn5__distance__thr-0.10
target_expert,7,uniform,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10588243966132777,target_expert__knn7__uniform__thr-0.10
target_expert,7,uniform,-0.05,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10588243966132777,target_expert__knn7__uniform__thr-0.05
target_expert,7,distance,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10473591150296287,target_expert__knn7__distance__thr-0.10
target_expert,7,distance,-0.05,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10473591150296287,target_expert__knn7__distance__thr-0.05
target_expert,11,uniform,-0.1,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10862711494470716,target_expert__knn11__uniform__thr-0.10
target_expert,11,uniform,-0.05,44,5.0270437845670415,0.6818181818181818,38,5.857715627043963,0.7631578947368421,6,-0.8306718424769222,0.8306718424769217,6,2,1,-0.3558171131237646,0.10862711494470716,target_expert__knn11__uniform__thr-0.05
