q_source,row_prior,subset_size,label_mode,particles
h012,uniform,70,sample,36
h012,uniform,70,temperature_sample,24
h012,uniform,70,map,8
h012,uniform,95,sample,36
h012,uniform,95,temperature_sample,24
h012,uniform,95,map,8
h012,uniform,125,sample,36
h012,uniform,125,temperature_sample,24
h012,uniform,125,map,8
h012,uniform,155,sample,36
h012,uniform,155,temperature_sample,24
h012,uniform,155,map,8
h012,uniform,190,sample,36
h012,uniform,190,temperature_sample,24
h012,uniform,190,map,8
h012,uniform,230,sample,36
h012,uniform,230,temperature_sample,24
h012,uniform,230,map,8
h012,h019_inclusion_prob,70,sample,36
h012,h019_inclusion_prob,70,temperature_sample,24
h012,h019_inclusion_prob,70,map,8
h012,h019_inclusion_prob,95,sample,36
h012,h019_inclusion_prob,95,temperature_sample,24
h012,h019_inclusion_prob,95,map,8
h012,h019_inclusion_prob,125,sample,36
h012,h019_inclusion_prob,125,temperature_sample,24
h012,h019_inclusion_prob,125,map,8
h012,h019_inclusion_prob,155,sample,36
h012,h019_inclusion_prob,155,temperature_sample,24
h012,h019_inclusion_prob,155,map,8
h012,h019_inclusion_prob,190,sample,36
h012,h019_inclusion_prob,190,temperature_sample,24
h012,h019_inclusion_prob,190,map,8
h012,h019_inclusion_prob,230,sample,36
h012,h019_inclusion_prob,230,temperature_sample,24
h012,h019_inclusion_prob,230,map,8
h012,h019_row_score,70,sample,36
h012,h019_row_score,70,temperature_sample,24
h012,h019_row_score,70,map,8
h012,h019_row_score,95,sample,36
h012,h019_row_score,95,temperature_sample,24
h012,h019_row_score,95,map,8
h012,h019_row_score,125,sample,36
h012,h019_row_score,125,temperature_sample,24
h012,h019_row_score,125,map,8
h012,h019_row_score,155,sample,36
h012,h019_row_score,155,temperature_sample,24
h012,h019_row_score,155,map,8
h012,h019_row_score,190,sample,36
h012,h019_row_score,190,temperature_sample,24
h012,h019_row_score,190,map,8
h012,h019_row_score,230,sample,36
h012,h019_row_score,230,temperature_sample,24
h012,h019_row_score,230,map,8
h012,h019_row_weight,70,sample,36
h012,h019_row_weight,70,temperature_sample,24
h012,h019_row_weight,70,map,8
h012,h019_row_weight,95,sample,36
h012,h019_row_weight,95,temperature_sample,24
h012,h019_row_weight,95,map,8
h012,h019_row_weight,125,sample,36
h012,h019_row_weight,125,temperature_sample,24
h012,h019_row_weight,125,map,8
h012,h019_row_weight,155,sample,36
h012,h019_row_weight,155,temperature_sample,24
h012,h019_row_weight,155,map,8
h012,h019_row_weight,190,sample,36
h012,h019_row_weight,190,temperature_sample,24
h012,h019_row_weight,190,map,8
h012,h019_row_weight,230,sample,36
h012,h019_row_weight,230,temperature_sample,24
h012,h019_row_weight,230,map,8
h012,h019_mean_abs_logit_move_to_proxy,70,sample,36
h012,h019_mean_abs_logit_move_to_proxy,70,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,70,map,8
h012,h019_mean_abs_logit_move_to_proxy,95,sample,36
h012,h019_mean_abs_logit_move_to_proxy,95,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,95,map,8
h012,h019_mean_abs_logit_move_to_proxy,125,sample,36
h012,h019_mean_abs_logit_move_to_proxy,125,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,125,map,8
h012,h019_mean_abs_logit_move_to_proxy,155,sample,36
h012,h019_mean_abs_logit_move_to_proxy,155,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,155,map,8
h012,h019_mean_abs_logit_move_to_proxy,190,sample,36
h012,h019_mean_abs_logit_move_to_proxy,190,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,190,map,8
h012,h019_mean_abs_logit_move_to_proxy,230,sample,36
h012,h019_mean_abs_logit_move_to_proxy,230,temperature_sample,24
h012,h019_mean_abs_logit_move_to_proxy,230,map,8
h012,h030_score_identity_combo,70,sample,36
h012,h030_score_identity_combo,70,temperature_sample,24
h012,h030_score_identity_combo,70,map,8
h012,h030_score_identity_combo,95,sample,36
h012,h030_score_identity_combo,95,temperature_sample,24
h012,h030_score_identity_combo,95,map,8
h012,h030_score_identity_combo,125,sample,36
h012,h030_score_identity_combo,125,temperature_sample,24
h012,h030_score_identity_combo,125,map,8
h012,h030_score_identity_combo,155,sample,36
h012,h030_score_identity_combo,155,temperature_sample,24
h012,h030_score_identity_combo,155,map,8
h012,h030_score_identity_combo,190,sample,36
h012,h030_score_identity_combo,190,temperature_sample,24
h012,h030_score_identity_combo,190,map,8
h012,h030_score_identity_combo,230,sample,36
h012,h030_score_identity_combo,230,temperature_sample,24
h012,h030_score_identity_combo,230,map,8
h012,h030_score_no_h012_combo,70,sample,36
h012,h030_score_no_h012_combo,70,temperature_sample,24
h012,h030_score_no_h012_combo,70,map,8
