q_source,row_prior,subset_size,label_mode,best_mae,median_mae,best_spearman,n_particles
h015feedback,h019_row_score,230,sample,0.0003522748203631941,0.0015115511979874106,0.9714285714272335,36
h015feedback,uniform,230,sample,0.00035443043667594614,0.0011571204679932728,0.9654135338332568,36
h015feedback,h013_late_social_phone,125,sample,0.00035596097876240804,0.0019317959610213307,0.9804511278181987,36
h015feedback,h019_mean_abs_logit_move_to_proxy,190,sample,0.00035859403409006687,0.0017252014310950405,0.9609022556377743,36
h012,h030_score_joint_vector_row,230,sample,0.00035881168186340326,0.00334094170222053,0.9187969924799377,36
h020vector,h030_score_no_h012_combo,230,sample,0.0003589873236280234,0.001200516355312466,0.9413533834573503,36
posterior_vector_mid,h035_private_safe_score,190,sample,0.0003606475601616955,0.001914495813027431,0.968421052630245,36
h015feedback,h019_row_weight,155,sample,0.00036239568165436203,0.0020640520688654934,0.9639097744347624,36
posterior_vector_mid,h019_inclusion_prob,155,sample,0.00036337700531496447,0.0020320424683332363,0.9548872180437976,36
h018hard,h019_mean_abs_logit_move_to_proxy,230,temperature_sample,0.0003644453323247762,0.0025208253449578283,0.9338345864648794,24
h015feedback,h030_score_memory_public_combo,230,sample,0.0003656832733555842,0.0016952596774472031,0.9593984962392801,36
h012posterior,h019_inclusion_prob,95,temperature_sample,0.0003676173630926485,0.0025815793570171655,0.9428571428558442,24
joint_hard_mid,h013_body_calendar,230,sample,0.00036978966540317834,0.0014123784892670895,0.974436090224222,36
posterior_vector_mid,h019_row_score,125,sample,0.0003725156162093349,0.0023745591329008544,0.9428571428558442,36
h017joint,h019_row_weight,230,sample,0.0003740309715930192,0.0015429255988828076,0.9774436090212101,36
h020vector,h030_score_identity_combo,230,temperature_sample,0.000374773204422788,0.0021905769127553345,0.9563909774422918,24
h015feedback,h030_score_public_row_subset,230,sample,0.0003747836437647755,0.0012539012320418774,0.9744360902242218,36
h020vector,h035_private_safe_score,125,sample,0.00037636507518892673,0.0016414318900249093,0.9353383458633734,36
h015feedback,h035_private_safe_score,230,sample,0.00037654655466121746,0.001502921998447759,0.9654135338332568,36
h015feedback,h030_score_memory_public_combo,125,sample,0.00037696511007280124,0.0019344985111355382,0.9609022556377745,36
h018hard,h035_score_public_row_subset,230,sample,0.0003780078160769227,0.0012382989748948785,0.9774436090212104,36
h012posterior,h019_inclusion_prob,155,sample,0.00037897433275720213,0.0014008197243306226,0.9428571428558443,36
joint_hard_mid,h019_row_score,230,temperature_sample,0.0003825157732709898,0.003374489628029509,0.948872180449821,24
h017joint,h030_score_public_row_subset,190,temperature_sample,0.0003832460291848894,0.0018193546786121047,0.932330827066385,24
h012,h035_score_identity_combo,190,sample,0.0003843786453658895,0.0029828401695775955,0.9518796992468093,36
posterior_vector_mid,h019_inclusion_prob,190,temperature_sample,0.0003848091363658014,0.002096904254932811,0.9548872180437976,24
h015feedback,h030_score_memory_public_combo,190,sample,0.0003871378205986863,0.0017444575663088922,0.9669172932317511,36
h015feedback,h035_private_safe_score,125,sample,0.00038857458006322823,0.00203387580017415,0.939849624058856,36
h012posterior,h030_score_no_h012_combo,190,temperature_sample,0.00038864714307236417,0.0020806791550436058,0.9443609022543386,24
h012posterior,h030_score_no_h012_combo,230,sample,0.0003898676916098369,0.0013492852728664768,0.9699248120287393,36
h012posterior,uniform,155,sample,0.0003901581264810417,0.0019205125434880843,0.9413533834573502,36
h017joint,h030_score_public_row_subset,230,sample,0.0003904757210375965,0.0012696882126687304,0.9533834586453034,36
posterior_vector_mid,h030_score_no_h012_combo,230,sample,0.00039080860283725383,0.00144864840115523,0.9879699248106693,36
h018hard,h035_route_translator_score,230,sample,0.00039229310251359813,0.0014226175280037186,0.9729323308257276,36
h018hard,h035_private_safe_score,230,sample,0.00039363947731256636,0.0012312547429612173,0.9789473684197044,36
h017joint,h035_route_translator_score,95,temperature_sample,0.000393661327152424,0.002830346327208334,0.8872180451115602,24
posterior_vector_mid,h019_mean_abs_logit_move_to_proxy,230,sample,0.0003945661345053157,0.001430326991069142,0.9624060150362684,36
joint_hard_mid,h035_route_translator_score,125,sample,0.0003965082662701276,0.0022726602896044135,0.9548872180437978,36
h018hard,h019_row_score,230,sample,0.00039656315358776035,0.0014064610634709866,0.9699248120287393,36
h017joint,h013_late_social_phone,230,temperature_sample,0.0003992727924102017,0.002407429216671986,0.9383458646603617,24
h015feedback,h013_body_calendar,190,sample,0.00039954875199333837,0.002262751168537842,0.9578947368407861,36
joint_hard_mid,h019_row_score,190,sample,0.00039971338147839797,0.0012611635588661496,0.9398496240588559,36
joint_hard_mid,h019_row_weight,190,temperature_sample,0.0004000723622772568,0.002482631540344466,0.9548872180437976,24
h012,h035_route_translator_score,230,sample,0.00040016228347582546,0.002771832773063464,0.9894736842091636,36
joint_hard_mid,h019_inclusion_prob,155,sample,0.0004001805501011164,0.0013960878656608154,0.9684210526302452,36
h017joint,h030_score_memory_public_combo,190,sample,0.00040024190057481504,0.0017800899299249052,0.9413533834573502,36
h017joint,uniform,230,sample,0.0004011950233909083,0.0015568208742420286,0.9744360902242218,36
h017joint,h013_body_calendar,190,sample,0.0004027445790140578,0.0014222164355056546,0.9819548872166926,36
h017joint,h013_calendar_pay_weekend,230,sample,0.00040471575544958146,0.0018155801191853213,0.9699248120287395,36
h017joint,h035_score_identity_combo,155,sample,0.00040482963478962846,0.0023037837849087636,0.9593984962392803,36
posterior_vector_mid,uniform,155,temperature_sample,0.0004058938996895161,0.003166296391929174,0.9097744360889727,24
posterior_vector_mid,h030_score_joint_vector_row,230,sample,0.00040590122462081464,0.0015929901063708863,0.9624060150362683,36
h020vector,h030_score_memory_public_combo,230,sample,0.000406054160050091,0.001276378346419155,0.9864661654121751,36
h015feedback,h030_score_no_h012_combo,230,sample,0.00040605677060714663,0.0016237689410799603,0.9654135338332569,36
h018hard,h030_score_public_row_subset,190,temperature_sample,0.0004061111739002229,0.00211223337389358,0.9744360902242217,24
joint_hard_mid,h030_score_public_row_subset,155,sample,0.00040752221039288227,0.0023615702187548566,0.9473684210513267,36
h012,h030_score_memory_public_combo,190,sample,0.0004083232352489639,0.0018651678337923425,0.9609022556377743,36
h017joint,h013_late_social_phone,230,sample,0.0004083629775360726,0.0016768539976425526,0.957894736840786,36
h018hard,h035_score_identity_combo,190,sample,0.0004085077434052657,0.0015968619288655233,0.968421052630245,36
h012posterior,h035_private_safe_score,190,sample,0.00040913029540529556,0.0018622942946540139,0.975939849622716,36
h020vector,h019_mean_abs_logit_move_to_proxy,95,sample,0.00040967043988773534,0.002193419812416628,0.9458646616528326,36
h017joint,h030_score_joint_vector_row,190,sample,0.00041020414464179155,0.0018055817593176473,0.9578947368407861,36
posterior_vector_mid,h030_score_joint_vector_row,125,sample,0.00041047757033370845,0.0018233497343786726,0.9789473684197044,36
h017joint,h019_mean_abs_logit_move_to_proxy,230,sample,0.00041069472745582813,0.0016028016650382205,0.9624060150362684,36
joint_hard_mid,h030_score_public_row_subset,190,sample,0.00041124550846966543,0.002016041370032376,0.9503759398483151,36
h018hard,h013_body_calendar,190,sample,0.00041133739786611436,0.0017726558194342858,0.9398496240588559,36
joint_hard_mid,uniform,155,sample,0.0004125012951605735,0.0016325623013841882,0.9609022556377742,36
h020vector,h019_row_weight,230,sample,0.0004146611492221875,0.001634180603295537,0.9774436090212103,36
joint_hard_mid,h030_score_joint_vector_row,230,temperature_sample,0.00041494158453997366,0.002532292997704577,0.8842105263145718,24
h020vector,h030_score_identity_combo,155,temperature_sample,0.00041551946263705057,0.0019289443061932922,0.975939849622716,24
joint_hard_mid,h035_route_translator_score,230,sample,0.0004158517658218931,0.0015160634996658374,0.9624060150362687,36
h012,h013_body_calendar,95,sample,0.0004162237211260439,0.0040184017420623434,0.921804511276926,36
h017joint,h019_row_weight,125,sample,0.00041676620457281675,0.0022313774152228523,0.9248120300739142,36
h012,h035_private_safe_score,230,sample,0.0004168606616858163,0.0036701201991784825,0.975939849622716,36
h015feedback,h013_late_social_phone,190,temperature_sample,0.00041774594320598805,0.003486044905721699,0.957894736840786,24
h012,h035_score_public_row_subset,230,sample,0.0004178961041678879,0.0033967082936927602,0.9473684210513267,36
h015feedback,h019_row_weight,95,sample,0.0004182943924502775,0.0021645366282834286,0.939849624058856,36
h012,h030_score_joint_vector_row,190,sample,0.00041872828369527717,0.002110888525203392,0.956390977442292,36
joint_hard_mid,h019_inclusion_prob,95,sample,0.0004189940717691649,0.0017457844075325288,0.9563909774422916,36
h015feedback,h019_inclusion_prob,190,sample,0.0004190157270952472,0.001837609382059722,0.9654135338332568,36
h018hard,h030_score_no_h012_combo,190,temperature_sample,0.0004190716949006758,0.002343921509716373,0.8406015037582408,24
h012posterior,h013_calendar_pay_weekend,190,sample,0.00041966408998062347,0.0018376851361096218,0.9849624060136811,36
h020vector,h019_inclusion_prob,155,sample,0.00042019895455868323,0.001483895337068119,0.9639097744347627,36
joint_hard_mid,h035_route_translator_score,230,temperature_sample,0.0004207383359057284,0.002908277665676653,0.9308270676678909,24
h012,h030_score_identity_combo,125,sample,0.0004211139239422176,0.00263521982838766,0.9548872180437975,36
posterior_vector_mid,h013_calendar_pay_weekend,230,sample,0.00042149287946277174,0.001269540126473675,0.9548872180437975,36
joint_hard_mid,h019_row_weight,230,temperature_sample,0.00042151286491069664,0.002887876039113827,0.9473684210513268,24
h012posterior,uniform,230,temperature_sample,0.0004219481473770609,0.0026624889927076532,0.9578947368407861,24
h012posterior,h035_private_safe_score,155,sample,0.00042197941126345445,0.002006830104488228,0.9699248120287391,36
posterior_vector_mid,h035_private_safe_score,230,sample,0.0004222063827984361,0.0019387606912716717,0.9624060150362684,36
h020vector,h019_inclusion_prob,190,temperature_sample,0.00042301838229057175,0.00323916449917784,0.914285714284455,24
joint_hard_mid,h030_score_memory_public_combo,230,temperature_sample,0.0004230271180787349,0.002652137456372844,0.9654135338332568,24
h015feedback,h013_late_social_phone,230,sample,0.00042347084964407977,0.0016095272047303188,0.9548872180437976,36
joint_hard_mid,h030_score_joint_vector_row,190,sample,0.00042371481841629594,0.001513167489016475,0.9699248120287393,36
h020vector,h030_score_joint_vector_row,230,sample,0.00042496267352507157,0.0013615697114815195,0.9278195488709026,36
h017joint,h019_row_score,230,temperature_sample,0.0004250770697227974,0.0026559523267665466,0.9112781954874668,24
h018hard,h013_late_social_phone,155,sample,0.0004250918045371676,0.0020077386437426627,0.9518796992468094,36
joint_hard_mid,h013_late_social_phone,155,sample,0.0004254067808602306,0.001891437500773242,0.9082706766904786,36
h017joint,h030_score_public_row_subset,95,sample,0.0004263359811488087,0.002009661199822943,0.9473684210513267,36
h015feedback,h030_score_identity_combo,190,sample,0.000426518622397059,0.001458013352393823,0.9593984962392802,36
h015feedback,h019_mean_abs_logit_move_to_proxy,230,sample,0.00042654814387610256,0.0014268641712186943,0.9593984962392802,36
h018hard,h019_inclusion_prob,230,sample,0.0004270439828866061,0.0014428059302134676,0.9819548872166928,36
h012posterior,h035_score_identity_combo,190,sample,0.0004278748069246551,0.0018694286798563455,0.9503759398483151,36
h018hard,h035_score_public_row_subset,230,temperature_sample,0.00042874328442503863,0.0030142977457660648,0.9263157894724083,24
