particle,q_source,row_prior,subset_size,label_mode,mae,rmse,max_abs,spearman,mean_pred_delta,std_pred_delta,posterior_weight
29177,h018hard,h019_row_weight,155,sample,0.00020282497980678664,0.0002499430466640568,0.0005151462723111833,0.9699248120287393,0.009352602049142513,0.001320726998175604,0.015390495275374795
11632,h012posterior,h035_score_public_row_subset,155,sample,0.00022677974517686184,0.0003564686073863327,0.0010959125168113742,0.8902255639085483,0.009425738441590966,0.0015366070348541297,0.011744157403187306
11140,h012posterior,h035_route_translator_score,95,temperature_sample,0.0002518897033673146,0.00029866890092485515,0.0005753738014138195,0.8661654135326415,0.009398660354591661,0.0016243118703207996,0.008845617582379067
37899,h020vector,h030_score_public_row_subset,230,sample,0.0002541750242728994,0.0004143043670155871,0.001419997843278651,0.9729323308257277,0.009396650794307694,0.0015460850157030237,0.008620353787411255
55037,joint_hard_mid,h013_late_social_phone,230,sample,0.000268444255857373,0.00044373431755265593,0.0013117556065692388,0.8842105263145716,0.009480077765312903,0.0015354866195285935,0.007337948383407087
53693,joint_hard_mid,h035_score_identity_combo,155,temperature_sample,0.0002784963812657767,0.000521349859849971,0.0017789989178721693,0.8857142857130659,0.00942606201655059,0.0016731812602879155,0.006550843992188713
13416,h012posterior,h013_late_social_phone,230,sample,0.00028065942575539426,0.0003632181633246545,0.0008272174137925348,0.8781954887205949,0.009428016518447702,0.0015458367900631441,0.006392836671149466
18237,h015feedback,h035_route_translator_score,190,sample,0.00028747840141707187,0.0004310086660317761,0.0011177534650250592,0.8210526315778166,0.009505233386397319,0.0015622653067345314,0.005919236836211379
40327,h020vector,h035_private_safe_score,230,sample,0.00028944891690062203,0.00048269342920801686,0.0015453796649450655,0.9624060150362687,0.009307376500311977,0.0015314244486992579,0.005789031092867717
25576,h017joint,h035_score_public_row_subset,190,sample,0.00029356982924164674,0.00041622317816507077,0.0011999586264954953,0.8751879699236068,0.00924489121940955,0.0014619655253216887,0.005525917546623232
23634,h017joint,h030_score_no_h012_combo,230,temperature_sample,0.0002936967732801559,0.0004713796127911395,0.00167020103417472,0.9278195488709027,0.009122329200107918,0.0012858794094014149,0.005518005093794083
28036,h018hard,uniform,190,sample,0.0002941274509513711,0.0003454113092851811,0.0005297751450809938,0.8556390977431825,0.009243699586933626,0.0015401746443550045,0.005491245175253013
46344,posterior_vector_mid,h035_score_public_row_subset,155,temperature_sample,0.0002945095406747805,0.00037999923357820014,0.0011571827707061739,0.9458646616528327,0.009432457001128231,0.0012490719481085273,0.00546761290043437
2404,h012,h030_score_identity_combo,230,sample,0.00029502961369763165,0.0004766064260512522,0.0013393215435089593,0.947368421051327,0.00940258446096661,0.0014424135363523877,0.0054356096934914545
43193,posterior_vector_mid,h019_row_weight,230,sample,0.00029559163694067885,0.00041375178282239964,0.0012659692606803077,0.914285714284455,0.009486520165787268,0.0013468702397139247,0.005401235601456492
46421,posterior_vector_mid,h035_score_public_row_subset,190,temperature_sample,0.000296718184641063,0.00038428128870859326,0.0010350026395062068,0.975939849622716,0.0091699320301608,0.0014125661996810352,0.005332987606484789
35050,h020vector,uniform,230,sample,0.00029689573126934915,0.0005189333526681275,0.0019161972943029897,0.8751879699236067,0.009447759978615813,0.0013906136551074001,0.005322310503530258
4015,h012,h030_score_memory_public_combo,230,sample,0.00029919855663702616,0.00045042227285887744,0.0015229089439255175,0.9458646616528326,0.009507601571519197,0.0014926802361333194,0.005185747035634414
43458,posterior_vector_mid,h019_mean_abs_logit_move_to_proxy,155,sample,0.00030240659196356553,0.0005026751482467211,0.0017340034061213844,0.9187969924799375,0.009371163492446549,0.0013685194508335594,0.005001323416216741
26046,h017joint,h035_score_identity_combo,230,sample,0.0003064822143519647,0.0005402029710890212,0.002053413582452023,0.8451127819537232,0.009230918224517184,0.0013775226330736607,0.004776452658971178
7704,h012posterior,h019_inclusion_prob,230,sample,0.00030705348005271313,0.0004400984762937191,0.0012858768509344098,0.9458646616528327,0.00942053882232087,0.0015344622022283858,0.004745751859039457
40531,h020vector,h013_calendar_pay_weekend,125,sample,0.0003075328500202794,0.00040632023065297003,0.0010295876381851837,0.9157894736829492,0.009388714110875478,0.0013684758842435554,0.00472014201489834
37570,h020vector,h030_score_public_row_subset,70,sample,0.00030867855091199663,0.00046340770977381453,0.0012626800685147307,0.9263157894724086,0.009349043561306664,0.0015464982931358536,0.004659492593693756
6807,h012,h013_body_calendar,190,sample,0.0003104423934133997,0.00046960646654637707,0.0014260242153072474,0.9413533834573502,0.009661009718588342,0.0015991454728940602,0.004567640767200372
40338,h020vector,h035_private_safe_score,230,sample,0.00031056557792476697,0.00045760191974042415,0.0015297450579100317,0.9097744360889726,0.009516128320760969,0.0018134967200222416,0.004561294012966837
27237,h017joint,h013_late_social_phone,190,temperature_sample,0.0003110728007256259,0.00042780125238971986,0.001102637204875339,0.8721804511266184,0.009441526463620812,0.001587348185074633,0.004535253489203712
53410,joint_hard_mid,h035_score_public_row_subset,230,sample,0.0003138284287333438,0.0004932494582362505,0.0016697193420820398,0.8947368421040308,0.009142933292549223,0.0012887906034740174,0.004396357117939979
16116,h015feedback,h030_score_identity_combo,155,sample,0.0003162551080996565,0.0004954768709286564,0.0014679168038792996,0.9729323308257277,0.009358144153419488,0.0012990986563052843,0.004277568054729995
48018,posterior_vector_mid,h013_late_social_phone,190,sample,0.00031875578100771477,0.000492129911221437,0.0016142342401867012,0.8781954887205952,0.009289037565117142,0.0013302810898387445,0.004158513945701196
30499,h018hard,h030_score_no_h012_combo,190,sample,0.00031931531362512167,0.0004598373537344209,0.001348777448890644,0.8300751879687814,0.009296542029106262,0.0016271370946549315,0.004132332214290295
45639,posterior_vector_mid,h030_score_memory_public_combo,230,sample,0.00031989497581704125,0.0004785102630892809,0.0014273598703680012,0.9518796992468094,0.0094829463843823,0.0016497796731970672,0.004105382404168032
12588,h012posterior,h035_private_safe_score,230,sample,0.00032145631159410113,0.0003873943068347143,0.0008699722681127873,0.8947368421040307,0.009553180069570988,0.0013623857464777171,0.004033663423847216
