candidate_id,file,resolved_path,family,alpha,changed_cells,changed_rows,mean_abs_prob_move_h012,max_abs_prob_move_h012,world_expected_delta_vs_h012,world_delta_iqr
h036_celltop_k1600_a1_c1600_51a1eddc,submission_h036_celltop_k1600_a1_c1600_51a1eddc.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a1_c1600_51a1eddc.csv,celltop_k1600,1.0,1600,250,0.022176836289527047,0.1336313886173378,-0.0022388208503741746,0.004731915502372744
h036_celltop_k1200_a1_c1200_18d1a8b8,submission_h036_celltop_k1200_a1_c1200_18d1a8b8.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1200_a1_c1200_18d1a8b8.csv,celltop_k1200,1.0,1200,250,0.020273747243123516,0.1336313886173378,-0.0021987261477650804,0.004757584966795192
h036_celltop_k1600_a0.7_c1600_7716e2b2,submission_h036_celltop_k1600_a0.7_c1600_7716e2b2.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a0.7_c1600_7716e2b2.csv,celltop_k1600,0.7,1600,250,0.01557313179122164,0.09801523244461341,-0.0020356181795472637,0.003314782323521553
h036_celltop_k1200_a0.7_c1200_6c9a27c8,submission_h036_celltop_k1200_a0.7_c1200_6c9a27c8.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1200_a0.7_c1200_6c9a27c8.csv,celltop_k1200,0.7,1200,250,0.01424092700817564,0.09801523244461341,-0.0019993835212569187,0.0033353708758272088
h036_celltop_k800_a1_c800_274d7344,submission_h036_celltop_k800_a1_c800_274d7344.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k800_a1_c800_274d7344.csv,celltop_k800,1.0,800,243,0.01586118455732125,0.1336313886173378,-0.0019952019100182563,0.004546375553963597
h036_celltop_k800_a0.7_c800_80a23fc2,submission_h036_celltop_k800_a0.7_c800_80a23fc2.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k800_a0.7_c800_80a23fc2.csv,celltop_k800,0.7,800,243,0.011150887551982947,0.09801523244461341,-0.0018149593751745246,0.003173211014112738
h036_celltop_k1600_a0.45_c1600_f852b1b0,submission_h036_celltop_k1600_a0.45_c1600_f852b1b0.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1600_a0.45_c1600_f852b1b0.csv,celltop_k1600,0.45,1600,250,0.010039119372575522,0.06530081712701685,-0.0015633659186561734,0.0021353901099639555
h036_celltop_k1200_a0.45_c1200_5311877d,submission_h036_celltop_k1200_a0.45_c1200_5311877d.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k1200_a0.45_c1200_5311877d.csv,celltop_k1200,0.45,1200,250,0.00918269474220069,0.06530081712701685,-0.0015356961592211508,0.002141739393587881
h036_celltop_k400_a1_c400_377d33db,submission_h036_celltop_k400_a1_c400_377d33db.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k400_a1_c400_377d33db.csv,celltop_k400,1.0,400,186,0.008570457395510196,0.1336313886173378,-0.0014084067382449774,0.003758929088550995
h036_celltop_k800_a0.45_c800_9db5b59c,submission_h036_celltop_k800_a0.45_c800_9db5b59c.csv,/Users/kbsoo/Downloads/cl2/hitl/h036_global_public_world_solver_jepa/submission_h036_celltop_k800_a0.45_c800_9db5b59c.csv,celltop_k800,0.45,800,243,0.007195728424979891,0.06530081712701685,-0.001394650045923921,0.0020374731424520867
