fold,source,target,loss
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
2,routine_regularity__deviation__c0.1_b0.2,Q1,
2,routine_regularity__deviation__c0.1_b0.2,Q2,
2,routine_regularity__deviation__c0.1_b0.2,Q3,
2,routine_regularity__deviation__c0.1_b0.2,S1,
2,routine_regularity__deviation__c0.1_b0.2,S2,
2,routine_regularity__deviation__c0.1_b0.2,S3,
2,routine_regularity__deviation__c0.1_b0.2,S4,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
2,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
2,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
2,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.6361948459191377
2,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
2,ef_recovery_slope__deviation__c0.3_b0.2,S1,
2,ef_recovery_slope__deviation__c0.3_b0.2,S2,
2,ef_recovery_slope__deviation__c0.3_b0.2,S3,
2,ef_recovery_slope__deviation__c0.3_b0.2,S4,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q1,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q2,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q3,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S1,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S2,0.5278316683751543
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S3,
2,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S4,
2,db_prebed__deviation__c0.3_b0.2,Q1,
2,db_prebed__deviation__c0.3_b0.2,Q2,
2,db_prebed__deviation__c0.3_b0.2,Q3,
2,db_prebed__deviation__c0.3_b0.2,S1,
2,db_prebed__deviation__c0.3_b0.2,S2,
2,db_prebed__deviation__c0.3_b0.2,S3,
2,db_prebed__deviation__c0.3_b0.2,S4,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
