test,feature_set,target,metric,value,uses_public_score,uses_label_informed_features
grouped_label_probe,prior_only,Q1,logloss,0.7045102198430893,False,False
grouped_label_probe,prior_only,Q1,auc,0.39018391576618405,False,False
grouped_label_probe,prior_only,Q2,logloss,0.6955383866228556,False,False
grouped_label_probe,prior_only,Q2,auc,0.39476535382516403,False,False
grouped_label_probe,prior_only,Q3,logloss,0.6809692006409499,False,False
grouped_label_probe,prior_only,Q3,auc,0.4120473251028806,False,False
grouped_label_probe,prior_only,S1,logloss,0.6419324373056658,False,False
grouped_label_probe,prior_only,S1,auc,0.3813922234117674,False,False
grouped_label_probe,prior_only,S2,logloss,0.6616697721240868,False,False
grouped_label_probe,prior_only,S2,auc,0.3719375665746398,False,False
grouped_label_probe,prior_only,S3,logloss,0.6596848577088983,False,False
grouped_label_probe,prior_only,S3,auc,0.3492692511480042,False,False
grouped_label_probe,prior_only,S4,logloss,0.7006978579415238,False,False
grouped_label_probe,prior_only,S4,auc,0.37730479397146066,False,False
grouped_label_probe,prior_only,all,mean_logloss,0.6778575331695814,False,False
grouped_label_probe,prior_only,all,mean_auc,0.38241434711430017,False,False
grouped_label_probe,calendar_rhythm_linear,Q1,logloss,0.7220569184355263,False,False
grouped_label_probe,calendar_rhythm_linear,Q1,auc,0.4058493510598368,False,False
grouped_label_probe,calendar_rhythm_linear,Q2,logloss,0.7020259850740819,False,False
grouped_label_probe,calendar_rhythm_linear,Q2,auc,0.4575349611765414,False,False
grouped_label_probe,calendar_rhythm_linear,Q3,logloss,0.6808668913633102,False,False
grouped_label_probe,calendar_rhythm_linear,Q3,auc,0.5312448559670782,False,False
grouped_label_probe,calendar_rhythm_linear,S1,logloss,0.6427392719386896,False,False
grouped_label_probe,calendar_rhythm_linear,S1,auc,0.49012550966948365,False,False
grouped_label_probe,calendar_rhythm_linear,S2,logloss,0.6557402218946782,False,False
grouped_label_probe,calendar_rhythm_linear,S2,auc,0.5045651181496055,False,False
grouped_label_probe,calendar_rhythm_linear,S3,logloss,0.6493098459382766,False,False
grouped_label_probe,calendar_rhythm_linear,S3,auc,0.5277397562698692,False,False
grouped_label_probe,calendar_rhythm_linear,S4,logloss,0.6990902542136103,False,False
grouped_label_probe,calendar_rhythm_linear,S4,auc,0.45291205707872373,False,False
grouped_label_probe,calendar_rhythm_linear,all,mean_logloss,0.6788327698368819,False,False
grouped_label_probe,calendar_rhythm_linear,all,mean_auc,0.48142451562444843,False,False
grouped_label_probe,raw_lifelog_views_linear,Q1,logloss,1.5620324187701022,False,False
grouped_label_probe,raw_lifelog_views_linear,Q1,auc,0.4634440252069299,False,False
grouped_label_probe,raw_lifelog_views_linear,Q2,logloss,1.348150763528347,False,False
grouped_label_probe,raw_lifelog_views_linear,Q2,auc,0.5382315764129932,False,False
grouped_label_probe,raw_lifelog_views_linear,Q3,logloss,1.3615105396668168,False,False
grouped_label_probe,raw_lifelog_views_linear,Q3,auc,0.4745473251028806,False,False
grouped_label_probe,raw_lifelog_views_linear,S1,logloss,1.154154229865952,False,False
grouped_label_probe,raw_lifelog_views_linear,S1,auc,0.5499646932871688,False,False
grouped_label_probe,raw_lifelog_views_linear,S2,logloss,1.3440903996892464,False,False
grouped_label_probe,raw_lifelog_views_linear,S2,auc,0.5879002630377601,False,False
grouped_label_probe,raw_lifelog_views_linear,S3,logloss,1.9901576596464694,False,False
grouped_label_probe,raw_lifelog_views_linear,S3,auc,0.429684740374426,False,False
grouped_label_probe,raw_lifelog_views_linear,S4,logloss,1.4089202340138358,False,False
grouped_label_probe,raw_lifelog_views_linear,S4,auc,0.49989979156645825,False,False
grouped_label_probe,raw_lifelog_views_linear,all,mean_logloss,1.452716606454396,False,False
grouped_label_probe,raw_lifelog_views_linear,all,mean_auc,0.5062389164269453,False,False
grouped_label_probe,hsjepa_state_only_linear,Q1,logloss,0.8191833730071834,False,False
grouped_label_probe,hsjepa_state_only_linear,Q1,auc,0.4567076904841864,False,False
grouped_label_probe,hsjepa_state_only_linear,Q2,logloss,0.7410998733389446,False,False
grouped_label_probe,hsjepa_state_only_linear,Q2,auc,0.5566100198631649,False,False
grouped_label_probe,hsjepa_state_only_linear,Q3,logloss,0.7553944152486671,False,False
grouped_label_probe,hsjepa_state_only_linear,Q3,auc,0.46755144032921814,False,False
grouped_label_probe,hsjepa_state_only_linear,S1,logloss,0.665612364770085,False,False
grouped_label_probe,hsjepa_state_only_linear,S1,auc,0.5338830550556934,False,False
grouped_label_probe,hsjepa_state_only_linear,S2,logloss,0.7456540666120407,False,False
grouped_label_probe,hsjepa_state_only_linear,S2,auc,0.4748809808482425,False,False
grouped_label_probe,hsjepa_state_only_linear,S3,logloss,0.9533748963941086,False,False
grouped_label_probe,hsjepa_state_only_linear,S3,auc,0.3368067820558107,False,False
grouped_label_probe,hsjepa_state_only_linear,S4,logloss,0.7087292975158576,False,False
grouped_label_probe,hsjepa_state_only_linear,S4,auc,0.5948372615039281,False,False
grouped_label_probe,hsjepa_state_only_linear,all,mean_logloss,0.769864040983841,False,False
grouped_label_probe,hsjepa_state_only_linear,all,mean_auc,0.48875389002003483,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q1,logloss,1.5676003953276172,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q1,auc,0.4889275201991268,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q2,logloss,1.438337231739138,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q2,auc,0.5404385947312453,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q3,logloss,1.3881044704976304,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,Q3,auc,0.48113168724279837,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S1,logloss,1.1483573944649055,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S1,auc,0.5495546798478395,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S2,logloss,1.3214590087421063,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S2,auc,0.6096389208930241,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S3,logloss,2.085802357961764,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S3,auc,0.39844577887672206,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S4,logloss,1.3971343795647801,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,S4,auc,0.539983164983165,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,all,mean_logloss,1.4781136054711348,False,False
grouped_label_probe,raw_plus_hsjepa_state_linear,all,mean_auc,0.5154457638248459,False,False
grouped_label_probe,hsjepa_state_only_tree,Q1,logloss,0.7615126570458288,False,False
grouped_label_probe,hsjepa_state_only_tree,Q1,auc,0.49217715967681397,False,False
grouped_label_probe,hsjepa_state_only_tree,Q2,logloss,0.7276570120047161,False,False
grouped_label_probe,hsjepa_state_only_tree,Q2,auc,0.5292429927168396,False,False
grouped_label_probe,hsjepa_state_only_tree,Q3,logloss,0.7749230294584478,False,False
grouped_label_probe,hsjepa_state_only_tree,Q3,auc,0.47564814814814815,False,False
grouped_label_probe,hsjepa_state_only_tree,S1,logloss,0.6992108422193998,False,False
grouped_label_probe,hsjepa_state_only_tree,S1,auc,0.4824605362064645,False,False
grouped_label_probe,hsjepa_state_only_tree,S2,logloss,0.6938694018382183,False,False
grouped_label_probe,hsjepa_state_only_tree,S2,auc,0.5165648572857111,False,False
grouped_label_probe,hsjepa_state_only_tree,S3,logloss,0.7768085783147163,False,False
grouped_label_probe,hsjepa_state_only_tree,S3,auc,0.41520222536206286,False,False
grouped_label_probe,hsjepa_state_only_tree,S4,logloss,0.6799029555427208,False,False
grouped_label_probe,hsjepa_state_only_tree,S4,auc,0.6127845919512587,False,False
