test,feature_set,target,metric,value,uses_public_score,uses_label_informed_features
grouped_label_probe,hsjepa_state_only_tree,all,mean_logloss,0.7305549252034353,False,False
grouped_label_probe,hsjepa_state_only_tree,all,mean_auc,0.5034400730496141,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q1,logloss,0.7518912006976967,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q1,auc,0.49594041998380123,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q2,logloss,0.7351647938376143,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q2,auc,0.557231997752854,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q3,logloss,0.7202245203681346,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,Q3,auc,0.5088065843621399,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S1,logloss,0.6700532443944077,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S1,auc,0.5198059269720507,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S2,logloss,0.7180283283475692,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S2,auc,0.4720549553270581,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S3,logloss,0.8459646953626018,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S3,auc,0.3652198869657365,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S4,logloss,0.7162016346361104,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,S4,auc,0.5341109507776175,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,all,mean_logloss,0.7367897739491621,False,False
grouped_label_probe,raw_plus_hsjepa_state_tree,all,mean_auc,0.4933101031630369,False,False
