perm,loo_mae,loo_spearman,h149_pred_delta
0,0.005815922052151443,0.18904968765460545,-0.022608122181780942
1,0.0045262849696140195,0.1373967675303963,-0.013196910996038114
2,0.004385859429627945,0.0072314088173892795,-0.01708115681830643
3,0.00447102828984307,0.30991752074525486,-0.005946198013272198
4,0.005491983722705354,-0.14256205954281723,-0.02433981684710725
5,0.004993609492281218,0.10950419066332338,0.006454547501416068
6,0.006703311532310659,-0.16425628599498507,-0.012625171685485676
7,0.005860184220036746,0.11157030746829173,-0.02203628243094299
8,0.0054606488829596345,0.03409092728197803,-0.00331675704960127
9,0.004532555765459735,0.15805793558007997,-0.019326786167938988
10,0.006432845990316403,-0.3305786887949385,0.0021249126442221267
11,0.004349018974448785,0.20247944688689984,-0.016167844024445703
12,0.004945506907178958,0.24483484138875133,-0.007507456252845422
13,0.007114315637154405,-0.3357439808073594,-0.0013833729247694979
14,0.0061052542298542555,-0.22727284854652025,-0.012811621033964398
15,0.005560704497233383,-0.07024797136892444,-0.019235045940358592
16,0.004906044204779276,0.11157030746829173,-0.01659975620323716
17,0.0043895542043789594,0.1022727818459341,-0.01407548749070256
18,0.005913365244517725,-0.2510331918036564,-0.017318876498720284
19,0.005386791448292952,0.1859505124471529,0.009551218959792085
20,0.004247429942170352,-0.003099175207452548,-0.007841615949686936
21,0.005948126232339172,0.3336778640023911,-0.005099064854830754
22,0.005199519594599318,-0.15599181877511162,-0.02930648161909348
23,0.005237020740922062,0.18491745404466872,-0.021672387077546193
24,0.00519949948965206,-0.20971085570428913,0.008222594288083567
25,0.005404824111027981,0.20971085570428913,-0.015231729306339236
26,0.004765195936265904,0.23140508215645694,-0.015519950600296567
27,0.007284304914361729,-0.3739671416992742,-0.04502559704114153
28,0.004857635308386361,0.5526862453290378,-0.029977330650732444
29,0.005876518995497558,0.04648762811178823,-0.0014072969225905347
30,0.006363096330797501,-0.43285147064087265,-0.0013048506122603047
31,0.005232911465431809,0.08780996421115554,0.00723643294083034
32,0.005105148114730026,0.06404962095401934,-0.002846207515826059
33,0.00463830777338941,0.254132367011109,-0.005734286772574045
34,0.004619984390739275,0.1508265267626907,-0.015947857905212953
35,0.004883180674859076,-0.22004143972913096,0.010480090536533341
36,0.005544094273043308,0.0723140881738928,-0.01718719783849356
37,0.005448806531937196,-0.09917360663848154,0.010273338688543037
38,0.0036809306059987818,0.13016535871300705,0.0033582595926902044
39,0.007063252709565078,-0.4617771059104297,-0.007112020759459405
40,0.005136378186749809,-0.013429759232294378,-0.002204569803473968
41,0.006080340467091072,-0.17148769481237436,-0.026757456587938235
42,0.005061966857190834,-0.2623968342309824,0.009722491107408918
43,0.004428412968447486,0.21694226452167842,-0.0046003076974769005
44,0.003823554901778707,0.21590920611919417,-0.0013709208092178178
45,0.007181378488889653,-0.3171489295626442,-0.012994236190058515
46,0.004996713251439728,-0.19111580445957382,-0.012631109387101462
47,0.006702475186912942,-0.24793401659620387,-0.02436208767612801
48,0.0064112145089250845,-0.5227275516569965,-0.0017796679845359926
49,0.004197079926546217,-0.32851257198997014,-0.007665317664269407
50,0.004749488216653251,0.1869835708496371,-0.015972734794791717
51,0.007137854058230957,-0.22004143972913096,-0.0059923763349818415
52,0.00558327050092985,0.553719303731522,-0.02290436812474733
53,0.005854070648627883,-0.05371903692917751,0.006347179758181227
54,0.004880485828784151,-0.21177697250925748,-0.010348281816362272
55,0.00584525250288422,-0.42562006182348333,0.008456753269432935
56,0.005170838029580737,0.20247944688689984,-0.015549987691444335
57,0.006056791317737766,-0.17871910362976362,-0.0078061722198808905
58,0.004774272195390885,0.06818185456395606,0.007190631560007014
59,0.00465848728257711,0.26962824304837174,0.009749694815770097
60,0.006500379263243789,0.20247944688689984,-0.011743157245671059
61,0.004619490455445723,-0.1446281763477856,-0.024041133617757483
62,0.004479879621599619,0.22727284854652025,-0.014378936929432314
