candidate,mean_pred_delta,p05_pred_delta,p50_pred_delta,p95_pred_delta,negative_frac
h149_bundle_listener_route_d8e1d789,-0.00480509047718289,-0.005391968757113328,-0.004806036762174962,-0.004187567289707299,1.0
h073_humanaction_bridge_7a2cbf07,-0.001037544168932951,-0.0018342737381606266,-0.0010309815108198056,-0.000270255981242384,0.9944444444444445
h075_antibad_transport_f6863945,-0.0009829016001651756,-0.0017712158338452138,-0.0010147479728798681,-0.000190407983815523,0.9833333333333333
h071_rowtarget_assignment_a52b6b57,-0.0003159648943908752,-0.001099234028672685,-0.00027372280059673334,0.0003303935656621496,0.7444444444444445
h074_antishortcut_inversion_816703df,-0.00016183749453564823,-0.000902398460689037,-0.00013926244690218734,0.0004550812424219795,0.6388888888888888
h126_coeffeq_3fe3eee4,-1.7003695666092548e-05,-0.00013119813700490459,-6.358160288095238e-05,0.00011183405564490501,0.5777777777777777
h145_q3repair_2d818e46,0.0001250969464489724,8.062968390330998e-05,0.0001334563156333084,0.00015136714470833938,0.0
h050_target_route_phase_b140216b,0.00012574533554609492,9.869126504304111e-05,0.00012935507885079544,0.00013915225450530428,0.0
h144_targetxor_def80b88,0.0001259255914966553,8.143004666239896e-05,0.00013442770455053803,0.00015196866036577283,0.0
h141_commoncore_0999d3ae,0.00012824595916519137,8.278012811471685e-05,0.0001354894635926413,0.0001547952202553831,0.0
h042_target_Q2_phase_k45_s0.5_c45_50fc6607,0.00020587693073885436,0.00018526030870796688,0.0002012197574183257,0.00024007923017470235,0.0
h012_public_equation_top_all_k1200_a0.7,0.0003935195970345796,0.00038312691007158056,0.0003908761851713523,0.0004115530281705366,0.0
h088_dual_state_gate_c31cc15b,0.0007272395809243913,0.0007174765709849191,0.0007282186305218109,0.0007342430083074322,0.0
