variant,alpha,n_obs,n_features,loo_mae,loo_rmse,loo_p90_abs,loo_spearman,h144_h145_pred_gap_abs,selection_score,description
all_full,1.0,19,317,0.0004507154491782551,0.0008517925556696281,0.0011053146800392686,0.8584715324643559,9.216891535299241e-07,0.0004617757190206142,all observations and all bundle features
no_pre_h,30.0,10,317,0.0007163445526851618,0.001039921978488865,0.0016313217477252075,0.6050633809075329,2.782616508588702e-07,0.0007196836924954682,remove old pre-H public worlds
no_bad,0.3,16,317,0.0002881113702066318,0.0006936329809079315,0.00042859464112608714,0.869411051250711,9.151150010060195e-07,0.00029909275021870404,remove bad-anchor worlds
frontier_only,0.003,7,317,0.00019323025785776107,0.000335866372608166,0.000505557733102789,-0.7356123579206245,1.5804790430226385e-09,0.0009288615815269018,post-H frontier sensor only
no_human_social,0.3,19,244,0.00043897533229484965,0.000855948508287373,0.001074462496079303,0.825413663584862,1.1168615223689686e-06,0.0004523776705632773,drop date/social/pay/month features
no_subject,1.0,19,227,0.0004306812328778221,0.0008204943116994285,0.0010631455818335609,0.8605376492693243,9.099135083867475e-07,0.00044160019497846306,drop subject identity bundles
no_row_order,100.0,19,222,0.0004735225186983723,0.0007819743752680482,0.0011277644805914745,0.7654962762407795,2.386404534093886e-07,0.000476386204139285,drop row-order bundles
no_base_prob,1.0,19,268,0.00043649714847076194,0.0008120638759761082,0.0010991444573214492,0.8047524955351785,9.30996811855314e-07,0.0004476691102130257,drop H057 probability-regime bundles
structural_only,0.3,19,244,0.00043897533229484965,0.000855948508287373,0.001074462496079303,0.825413663584862,1.1168615223689686e-06,0.0004523776705632773,no human-social date features
human_social_only,0.3,19,83,0.0004142516844002606,0.0007631883110254298,0.0007780611338215985,0.9018599853686916,5.308413476568506e-07,0.0004206217805721428,date/social/pay/month plus target only
