variant,alpha,n_obs,n_features,loo_mae,loo_rmse,loo_p90_abs,loo_spearman,h144_h145_pred_gap_abs,selection_score,description
all_full,1.0,19,317,0.0004507154491782551,0.0008517925556696281,0.0011053146800392686,0.8584715324643559,9.216891535299241e-07,0.0004617757190206142,all observations and all bundle features
all_full,3.0,19,317,0.00045795706824326525,0.0008459574210663418,0.0010910047494653797,0.8336781308047356,7.483697598767159e-07,0.00046693750536178584,all observations and all bundle features
all_full,100.0,19,317,0.0004690734267879662,0.0007803521279428941,0.0011090671931894055,0.6849177208470133,2.5532365078378917e-07,0.0004721373105973717,all observations and all bundle features
all_full,0.3,19,317,0.0004593508574088177,0.0008693268329114293,0.0011336363960104904,0.7923557947053683,1.088055016834242e-06,0.0004724075176108286,all observations and all bundle features
all_full,10.0,19,317,0.00046907759149555087,0.0008313837001568159,0.001085138608511245,0.825413663584862,5.406980582371617e-07,0.0004755659681943968,all observations and all bundle features
all_full,30.0,19,317,0.0004777560338392803,0.000805916848098206,0.0010858041182239897,0.8192153131699571,3.7266064676231654e-07,0.0004822279616004281,all observations and all bundle features
all_full,0.1,19,317,0.0004760169945893175,0.0008917638036635729,0.0011641361806712055,0.7799590938755581,1.2004881655359372e-06,0.0004904228525757487,all observations and all bundle features
all_full,0.03,19,317,0.000491924403845747,0.0009085990745273586,0.0011999010328931068,0.7530995754109693,1.2693584769318724e-06,0.0005071567055689295,all observations and all bundle features
all_full,0.01,19,317,0.0005032405133399845,0.0009170757057626903,0.0012336774446771942,0.7097111225066337,1.2990932970749968e-06,0.0005188296329048845,all observations and all bundle features
all_full,0.003,19,317,0.000511190560092957,0.0009220036114919695,0.0012602204295838984,0.6766532536271398,1.302915983046203e-06,0.0005268255518895114,all observations and all bundle features
no_pre_h,30.0,10,317,0.0007163445526851618,0.001039921978488865,0.0016313217477252075,0.6050633809075329,2.782616508588702e-07,0.0007196836924954682,remove old pre-H public worlds
no_pre_h,0.01,10,317,0.0007260708608358827,0.0011539928734029571,0.0016497074961909176,0.6218706970438532,5.384673647603508e-07,0.0007325324692130069,remove old pre-H public worlds
no_pre_h,10.0,10,317,0.0007281648339110494,0.0010760259839211626,0.0016020592547641628,0.6050633809075329,3.641348392455145e-07,0.0007325344519819955,remove old pre-H public worlds
no_pre_h,0.03,10,317,0.0007261483813738156,0.0011536433913757504,0.001649543173539629,0.6218706970438532,5.396724033870416e-07,0.0007326244502144601,remove old pre-H public worlds
no_pre_h,0.003,10,317,0.0007262919428560437,0.001154135486961614,0.0016493719686944805,0.6218706970438532,5.320068510239538e-07,0.0007326760250683311,remove old pre-H public worlds
no_pre_h,0.1,10,317,0.0007265816457327527,0.0011524553171660557,0.0016485812808463252,0.6218706970438532,5.377708225291495e-07,0.0007330348956031025,remove old pre-H public worlds
no_pre_h,0.3,10,317,0.0007277317012101158,0.0011491886875232785,0.0016458309619573194,0.6218706970438532,5.307929311301491e-07,0.0007341012163836776,remove old pre-H public worlds
no_pre_h,1.0,10,317,0.0007305188670710659,0.0011389711068104911,0.0016373418039823773,0.6218706970438532,5.080586117581633e-07,0.0007366155704121638,remove old pre-H public worlds
no_pre_h,100.0,10,317,0.000734509069363451,0.0010514733189409785,0.0018163391407871035,0.5378341163622514,2.222858610879464e-07,0.0007371764996965064,remove old pre-H public worlds
no_pre_h,3.0,10,317,0.0007329237744296791,0.001116884093094965,0.001620530223613583,0.6050633809075329,4.5771327192096394e-07,0.0007384163336927308,remove old pre-H public worlds
no_bad,0.3,16,317,0.0002881113702066318,0.0006936329809079315,0.00042859464112608714,0.869411051250711,9.151150010060195e-07,0.00029909275021870404,remove bad-anchor worlds
no_bad,0.003,16,317,0.0002901225488178557,0.0007069566098448874,0.00043701583767984966,0.8658332279945351,1.0202803201811981e-06,0.0003023659126600301,remove bad-anchor worlds
no_bad,0.1,16,317,0.0002907704688161226,0.0007038005485305174,0.000432658748132309,0.8479441117136562,9.841385158682525e-07,0.00030258013100654165,remove bad-anchor worlds
no_bad,1.0,16,317,0.00029341554877798534,0.0006856372187667542,0.00043796445865176137,0.8407884652013048,8.009407672631829e-07,0.00030302683798514354,remove bad-anchor worlds
no_bad,10.0,16,317,0.00029730884132942446,0.0006749410414755706,0.00042446217179151403,0.8193215256642503,4.881602923910135e-07,0.0003031667648381166,remove bad-anchor worlds
no_bad,0.01,16,317,0.0002909945280314028,0.0007084665052188524,0.00043622544818128326,0.8479441117136562,1.0284792092733145e-06,0.0003033362785426826,remove bad-anchor worlds
no_bad,0.03,16,317,0.0002918987968123762,0.0007088396109292818,0.00043530595207187835,0.8479441117136562,1.019817318524761e-06,0.0003041366046346733,remove bad-anchor worlds
no_bad,3.0,16,317,0.00029830423611230456,0.0006835741612731161,0.0004407490491152795,0.8336328186889533,6.631722581694022e-07,0.0003062623032103374,remove bad-anchor worlds
no_bad,30.0,16,317,0.0003065447924397227,0.0006582608573311509,0.0005196830728843504,0.8765666977630625,3.5567825724682884e-07,0.0003108129315266846,remove bad-anchor worlds
no_bad,100.0,16,317,0.00035008636435347496,0.0006443648629243468,0.0006795201249105096,0.8372106419451291,2.651144796214595e-07,0.00035326773810893247,remove bad-anchor worlds
frontier_only,0.003,7,317,0.00019323025785776107,0.000335866372608166,0.000505557733102789,-0.7356123579206245,1.5804790430226385e-09,0.0009288615815269018,post-H frontier sensor only
frontier_only,0.01,7,317,0.0001936351483121869,0.00033676054809731604,0.000506719411022844,-0.7356123579206245,1.7622672011171226e-09,0.0009292686534392248,post-H frontier sensor only
frontier_only,0.03,7,317,0.0001938162618499951,0.0003370587603762367,0.0005071098008275619,-0.7356123579206245,1.864237373386214e-09,0.0009294509906191003,post-H frontier sensor only
frontier_only,0.1,7,317,0.00019405455610758686,0.00033718914549004406,0.0005072908091143938,-0.7356123579206245,2.0525926532999166e-09,0.000929691545140051,post-H frontier sensor only
frontier_only,0.3,7,317,0.0001946110290089888,0.0003372895113947608,0.0005074528590588618,-0.7356123579206245,2.5375806981143157e-09,0.0009302538378979907,post-H frontier sensor only
frontier_only,10.0,7,317,0.00021309932494639056,0.0003413436204407045,0.0005125332090296633,-0.7944613465542746,2.1498601886563162e-08,0.001007818654723304,post-H frontier sensor only
frontier_only,30.0,7,317,0.00022947112260843415,0.00034785444509218076,0.0005196849825705933,-0.7944613465542746,4.449733956880797e-08,0.0010244664372375345,post-H frontier sensor only
frontier_only,100.0,7,317,0.0002414343667629216,0.000356092327798319,0.0005326039257943444,-0.7944613465542746,7.127324493958696e-08,0.0010367509922564713,post-H frontier sensor only
frontier_only,1.0,7,317,0.0001964465192577844,0.00033755507249055524,0.0005078873290141185,-0.9710083124552246,4.183676151879329e-09,0.0011675050358268314,post-H frontier sensor only
frontier_only,3.0,7,317,0.0002011420648468848,0.0003383557236260781,0.0005090386345370266,-0.9710083124552246,8.611392796515098e-09,0.0011722537140156676,post-H frontier sensor only
no_human_social,0.3,19,244,0.00043897533229484965,0.000855948508287373,0.001074462496079303,0.825413663584862,1.1168615223689686e-06,0.0004523776705632773,drop date/social/pay/month features
no_human_social,1.0,19,244,0.0004474064874842984,0.0008522852317517125,0.0010466124163637687,0.8295458971947988,9.734577288642303e-07,0.00045908798023066915,drop date/social/pay/month features
no_human_social,0.1,19,244,0.0004498312318956816,0.0008694361390378633,0.001106642858777759,0.8171491963649887,1.2030792414385741e-06,0.0004642681827929445,drop date/social/pay/month features
no_human_social,3.0,19,244,0.0004558791670362013,0.0008517578432659294,0.0010358238262523128,0.8192153131699571,7.895750280120182e-07,0.0004653540673723455,drop date/social/pay/month features
no_human_social,100.0,19,244,0.0004681698111193733,0.0007813572258325742,0.0010783270871787664,0.757231809020906,2.243531778033106e-07,0.0004708620492530131,drop date/social/pay/month features
no_human_social,10.0,19,244,0.00046726823332801475,0.000832508316317687,0.001032386333902783,0.7923557947053683,5.477555115991777e-07,0.00047384129946720485,drop date/social/pay/month features
no_human_social,0.03,19,244,0.0004593793854557641,0.0008797259713518485,0.0011355669118772746,0.80268637873021,1.2495033569516207e-06,0.00047437342573918354,drop date/social/pay/month features
no_human_social,30.0,19,244,0.000472069029542041,0.0008036022963711831,0.0010379685917972959,0.7840913274854948,3.5972070109196803e-07,0.0004763856779551446,drop date/social/pay/month features
no_human_social,0.01,19,244,0.0004647366607099721,0.0008809700809697257,0.001157205363151976,0.7675623930457479,1.2604201209571726e-06,0.00047986170216145815,drop date/social/pay/month features
no_human_social,0.003,19,244,0.0004679135414632062,0.000878483435062549,0.001175534167426007,0.7592979258258744,1.2507747590057331e-06,0.000482922838571275,drop date/social/pay/month features
no_subject,1.0,19,227,0.0004306812328778221,0.0008204943116994285,0.0010631455818335609,0.8605376492693243,9.099135083867475e-07,0.00044160019497846306,drop subject identity bundles
no_subject,0.3,19,227,0.0004320714008301423,0.0008319392980690218,0.001095665709905247,0.8564054156593875,1.096849098397351e-06,0.00044523359001091053,drop subject identity bundles
no_subject,3.0,19,227,0.0004387960168266213,0.0008203425721774358,0.0010526956517656054,0.8460748316345457,7.394885134892441e-07,0.0004476698789884922,drop subject identity bundles
no_subject,100.0,19,227,0.00045560103370498106,0.0007819100037574608,0.001093898298483865,0.7737607434606529,2.599918769225542e-07,0.0004587209362280517,drop subject identity bundles
no_subject,0.1,19,227,0.0004473985350511116,0.0008567649021969103,0.0011392772027388712,0.7799590938755581,1.2590599441480164e-06,0.0004625072543808878,drop subject identity bundles
no_subject,10.0,19,227,0.00045613239517358514,0.0008139155261606451,0.0010517345667315464,0.8440087148295773,5.353460212835127e-07,0.00046255654742898727,drop subject identity bundles
no_subject,30.0,19,227,0.0004668011383139121,0.00079640707317707,0.0010547167501588726,0.7799590938755581,3.678996379754251e-07,0.00047121593396961723,drop subject identity bundles
no_subject,0.03,19,227,0.00046555857358112935,0.0008833780333726193,0.0011910994488957137,0.7613640426308428,1.3745590016967153e-06,0.00048205328160148993,drop subject identity bundles
no_subject,0.01,19,227,0.0004809473799504894,0.0009020088905801826,0.0012416471342051637,0.7014466552867601,1.421944815514954e-06,0.0004980107177366688,drop subject identity bundles
no_subject,0.003,19,227,0.0004940141071811065,0.0009164570160505143,0.001287904720053055,0.6229342166979622,1.4335884566805848e-06,0.0005112171686612735,drop subject identity bundles
no_row_order,100.0,19,222,0.0004735225186983723,0.0007819743752680482,0.0011277644805914745,0.7654962762407795,2.386404534093886e-07,0.000476386204139285,drop row-order bundles
no_row_order,30.0,19,222,0.0004887289612100837,0.000811752899157199,0.0011056351298174047,0.7778929770705898,2.679680617609099e-07,0.0004919445779512146,drop row-order bundles
no_row_order,10.0,19,222,0.0004928280857155114,0.0008556636795467791,0.0011218067002289425,0.7778929770705898,3.370861960555188e-07,0.0004968731200681776,drop row-order bundles
no_row_order,3.0,19,222,0.0004933366560781066,0.0009033423158353486,0.0011591820323283758,0.7923557947053683,4.4026393823276306e-07,0.0004986198233368998,drop row-order bundles
no_row_order,1.0,19,222,0.0004992517851333622,0.0009314289801667452,0.0011994974562034833,0.7530995754109693,5.462950313529769e-07,0.0005058073255095979,drop row-order bundles
no_row_order,0.3,19,222,0.0005070114375068669,0.0009487668392606505,0.0012389808568008549,0.7324384073612856,6.595348428072988e-07,0.0005149258556205545,drop row-order bundles
no_row_order,0.1,19,222,0.0005196631075734164,0.0009626784496883739,0.0012654641332940104,0.7221078233364437,7.424671319491711e-07,0.0005285727131568064,drop row-order bundles
no_row_order,0.03,19,222,0.0005322268080072291,0.0009701844034732279,0.0012885891722878124,0.705578888896697,8.037268816123405e-07,0.0005418715305865771,drop row-order bundles
no_row_order,0.01,19,222,0.00053942821205315,0.0009686496306243635,0.0013092322338005707,0.6849177208470133,8.432570880563745e-07,0.0005495472971098265,drop row-order bundles
no_row_order,0.003,19,222,0.000543857776283909,0.0009644823597814157,0.0013264338972569533,0.6601243191873928,8.684520211064506e-07,0.0005542792005371864,drop row-order bundles
no_base_prob,1.0,19,268,0.00043649714847076194,0.0008120638759761082,0.0010991444573214492,0.8047524955351785,9.30996811855314e-07,0.0004476691102130257,drop H057 probability-regime bundles
no_base_prob,3.0,19,268,0.00044788599612686207,0.000810756728097409,0.001106100555583979,0.7551656922159377,7.393875502144484e-07,0.00045675864672943545,drop H057 probability-regime bundles
no_base_prob,0.3,19,268,0.00044575401879082363,0.0008336922566305914,0.0011129072545895049,0.8088847291451152,1.1243073455436531e-06,0.00045924570693734747,drop H057 probability-regime bundles
no_base_prob,10.0,19,268,0.0004725321144141987,0.0008064746429986063,0.0011278419066936634,0.672521020017203,5.121508061146167e-07,0.0004786779240875741,drop H057 probability-regime bundles
no_base_prob,100.0,19,268,0.00047995862943137784,0.0007726545930119826,0.001192100017059917,0.5816118805985949,2.192662952468762e-07,0.00048258982497434037,drop H057 probability-regime bundles
no_base_prob,0.1,19,268,0.0004678821852245053,0.0008677169177353781,0.0011513780360143037,0.7303722905563172,1.2733042947606261e-06,0.0004831618367616328,drop H057 probability-regime bundles
no_base_prob,30.0,19,268,0.0004901440624656321,0.0007902169746781976,0.0011507116242582005,0.5857441142085317,3.334485032373373e-07,0.0004941454445044802,drop H057 probability-regime bundles
no_base_prob,0.03,19,268,0.0004922982373071895,0.0008998010837257862,0.0012015228256947955,0.6931821880668866,1.3814060819484011e-06,0.0005088751102905703,drop H057 probability-regime bundles
no_base_prob,0.01,19,268,0.0005123321820443858,0.0009225117429162067,0.0012356187065501946,0.6539259687724878,1.4418329327828066e-06,0.0005296341772377794,drop H057 probability-regime bundles
no_base_prob,0.003,19,268,0.0005282358983642664,0.0009397721222613585,0.0012615890066640114,0.6353309175277725,1.4712152546427371e-06,0.0005458904814199792,drop H057 probability-regime bundles
structural_only,0.3,19,244,0.00043897533229484965,0.000855948508287373,0.001074462496079303,0.825413663584862,1.1168615223689686e-06,0.0004523776705632773,no human-social date features
structural_only,1.0,19,244,0.0004474064874842984,0.0008522852317517125,0.0010466124163637687,0.8295458971947988,9.734577288642303e-07,0.00045908798023066915,no human-social date features
structural_only,0.1,19,244,0.0004498312318956816,0.0008694361390378633,0.001106642858777759,0.8171491963649887,1.2030792414385741e-06,0.0004642681827929445,no human-social date features
structural_only,3.0,19,244,0.0004558791670362013,0.0008517578432659294,0.0010358238262523128,0.8192153131699571,7.895750280120182e-07,0.0004653540673723455,no human-social date features
structural_only,100.0,19,244,0.0004681698111193733,0.0007813572258325742,0.0010783270871787664,0.757231809020906,2.243531778033106e-07,0.0004708620492530131,no human-social date features
structural_only,10.0,19,244,0.00046726823332801475,0.000832508316317687,0.001032386333902783,0.7923557947053683,5.477555115991777e-07,0.00047384129946720485,no human-social date features
structural_only,0.03,19,244,0.0004593793854557641,0.0008797259713518485,0.0011355669118772746,0.80268637873021,1.2495033569516207e-06,0.00047437342573918354,no human-social date features
structural_only,30.0,19,244,0.000472069029542041,0.0008036022963711831,0.0010379685917972959,0.7840913274854948,3.5972070109196803e-07,0.0004763856779551446,no human-social date features
structural_only,0.01,19,244,0.0004647366607099721,0.0008809700809697257,0.001157205363151976,0.7675623930457479,1.2604201209571726e-06,0.00047986170216145815,no human-social date features
structural_only,0.003,19,244,0.0004679135414632062,0.000878483435062549,0.001175534167426007,0.7592979258258744,1.2507747590057331e-06,0.000482922838571275,no human-social date features
human_social_only,0.3,19,83,0.0004142516844002606,0.0007631883110254298,0.0007780611338215985,0.9018599853686916,5.308413476568506e-07,0.0004206217805721428,date/social/pay/month plus target only
human_social_only,0.1,19,83,0.00041364655899355364,0.0007822246778246329,0.0007838045604894449,0.8502070652444826,6.034189498407285e-07,0.0004208875863916424,date/social/pay/month plus target only
human_social_only,0.03,19,83,0.0004233288346587506,0.0008303261952462424,0.0008594139694776072,0.8068186123401468,6.510178686751041e-07,0.00043114104908285183,date/social/pay/month plus target only
human_social_only,1.0,19,83,0.0004323747825847613,0.0007661027664889363,0.0009021703380362009,0.8935955181488182,4.5418588521309165e-07,0.00043782501320731835,date/social/pay/month plus target only
