trial,keep_prob,n_features,h012_public_equation_top_all_k1200_a0.7_pred_delta,h042_target_Q2_phase_k45_s0.5_c45_50fc6607_pred_delta,h050_target_route_phase_b140216b_pred_delta,h071_rowtarget_assignment_a52b6b57_pred_delta,h073_humanaction_bridge_7a2cbf07_pred_delta,h074_antishortcut_inversion_816703df_pred_delta,h075_antibad_transport_f6863945_pred_delta,h088_dual_state_gate_c31cc15b_pred_delta,h126_coeffeq_3fe3eee4_pred_delta,h141_commoncore_0999d3ae_pred_delta,h144_targetxor_def80b88_pred_delta,h145_q3repair_2d818e46_pred_delta,h149_bundle_listener_route_d8e1d789_pred_delta
0,0.6122919680108527,204,0.0003935543180894011,0.00020432001112416007,0.00013569764140059125,7.116141890650981e-05,-0.0009185487147084843,-0.0004385164489983284,-0.0010189622625223298,0.0007312001399170631,-0.00012947201764711583,0.00013325914697808107,0.00013459438747304928,0.0001339914094061,-0.004719089278938572
1,0.6108996375698366,196,0.00038193497754769845,0.00021209906754971296,0.00013644037977069432,0.0003011182605769672,-0.0014934144229716338,-0.00010663629022416389,-0.0014469741777160298,0.0007287719690683539,-0.00013189858821473143,0.00014905029079141164,0.00014653838282771662,0.0001454180257073321,-0.00481179453695911
2,0.46278395495246827,141,0.0003830811127675873,0.0002101368442416113,0.0001285399951495505,-5.396557832250819e-05,-0.0008801005118050812,-0.0005080566304399302,-0.0011950466288699684,0.0007283240084686378,-0.00012618885657886522,0.00014334619508376797,0.0001386866414406633,0.0001374834118314723,-0.004866842627706312
3,0.628076888700277,181,0.000384613668033622,0.0002237475107561987,0.00012194330690221798,4.8316941515472326e-05,-0.00027252089193565744,-0.00027490274727803095,-0.0004164673090028529,0.000722255256577715,-0.00010419652856021879,0.00014713418286922954,0.0001437478294696132,0.00014269420008733395,-0.004595730866444774
4,0.7593760338760966,235,0.0003883176868297906,0.0001959969088129214,0.00013193263564726315,-5.01032148650202e-05,-0.0007588705965321858,0.00013189725290708662,-0.0006179547018570199,0.0007332271187054302,-8.068773577395798e-05,0.00014975053943681296,0.0001474448738300741,0.0001465428357879753,-0.004628433939984627
5,0.5708054725792326,168,0.00039774016286267446,0.0002341115370991387,0.00012095628674561472,0.0001413513078591471,-0.001554708201308529,-9.053852475545257e-05,-0.0012336062000809257,0.0007308491124672256,-0.00012687894823348509,0.0001308228428287903,0.0001311562076327147,0.00013055959622296903,-0.004726252006915558
6,0.46692386003373504,146,0.00041387473724660735,0.00020483086994925963,0.00012347178337175432,0.00037296594383934566,-0.001430689481390299,-0.000175536287573564,-0.0008852008716139013,0.0007284002378005902,-0.00016785672430660121,0.00012331493765823734,0.00012211806781162407,0.00012135892034497066,-0.0049066541234151885
7,0.6358515539118522,193,0.00040223913309088525,0.0001958088570455783,0.00012840052580457485,-0.00027856784886979696,-0.001098485594341688,-0.00022205514871756398,-0.0011585112898808885,0.0007263079056497819,-0.0001044210053893392,0.0001628043043601092,0.00015946912552319384,0.00015859939596978486,-0.004657917728059354
8,0.6847507956126228,210,0.0004085361353600238,0.00019011360375596455,0.00012755649308555147,0.00018322228519689705,-0.0006404680128266948,0.00030231313160817376,-0.0007360368112786544,0.0007284471791911548,-0.0001226077420635815,0.00013630115254612544,0.0001362078037724663,0.00013575693888473247,-0.004585594558489618
9,0.5490003106732952,176,0.00039237900328522197,0.00018821209808817397,0.00014094543293295268,-0.0006774561732659838,-0.0020806916346188943,-0.0006546118954634626,-0.001767850398191451,0.0007296320859649335,-0.0001075647660291,0.0001410997929994527,0.0001410649979699408,0.00014040113166967618,-0.005517226007201022
