candidate_id,family,max_cells,max_rows,q2_cap,max_per_subject,min_route_score,min_human_support,min_cell_score,novelty,alpha,mode,selected_routes,selected_cells,changed_cells_vs_h057,changed_rows_vs_h057,outside_h071_routes,outside_h070_cells,outside_h069_cells,h071_route_overlap,h070_overlap_cells,h069_overlap_cells,h068_overlap_cells,public_action_pred_delta_vs_h057,posterior_delta_vs_h057,responsibility_weighted_delta_vs_h057,max_positive_bad_cosine,mean_h072_route_score,mean_human_route_support,mean_assignment_route_score,mean_cell_assignment_score,mean_public_score,mean_invariant_score,mean_shortcut_energy,h050_null_selected,selected_subjects,route_templates,human_family_templates,bad_cos_submission_h010_ob,bad_cos_submission_e216_ma,bad_cos_submission_e323_55,bad_cos_submission_jepa_la,bad_cos_submission_lejepa_,bad_cos_submission_ordinal,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057,hash,h071_route_support_null_z,action_rank,posterior_rank,responsibility_rank,human_rank,route_rank,assignment_rank,shortcut_avoid_rank,bad_avoid_rank,outside_h069_ratio,outside_h071_route_ratio,q2_risk,route_diversity,human_family_diversity,bigbet_scale_score,h072_score,file,resolved_path
h072_human_route_big_outside_h071_c760_r190_q272_d9986beb,human_route_big,760,190,72,22,0.61,0.22,0.35,outside_h071,1.0,logit,138,538,538,138,138,253,465,0,285,73,185,-0.0006215069407044123,-0.0005108779623615457,-0.0005775176740035767,0.0,0.7773557225129762,1.3451505485242143,0.7611306382587691,0.6817825491237388,0.6237913967073818,0.5705112320764738,0.2434428836962294,0,10,full_state:12;nonq2_full:6;q3_s_stage:105;q_subjective:2;recovery_route:1;s_stage:12,badnight_aftereffect:6;bedtime_arousal:8;body_fatigue:21;cashflow_stress:7;isolation_cocoon:5;measurement_confidence:9;nocturnal_awake:58;recovery_rest:1;routine_anchor:1;routine_pressure:3;social_load:11;weekend_rhythm:8,-0.5448398118397578,-0.5484457488222045,-0.5457087657471877,-0.5382589224501688,-0.5335709793773417,-0.5441744267751242,11,9,79,110,123,99,107,d9986beb,-1.3265227960585246,0.5,0.625,0.625,0.875,0.75,0.5,0.875,0.5,0.8643122676579925,1.0,0.016728624535315983,6,12,0.0,0.7538203664365375,submission_h072_human_route_big_outside_h071_c760_r190_q272_d9986beb.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_human_route_big_outside_h071_c760_r190_q272_d9986beb.csv
h072_human_route_big_outside_h069_c900_r205_q286_4a0705d1,human_route_big,900,205,86,25,0.58,0.2,0.33,outside_h069,1.0,logit,150,600,600,150,120,297,522,30,303,78,205,-0.0007331868742842337,-0.0006457210880326615,-0.0008733157510724287,0.0,0.7700302153601469,1.3339658702310326,0.7523927687198066,0.6648563,0.6125286952380953,0.5636355761904762,0.2560667619047619,0,10,full_state:25;nonq2_full:10;q3_s_stage:113;s_stage:2,badnight_aftereffect:7;bedtime_arousal:8;body_fatigue:21;cashflow_stress:8;isolation_cocoon:7;measurement_confidence:2;nocturnal_awake:61;recovery_rest:1;routine_anchor:1;routine_pressure:12;social_load:10;weekend_rhythm:12,-0.5514603369115235,-0.555112193321108,-0.5525094507523224,-0.5452617172003404,-0.5407095377667824,-0.5510037086976702,22,23,92,116,126,107,114,4a0705d1,-1.3265227960585246,0.875,0.875,0.875,0.625,0.625,0.375,0.375,0.5,0.87,0.8,0.03833333333333333,4,12,0.0,0.7481285714285715,submission_h072_human_route_big_outside_h069_c900_r205_q286_4a0705d1.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_human_route_big_outside_h069_c900_r205_q286_4a0705d1.csv
h072_anti_shortcut_human_big_anti_shortcut_c760_r205_q260_ffc9a916,anti_shortcut_human_big,760,205,60,24,0.56,0.2,0.33,anti_shortcut,1.0,logit,132,559,559,132,104,269,480,28,290,79,199,-0.0006491710049668714,-0.00047802484692119904,-0.0004032925086875202,0.0,0.7804798309595695,1.3080374633099732,0.7835140295619235,0.6732327830309227,0.6193285152057245,0.5569529568106313,0.24436077178635313,0,10,full_state:6;nonq2_full:11;q2_s3_tail:3;q3_s_stage:99;q_subjective:3;recovery_route:5;s_stage:5,badnight_aftereffect:6;bedtime_arousal:7;body_fatigue:20;cashflow_stress:9;isolation_cocoon:12;measurement_confidence:3;nocturnal_awake:56;recovery_rest:1;routine_anchor:3;routine_pressure:3;social_load:7;weekend_rhythm:5,-0.5084254347126997,-0.5121043349603922,-0.509380017025328,-0.5033520550466015,-0.49715709559724264,-0.5051515230548007,24,11,83,112,118,104,107,ffc9a916,-1.3265227960585246,0.625,0.5,0.375,0.5,0.875,0.875,0.75,0.5,0.8586762075134168,0.7878787878787878,0.01967799642218247,7,12,0.0,0.6993460318751017,submission_h072_anti_shortcut_human_big_anti_shortcut_c760_r205_q260_ffc9a916.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_anti_shortcut_human_big_anti_shortcut_c760_r205_q260_ffc9a916.csv
h072_fullvector_social_state_outside_h069_c980_r220_q290_bae1edae,fullvector_social_state,980,220,90,25,0.53,0.18,0.3,outside_h069,1.0,logit,148,704,704,148,97,383,613,51,321,91,245,-0.0009216261684942774,-0.0006960487423011043,-0.0009348440186195413,0.0,0.7274908798716961,0.8855059906574039,0.7483079036917353,0.6332459375,0.5978530681818182,0.5638271428571429,0.2821491071428571,0,10,full_state:117;nonq2_full:3;q3_s_stage:25;q_subjective:2;s_stage:1,badnight_aftereffect:8;bedtime_arousal:10;routine_pressure:66;social_load:19;weekend_rhythm:45,-0.596109399134608,-0.599408244091893,-0.5965318477035179,-0.591152227027128,-0.5869456558044062,-0.5961419193171347,87,75,90,116,117,109,110,bae1edae,-1.3265227960585246,1.0,1.0,1.0,0.25,0.125,0.25,0.125,0.5,0.8707386363636364,0.6554054054054054,0.10653409090909091,5,5,0.10135514041189779,0.6298551093079473,submission_h072_fullvector_social_state_outside_h069_c980_r220_q290_bae1edae.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_fullvector_social_state_outside_h069_c980_r220_q290_bae1edae.csv
h072_cashflow_routine_big_outside_h069_c640_r180_q286_fd6e1e4c,cashflow_routine_big,640,180,86,22,0.52,0.2,0.32,outside_h069,1.0,logit,115,615,615,115,62,308,533,53,307,82,210,-0.0007244442219658113,-0.0006214062193266593,-0.0007971157117811388,0.0,0.7599392404315868,0.8094061587853395,0.8050363106490231,0.6546612729384438,0.6148742671312427,0.588088037166086,0.27309807200929154,0,10,full_state:102;nonq2_full:5;q2_s3_tail:1;q3_s_stage:7,cashflow_stress:14;routine_pressure:58;weekend_rhythm:43,-0.5236145238547145,-0.5281866022685155,-0.5254642423005538,-0.5192616533225292,-0.5147928852581319,-0.5243985132683974,82,64,83,98,105,90,93,fd6e1e4c,-1.3265227960585246,0.75,0.75,0.75,0.125,0.5,1.0,0.25,0.5,0.8666666666666667,0.5391304347826087,0.1040650406504065,4,3,0.0,0.5966230747866486,submission_h072_cashflow_routine_big_outside_h069_c640_r180_q286_fd6e1e4c.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_cashflow_routine_big_outside_h069_c640_r180_q286_fd6e1e4c.csv
h072_measurement_stage_big_anti_shortcut_c660_r190_q20_af0baff3,measurement_stage_big,660,190,0,24,0.54,0.2,0.33,anti_shortcut,1.0,logit,110,452,452,110,96,225,386,14,227,66,161,-0.00047805335190060337,-0.0003558441429192741,-0.00027751794487154555,0.0,0.7843133755360526,1.3414821275001356,0.7830543889986825,0.6764371871049305,0.6150035777496841,0.5533809039190897,0.23887929835651076,0,10,nonq2_full:1;q3_s_stage:83;s_stage:26,body_fatigue:22;measurement_confidence:24;nocturnal_awake:64,-0.45310981861523847,-0.45558936148246865,-0.4528604780703974,-0.4459841225207374,-0.44005720176391383,-0.4493960309930785,1,0,62,101,104,89,95,af0baff3,-1.3265227960585246,0.125,0.125,0.125,0.75,1.0,0.75,1.0,0.5,0.8539823008849557,0.8727272727272727,0.0,3,3,0.0,0.5962651132053787,submission_h072_measurement_stage_big_anti_shortcut_c660_r190_q20_af0baff3.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_measurement_stage_big_anti_shortcut_c660_r190_q20_af0baff3.csv
h072_bedtime_social_big_outside_h069_c720_r185_q274_6413be13,bedtime_social_big,720,185,74,24,0.55,0.21,0.33,outside_h069,1.0,logit,123,455,455,123,111,226,389,12,229,66,166,-0.000569291701252956,-0.0004171439933919959,-0.0005052803005779547,0.0,0.7568741396098125,1.4384611136244065,0.7289415613585485,0.6682947441130299,0.614617770800628,0.5736325714285715,0.25594160125588694,0,10,full_state:2;q3_s_stage:109;q_subjective:12,badnight_aftereffect:8;bedtime_arousal:11;nocturnal_awake:82;social_load:22,-0.47871505522522667,-0.48037762965776853,-0.4782821400688398,-0.4747093983994553,-0.4716266620815054,-0.4797858055304078,9,10,78,92,97,83,86,6413be13,-1.3265227960585246,0.25,0.25,0.5,1.0,0.375,0.125,0.5,0.5,0.8549450549450549,0.9024390243902439,0.02197802197802198,3,4,0.0,0.5606334316090414,submission_h072_bedtime_social_big_outside_h069_c720_r185_q274_6413be13.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_bedtime_social_big_outside_h069_c720_r185_q274_6413be13.csv
h072_recovery_objective_big_outside_h069_c760_r200_q224_b56d61ba,recovery_objective_big,760,200,24,24,0.55,0.2,0.33,outside_h069,1.0,logit,138,584,584,138,97,295,502,41,289,82,206,-0.0005735939633257881,-0.0004680923560638406,-0.0003688110713857417,0.0,0.7421391902178199,0.9043497103464919,0.7677677680634319,0.6642274951076321,0.6099372015655579,0.5539629305283758,0.2555677348336594,0,10,nonq2_full:69;q3_s_stage:24;recovery_route:4;s_stage:41,body_fatigue:25;isolation_cocoon:57;measurement_confidence:40;recovery_rest:4;routine_anchor:12,-0.48439862155382485,-0.487340927651682,-0.4844683753717536,-0.4808562247409761,-0.47486179610018375,-0.48722217066500734,64,0,68,109,123,107,113,b56d61ba,-1.3265227960585246,0.375,0.375,0.25,0.375,0.25,0.625,0.625,0.5,0.8595890410958904,0.7028985507246377,0.0,4,5,0.0,0.48148167843671125,submission_h072_recovery_objective_big_outside_h069_c760_r200_q224_b56d61ba.csv,/Users/kbsoo/Downloads/cl2/hitl/h072_human_social_state_engine_jepa/submission_h072_recovery_objective_big_outside_h069_c760_r200_q224_b56d61ba.csv
