candidate_id,file,resolved_path,high_n,low_n,alpha_high,alpha_mid,alpha_low,changed_cells_vs_h057,changed_rows_vs_h057,changed_cells_vs_h042,changed_rows_vs_h042,q2_changed_vs_h057,posterior_delta_vs_h057,route_energy,route_split_score,high_route_score_mean,low_route_score_mean,high_rows,low_rows,Q1_changed_vs_h057,Q2_changed_vs_h057,Q3_changed_vs_h057,S1_changed_vs_h057,S2_changed_vs_h057,S3_changed_vs_h057,S4_changed_vs_h057
h060_routecore_hi8_lo22_ah2p15_am0p85_al0p0_c12487b8,submission_h060_routecore_hi8_lo22_ah2p15_am0p85_al0p0_c12487b8.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi8_lo22_ah2p15_am0p85_al0p0_c12487b8.csv,8,22,2.15,0.85,0.0,270,45,138,23,0,0.00011118049681635434,0.31483369408369416,0.2925788605800076,0.7787698412698414,0.3533189033189033,"150,148,146,151,149,35,70,158","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi18_lo22_ah2p15_am0p85_al0p0_9d7cf5e2,submission_h060_routecore_hi18_lo22_ah2p15_am0p85_al0p0_9d7cf5e2.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi18_lo22_ah2p15_am0p85_al0p0_9d7cf5e2.csv,18,22,2.15,0.85,0.0,270,45,138,23,0,0.00014875249216883546,0.3276233988919175,0.28770972757256486,0.6938051146384481,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi12_lo22_ah2p15_am0p85_al0p0_2ed12a38,submission_h060_routecore_hi12_lo22_ah2p15_am0p85_al0p0_2ed12a38.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi12_lo22_ah2p15_am0p85_al0p0_2ed12a38.csv,12,22,2.15,0.85,0.0,270,45,138,23,0,0.00013120584885029096,0.3183338009726898,0.2866670520130531,0.7373677248677248,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi10_lo22_ah2p15_am0p85_al0p0_909b8cac,submission_h060_routecore_hi10_lo22_ah2p15_am0p85_al0p0_909b8cac.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi10_lo22_ah2p15_am0p85_al0p0_909b8cac.csv,10,22,2.15,0.85,0.0,270,45,138,23,0,0.00012649053452384873,0.3157813371813372,0.2863307859551283,0.7558730158730159,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi15_lo22_ah2p15_am0p85_al0p0_443a33b0,submission_h060_routecore_hi15_lo22_ah2p15_am0p85_al0p0_443a33b0.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi15_lo22_ah2p15_am0p85_al0p0_443a33b0.csv,15,22,2.15,0.85,0.0,270,45,138,23,0,0.0001456591886295211,0.3233606007161563,0.28490078206028135,0.7143915343915345,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi18_lo22_ah2p15_am1p15_al0p0_491989b0,submission_h060_routecore_hi18_lo22_ah2p15_am1p15_al0p0_491989b0.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi18_lo22_ah2p15_am1p15_al0p0_491989b0.csv,18,22,2.15,1.15,0.0,240,40,138,23,0,0.00014849965117602615,0.3276233988919175,0.2844952295058519,0.6938051146384481,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",40,0,40,40,40,40,40
h060_routecore_hi8_lo22_ah2p15_am1p15_al0p0_da2e52b4,submission_h060_routecore_hi8_lo22_ah2p15_am1p15_al0p0_da2e52b4.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi8_lo22_ah2p15_am1p15_al0p0_da2e52b4.csv,8,22,2.15,1.15,0.0,180,30,138,23,0,0.00010879282752096486,0.31483369408369416,0.2837010651488407,0.7787698412698414,0.3533189033189033,"150,148,146,151,149,35,70,158","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",30,0,30,30,30,30,30
h060_routecore_hi8_lo22_ah1p85_am0p85_al0p0_7abff8ea,submission_h060_routecore_hi8_lo22_ah1p85_am0p85_al0p0_7abff8ea.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi8_lo22_ah1p85_am0p85_al0p0_7abff8ea.csv,8,22,1.85,0.85,0.0,270,45,138,23,0,8.537576493772292e-05,0.29214297739297745,0.2820163678722477,0.7787698412698414,0.3533189033189033,"150,148,146,151,149,35,70,158","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi18_lo18_ah2p15_am0p85_al0p0_f52b02e9,submission_h060_routecore_hi18_lo18_ah2p15_am0p85_al0p0_f52b02e9.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi18_lo18_ah2p15_am0p85_al0p0_f52b02e9.csv,18,18,2.15,0.85,0.0,270,45,162,27,0,0.00013417471226306876,0.3146128747795415,0.2815507600158992,0.6938051146384481,0.32797619047619053,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144","194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi15_lo22_ah2p15_am1p15_al0p0_39e01e32,submission_h060_routecore_hi15_lo22_ah2p15_am1p15_al0p0_39e01e32.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi15_lo22_ah2p15_am1p15_al0p0_39e01e32.csv,15,22,2.15,1.15,0.0,222,37,138,23,0,0.00014427698830110636,0.3233606007161563,0.280217082881303,0.7143915343915345,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",37,0,37,37,37,37,37
h060_routecore_hi12_lo22_ah2p15_am1p15_al0p0_673756ae,submission_h060_routecore_hi12_lo22_ah2p15_am1p15_al0p0_673756ae.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi12_lo22_ah2p15_am1p15_al0p0_673756ae.csv,12,22,2.15,1.15,0.0,204,34,138,23,0,0.0001297509342801373,0.3183338009726898,0.28001752852769196,0.7373677248677248,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",34,0,34,34,34,34,34
h060_routecore_hi22_lo22_ah2p15_am0p85_al0p0_7e862952,submission_h060_routecore_hi22_lo22_ah2p15_am0p85_al0p0_7e862952.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi22_lo22_ah2p15_am0p85_al0p0_7e862952.csv,22,22,2.15,0.85,0.0,270,45,138,23,0,0.00017491119222190488,0.331183421516755,0.2789751611724597,0.6683982683982685,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144,163,164,235,167","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi10_lo22_ah2p15_am1p15_al0p0_2895d899,submission_h060_routecore_hi10_lo22_ah2p15_am1p15_al0p0_2895d899.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi10_lo22_ah2p15_am1p15_al0p0_2895d899.csv,10,22,2.15,1.15,0.0,192,32,138,23,0,0.00012410521626848858,0.3157813371813372,0.2787852188684809,0.7558730158730159,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",32,0,32,32,32,32,32
h060_routecore_hi22_lo22_ah2p15_am1p15_al0p0_8f675441,submission_h060_routecore_hi22_lo22_ah2p15_am1p15_al0p0_8f675441.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi22_lo22_ah2p15_am1p15_al0p0_8f675441.csv,22,22,2.15,1.15,0.0,264,44,138,23,0,0.00017466023484757898,0.331183421516755,0.2784264444717262,0.6683982683982685,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144,163,164,235,167","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",44,0,44,44,44,44,44
h060_routecore_hi22_lo18_ah2p15_am0p85_al0p0_321791c3,submission_h060_routecore_hi22_lo18_ah2p15_am0p85_al0p0_321791c3.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi22_lo18_ah2p15_am0p85_al0p0_321791c3.csv,22,18,2.15,0.85,0.0,270,45,162,27,0,0.00016033341231613818,0.32302272727272735,0.2776660234841424,0.6683982683982685,0.32797619047619053,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144,163,164,235,167","194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi18_lo18_ah2p15_am1p15_al0p0_b6cafc6c,submission_h060_routecore_hi18_lo18_ah2p15_am1p15_al0p0_b6cafc6c.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi18_lo18_ah2p15_am1p15_al0p0_b6cafc6c.csv,18,18,2.15,1.15,0.0,216,36,162,27,0,0.00013391946777230324,0.3146128747795415,0.275670724926559,0.6938051146384481,0.32797619047619053,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144","194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",36,0,36,36,36,36,36
h060_routecore_hi15_lo18_ah2p15_am0p85_al0p0_565c336f,submission_h060_routecore_hi15_lo18_ah2p15_am0p85_al0p0_565c336f.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi15_lo18_ah2p15_am0p85_al0p0_565c336f.csv,15,18,2.15,0.85,0.0,270,45,162,27,0,0.0001310814087237544,0.30655617283950615,0.27494791073934155,0.7143915343915345,0.32797619047619053,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143","194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi10_lo22_ah1p85_am0p85_al0p0_50048942,submission_h060_routecore_hi10_lo22_ah1p85_am0p85_al0p0_50048942.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi10_lo22_ah1p85_am0p85_al0p0_50048942.csv,10,22,1.85,0.85,0.0,270,45,138,23,0,9.3657344662601e-05,0.2889443963443964,0.27492544435297395,0.7558730158730159,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi22_lo18_ah2p15_am1p15_al0p0_06e3239b,submission_h060_routecore_hi22_lo18_ah2p15_am1p15_al0p0_06e3239b.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi22_lo18_ah2p15_am1p15_al0p0_06e3239b.csv,22,18,2.15,1.15,0.0,240,40,162,27,0,0.00016008005144385606,0.32302272727272735,0.27445176976078167,0.6683982683982685,0.32797619047619053,"150,148,146,151,149,35,70,158,103,91,135,121,101,226,143,139,48,144,163,164,235,167","194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",40,0,40,40,40,40,40
h060_routecore_hi8_lo22_ah1p85_am1p15_al0p0_8de0cf0a,submission_h060_routecore_hi8_lo22_ah1p85_am1p15_al0p0_8de0cf0a.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi8_lo22_ah1p85_am1p15_al0p0_8de0cf0a.csv,8,22,1.85,1.15,0.0,180,30,138,23,0,8.298809564233345e-05,0.29214297739297745,0.27313857244108075,0.7787698412698414,0.3533189033189033,"150,148,146,151,149,35,70,158","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",30,0,30,30,30,30,30
h060_routecore_hi8_lo22_ah1p65_am0p85_al0p0_9f5ae880,submission_h060_routecore_hi8_lo22_ah1p65_am0p85_al0p0_9f5ae880.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi8_lo22_ah1p65_am0p85_al0p0_9f5ae880.csv,8,22,1.65,0.85,0.0,270,45,138,23,0,7.232147921443222e-05,0.27701583293249965,0.27302473770171654,0.7787698412698414,0.3533189033189033,"150,148,146,151,149,35,70,158","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
h060_routecore_hi12_lo22_ah1p85_am0p85_al0p0_5344dd4c,submission_h060_routecore_hi12_lo22_ah1p85_am0p85_al0p0_5344dd4c.csv,/Users/kbsoo/Downloads/cl2/hitl/h060_routecore_state_split_jepa/submission_h060_routecore_hi12_lo22_ah1p85_am0p85_al0p0_5344dd4c.csv,12,22,1.85,0.85,0.0,270,45,138,23,0,9.527063476655329e-05,0.28760989524878416,0.2728326969085041,0.7373677248677248,0.3533189033189033,"150,148,146,151,149,35,70,158,103,91,135,121","44,10,216,152,194,174,98,168,203,0,61,56,136,3,196,110,27,225,78,242,97,50",45,0,45,45,45,45,45
