row,subject_id,sleep_date,h055_gain,h055_aux,h036_score,h036_agree,h021_score,h021_conf,h020_score,h019_row_score,h019_inclusion_prob,h055_gain_rank,h055_aux_rank,h036_score_rank,h036_agree_rank,h021_score_rank,h021_conf_rank,h020_score_rank,h019_row_score_rank,route_consensus
150,id06,2024-08-24,0.014288431784790934,0.8033142857142858,2.8161159144824386,1.0,0.6803168015935094,0.5776335317770709,0.6536076190476191,0.94688,0.6352355962422171,0.8888888888888888,1.0,0.7333333333333333,0.9333333333333333,0.9777777777777777,0.8222222222222222,0.9111111111111111,0.9777777777777777,0.8785714285714287
148,id06,2024-08-22,0.01513283084118396,0.7253619047619048,3.9258528076817263,0.8333333333333334,0.6240916710124362,0.603792640776467,0.5281371428571429,0.93216,0.5996901792454465,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7222222222222222,0.9555555555555556,0.9333333333333333,0.6,0.9333333333333333,0.8634920634920635
146,id06,2024-08-20,0.01936535696686681,0.7647190476190476,1.5911743809375296,0.6666666666666666,0.6893892474564884,0.5578519515681567,0.7185180952380953,0.8217600000000002,0.5379560903384492,1.0,0.9777777777777777,0.6666666666666666,0.45555555555555555,1.0,0.8,0.9555555555555556,0.8,0.8190476190476192
151,id06,2024-08-25,0.01211865016479019,0.6287380952380951,1.3298792324638888,0.8333333333333334,0.6068174858294867,0.5394560005760044,0.5872647619047618,0.90592,0.5907074293369827,0.8,0.8222222222222222,0.5777777777777777,0.7222222222222222,0.9333333333333333,0.7555555555555555,0.7333333333333333,0.9111111111111111,0.7555555555555558
149,id06,2024-08-23,0.009009808445668857,0.6600333333333334,1.367589081494283,0.8333333333333334,0.5761528916924613,0.6562120775099256,0.5301714285714286,0.87712,0.5779887358560317,0.7333333333333333,0.8444444444444444,0.6,0.7222222222222222,0.8666666666666667,1.0,0.6444444444444445,0.8888888888888888,0.7392857142857144
35,id02,2024-09-03,0.01408950193838221,0.4903571428571429,1.563494875537641,0.8333333333333334,0.5514580307464412,0.5268977727798251,0.5598780952380952,0.7596800000000001,0.5104612111080101,0.8666666666666667,0.35555555555555557,0.6444444444444445,0.7222222222222222,0.7333333333333333,0.7111111111111111,0.6888888888888889,0.6222222222222222,0.7353174603174604
70,id03,2024-09-16,0.01762312766222092,0.5573857142857143,1.9477004041451065,0.8333333333333334,0.47943147861594776,0.476462154984501,0.46026666666666666,0.95808,0.6986594061754967,0.9555555555555556,0.6,0.6888888888888889,0.7222222222222222,0.3333333333333333,0.6,0.4,1.0,0.7234126984126985
158,id07,2024-07-20,0.018941681945823796,0.5795142857142858,0.5894410335645679,0.8333333333333334,0.5739863363965931,0.2007326343639181,0.7944800000000001,0.7743199999999999,0.5136208681637233,0.9777777777777777,0.6888888888888889,0.3333333333333333,0.7222222222222222,0.8444444444444444,0.13333333333333333,1.0,0.6444444444444445,0.7154761904761906
103,id04,2024-10-26,0.006434041353384126,0.6142333333333333,3.587626060600195,1.0,0.508609676980969,0.2219588610953214,0.5742514285714285,0.80464,0.5925591507795087,0.5333333333333333,0.7555555555555555,0.8666666666666667,0.9333333333333333,0.5111111111111111,0.15555555555555556,0.7111111111111111,0.7333333333333333,0.6670634920634921
91,id04,2024-09-25,0.014340662052178543,0.5410761904761905,0.6626418956734199,0.8333333333333334,0.49259815715520566,0.3806698333950762,0.5342590476190476,0.8028,0.530468322834973,0.9111111111111111,0.5111111111111111,0.4222222222222222,0.7222222222222222,0.4444444444444444,0.4,0.6666666666666666,0.7111111111111111,0.6615079365079366
135,id06,2024-07-14,0.011037780596364007,0.6685952380952381,3.786807946244582,0.6666666666666666,0.5364198353496471,0.5870172719863307,0.4417295238095238,0.6352,0.4819845174928066,0.7555555555555555,0.8666666666666667,0.8888888888888888,0.45555555555555555,0.6888888888888889,0.8666666666666667,0.3111111111111111,0.4666666666666667,0.6595238095238096
121,id05,2024-11-13,0.007103435526696206,0.5522523809523809,1.0286958363583192,1.0,0.5768021067199516,0.3770867240759484,0.6169714285714285,0.39072,0.4799724836799834,0.6,0.5555555555555556,0.5111111111111111,0.9333333333333333,0.8888888888888888,0.37777777777777777,0.8222222222222222,0.17777777777777778,0.6301587301587301
101,id04,2024-10-24,0.006423136947547054,0.5633857142857144,3.0376218388796277,0.8333333333333334,0.547648714281351,0.2587997618829452,0.6430438095238095,0.5352,0.5121607820056533,0.5111111111111111,0.6444444444444445,0.8,0.7222222222222222,0.7111111111111111,0.24444444444444444,0.8666666666666667,0.35555555555555557,0.6273809523809525
226,id09,2024-09-21,0.012460835189166103,0.6160809523809524,1.1281758012550653,0.5,0.5316384932417385,0.1405667519229787,0.655992380952381,0.8154399999999999,0.5385511896328357,0.8222222222222222,0.7777777777777778,0.5333333333333333,0.24444444444444444,0.6666666666666666,0.022222222222222223,0.9333333333333333,0.7777777777777778,0.621825396825397
143,id06,2024-08-13,0.003988310407564372,0.6811619047619049,9.84013735938724,0.8333333333333334,0.5670585202159445,0.5777449820321029,0.4151428571428571,0.94144,0.7075596837546477,0.2222222222222222,0.8888888888888888,1.0,0.7222222222222222,0.8222222222222222,0.8444444444444444,0.28888888888888886,0.9555555555555556,0.6182539682539684
139,id06,2024-07-19,0.007747249500654297,0.6999095238095238,5.943664220986795,0.5,0.5522993297070182,0.4513271247255668,0.4037790476190477,0.7105600000000001,0.6006466720865875,0.6666666666666666,0.9111111111111111,0.9555555555555556,0.24444444444444444,0.7555555555555555,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.5976190476190476
48,id02,2024-10-05,0.004728735860835346,0.626747619047619,3.8244189566213933,0.8333333333333334,0.5541021533338244,0.5921774333357889,0.4537142857142857,0.75064,0.5244914860997171,0.26666666666666666,0.8,0.9111111111111111,0.7222222222222222,0.8,0.8888888888888888,0.35555555555555557,0.6,0.5912698412698413
144,id06,2024-08-14,0.0053749672204869495,0.7397,6.329705250844765,0.3333333333333333,0.5887208965237195,0.5340416254757402,0.45742476190476183,0.8576,0.6154177538029711,0.4222222222222222,0.9555555555555556,0.9777777777777777,0.08888888888888889,0.9111111111111111,0.7333333333333333,0.37777777777777777,0.8666666666666667,0.5837301587301589
163,id07,2024-07-25,0.007546489451658367,0.5876714285714286,0.7301767039841996,0.6666666666666666,0.5251759176253973,0.1878900643174627,0.6414133333333333,0.8220000000000001,0.5391635714890193,0.6222222222222222,0.7111111111111111,0.4666666666666667,0.45555555555555555,0.6444444444444445,0.1111111111111111,0.8444444444444444,0.8222222222222222,0.578968253968254
