feature_set,null_family,selection_policy,decoder_action,release_fraction,decisive_only,support_auc,support_ap,base_positive_rate,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,all_gain_sum,all_mean_gain,all_positive_gain_rate,uses_public_score_ledger,uses_prior_submission_probabilities,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,robust_score
binary_preference__action_pair_only,observed,top05_all_cells,raw_memory_release,0.05,False,0.5492147227936591,0.5491671932765374,0.4980952380952381,158,-17.58844326613248,-0.11131926117805367,0.5632911392405063,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-3.09007882285441,2.284746205086226,-14.498364443278069,-6.345722081079418,-21.579869358628223
binary_preference__action_pair_only,observed,top10_all_cells,raw_memory_release,0.1,False,0.5492147227936591,0.5491671932765374,0.4980952380952381,315,-12.167458799584125,-0.03862685333201309,0.6222222222222222,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-5.2900149084691765,3.296302939293249,-6.8774438911149485,-2.086411357746604,-13.898177125427036
binary_preference__action_pair_only,observed,top18_all_cells,raw_memory_release,0.18,False,0.5492147227936591,0.5491671932765374,0.4980952380952381,567,-15.443878792396507,-0.02723788146807144,0.6119929453262787,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-8.688976537271458,5.030485312592183,-6.7549022551250495,-1.3427933559842327,-17.08702958832494
binary_preference__action_pair_only,observed,top25_all_cells,raw_memory_release,0.25,False,0.5492147227936591,0.5491671932765374,0.4980952380952381,788,-14.03282897623002,-0.017808158599276674,0.600253807106599,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-12.44633949043378,5.797829586103813,-1.586489485796239,-0.2736350667495856,-14.301278701242397
binary_preference__action_pair_only,observed,top18_decisive_only,raw_memory_release,0.18,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,439,-16.364903663136708,-0.03727768488186038,0.621867881548975,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-8.867608217414084,4.448697509608624,-7.497295445722624,-1.6852787651957488,-18.21858285539578
binary_preference__action_pair_only,observed,low05_inverse_decisive,inverse_toxic_memory,0.05,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,122,-22.04733113552417,-0.1807158289797063,0.4426229508196721,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-2.8373006847601068,2.0314852204382934,-19.210030450764066,-9.456150730262019,-27.49567506893123
binary_preference__action_pair_only,observed,low08_inverse_decisive,inverse_toxic_memory,0.08,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,195,-22.750511796034516,-0.11666929126171546,0.4717948717948718,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-4.317129604352503,2.1064639638598814,-18.433382191682014,-8.750865197762373,-27.94097784182729
binary_preference__action_pair_only,observed,low10_inverse_decisive,inverse_toxic_memory,0.1,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,244,-26.79053509207489,-0.10979727496752004,0.47540983606557374,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-5.1606321469121275,2.4996159940930975,-21.629902945162762,-8.653290343907585,-32.77142159686179
binary_preference__action_pair_only,observed,low18_inverse_decisive,inverse_toxic_memory,0.18,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,439,-40.76952517577269,-0.09286907784914053,0.48519362186788156,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-11.578512840454607,3.742793397685701,-29.191012335318085,-7.799258263458491,-48.56992051521192
binary_preference__action_pair_only,observed,low25_inverse_decisive,inverse_toxic_memory,0.25,True,0.5492147227936591,0.5491671932765374,0.4980952380952381,610,-49.74678341889266,-0.0815521039653978,0.5,-48.053725198099905,-0.015255150856539652,0.4980952380952381,False,False,-17.40334576034144,4.572701988364002,-32.343437658551224,-7.073156689601567,-58.2734953686986
