feature_set,pairwise_weight_mode,base_feature_set,pairwise_training_examples_mean,pairwise_training_examples_min,full_pairwise_training_examples,support_auc,support_ap,score_mean,score_std
tail_weighted_preference__action_pair_only,tail_weighted_preference,action_pair_only,22680.0,22680,25200,0.5825616416101176,0.5639997892482607,0.4994187921889931,0.022669338887508307
binary_preference__world_residual_energy_action_pair,binary_preference,world_residual_energy_action_pair,22680.0,22680,25200,0.5751853692812473,0.5621230327269171,0.5065575662836906,0.05103007445771326
binary_preference__world_predicted_action_pair,binary_preference,world_predicted_action_pair,22680.0,22680,25200,0.5742305557268859,0.5579711506378009,0.5067992067023326,0.052536870447379626
binary_preference__world_full_action_pair,binary_preference,world_full_action_pair,22680.0,22680,25200,0.5733771293833844,0.5593214971150423,0.5034732131663577,0.05066894262597256
tail_weighted_preference__target_action_pair_only,tail_weighted_preference,target_action_pair_only,22680.0,22680,25200,0.5599083524114636,0.5463486103607909,0.500023333519864,0.02216770883775625
binary_preference__target_action_pair_only,binary_preference,target_action_pair_only,22680.0,22680,25200,0.5565367741290476,0.5534186645378985,0.4985024253480984,0.04095096344524614
binary_preference__action_pair_only,binary_preference,action_pair_only,22680.0,22680,25200,0.5492147227936591,0.5491671932765374,0.4967675053835216,0.038071153153221036
tail_weighted_preference__world_full_action_pair,tail_weighted_preference,world_full_action_pair,22680.0,22680,25200,0.5465935711236324,0.5386137849061308,0.49685378555692,0.04661969110121052
tail_weighted_preference__world_residual_energy_action_pair,tail_weighted_preference,world_residual_energy_action_pair,22680.0,22680,25200,0.5441574561525508,0.5289937569950548,0.5036081265157412,0.04508527701940551
tail_weighted_preference__world_predicted_action_pair,tail_weighted_preference,world_predicted_action_pair,22680.0,22680,25200,0.5425247793971513,0.528832588590999,0.4937926188050082,0.041540422863647584
binary_preference__world_residual_energy_pair,binary_preference,world_residual_energy_pair,22680.0,22680,25200,0.5129221326064092,0.5089459613055421,0.5024326170920537,0.024756909870448773
tail_weighted_preference__world_residual_energy_pair,tail_weighted_preference,world_residual_energy_pair,22680.0,22680,25200,0.5063339795508245,0.4922230344486254,0.512750680315816,0.039228342008915014
