family,candidate_id,file,path,weight,score_rank,score,route_basis_pred_delta_vs_h057,model_pred_delta_vs_h057,selected_cells,changed_rows_vs_h057,h109_source_weight
h103,h103_dense_nullplus_conflict_c132_r45_amp100_89496ed5,submission_h103_dense_nullplus_conflict_c132_r45_amp100_89496ed5.csv,/Users/kbsoo/Downloads/cl2/hitl/h103_toxic_shadow_cancellation_hsjepa/submission_h103_dense_nullplus_conflict_c132_r45_amp100_89496ed5.csv,1.65186,1.0,1.4107361586926523,-0.0024375893254943,-6.32536661971493e-05,28,23,1.65186
h103,h103_balanced_shadow_portfolio_c180_r62_amp090_e85cab26,submission_h103_balanced_shadow_portfolio_c180_r62_amp090_e85cab26.csv,/Users/kbsoo/Downloads/cl2/hitl/h103_toxic_shadow_cancellation_hsjepa/submission_h103_balanced_shadow_portfolio_c180_r62_amp090_e85cab26.csv,1.4610965040000004,0.8,1.3578107779777508,-0.002173609561911,-6.755612893089241e-05,40,34,1.4610965040000004
h103,h103_qsubjective_gain_cancel_c90_r30_amp085_181367a1,submission_h103_qsubjective_gain_cancel_c90_r30_amp085_181367a1.csv,/Users/kbsoo/Downloads/cl2/hitl/h103_toxic_shadow_cancellation_hsjepa/submission_h103_qsubjective_gain_cancel_c90_r30_amp085_181367a1.csv,1.2879720000000003,0.6,1.19449747178838,-0.0016193376152164,-7.017808963313105e-05,29,19,1.2879720000000003
h103,h103_objective_shadow_bridge_c150_r55_amp080_1815e908,submission_h103_objective_shadow_bridge_c150_r55_amp080_1815e908.csv,/Users/kbsoo/Downloads/cl2/hitl/h103_toxic_shadow_cancellation_hsjepa/submission_h103_objective_shadow_bridge_c150_r55_amp080_1815e908.csv,1.1060280000000002,0.4,1.1676568738997333,-0.0016007365654149,-0.0001001080932274,37,25,1.1060280000000002
h103,h103_id06_block_shadow_cancel_c96_r20_amp110_db0fed69,submission_h103_id06_block_shadow_cancel_c96_r20_amp110_db0fed69.csv,/Users/kbsoo/Downloads/cl2/hitl/h103_toxic_shadow_cancellation_hsjepa/submission_h103_id06_block_shadow_cancel_c96_r20_amp110_db0fed69.csv,0.9240840000000002,0.2,0.9694189500410638,-0.0016008014706068,-4.305687723760621e-05,13,10,0.9240840000000002
h104,h104_broad_route_resid_c160_a085_52f826e6,submission_h104_broad_route_resid_c160_a085_52f826e6.csv,/Users/kbsoo/Downloads/cl2/hitl/h104_toxic_axis_residual_transport_hsjepa/submission_h104_broad_route_resid_c160_a085_52f826e6.csv,1.529402112,1.0,1.2740140039727992,-0.0017582832401623,-8.594163903643268e-05,87,64,1.529402112
h104,h104_objective_resid_q2zero_c120_a095_5ee42853,submission_h104_objective_resid_q2zero_c120_a095_5ee42853.csv,/Users/kbsoo/Downloads/cl2/hitl/h104_toxic_axis_residual_transport_hsjepa/submission_h104_objective_resid_q2zero_c120_a095_5ee42853.csv,1.1172000000000002,0.5,1.1305378275952611,-0.0006893151508205,-0.0002379980983057,115,78,1.1172000000000002
h105,h105_discrete_plus_only_c90_s30_8f0e502e,submission_h105_discrete_plus_only_c90_s30_8f0e502e.csv,/Users/kbsoo/Downloads/cl2/hitl/h105_signed_route_coefficient_solver_hsjepa/submission_h105_discrete_plus_only_c90_s30_8f0e502e.csv,1.7619840000000002,1.0,1.466604005240851,-0.0027270772386153,-1.8480295605700155e-05,8,4,1.7619840000000002
h105,h105_signed_null_lagrange_c120_s42_74a05a1d,submission_h105_signed_null_lagrange_c120_s42_74a05a1d.csv,/Users/kbsoo/Downloads/cl2/hitl/h105_signed_route_coefficient_solver_hsjepa/submission_h105_signed_null_lagrange_c120_s42_74a05a1d.csv,1.519392,0.75,1.4632348706474634,-0.0027169918438965,-1.8375008248290017e-05,8,4,1.519392
h105,h105_objective_coeff_q2zero_c150_s52_127f76c9,submission_h105_objective_coeff_q2zero_c150_s52_127f76c9.csv,/Users/kbsoo/Downloads/cl2/hitl/h105_signed_route_coefficient_solver_hsjepa/submission_h105_objective_coeff_q2zero_c150_s52_127f76c9.csv,1.2768000000000002,0.5,1.3108572726161571,-0.0023256387690324,-6.016461156060828e-05,14,4,1.2768000000000002
