file,basename,changed_rows_vs_current,changed_cells_vs_current,mean_abs_logit_delta_vs_current,l1_logit_delta_vs_current,max_abs_logit_delta_vs_current,max_abs_prob_delta_vs_current,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4,cos_delta_with_h003_tiny,l1_ratio_to_h003_tiny
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_signed_top40_a008_cap004_8aef9545.csv,submission_h007_s4latent_signed_top40_a008_cap004_8aef9545.csv,40,40,9.142857142857089e-05,0.15999999999999906,0.004000000000000892,0.0009999948078449616,0,0,0,0,0,0,40,0.06118918194437629,0.011815757578017243
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top20_a018_cap008_4eab106c.csv,submission_h007_s4latent_pos_top20_a018_cap008_4eab106c.csv,20,20,9.1428571428571e-05,0.15999999999999925,0.008000000000000895,0.001999810397880164,0,0,0,0,0,0,20,0.010096889142318455,0.011815757578017259
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_lowenergy_top28_a016_cap006_21a42c54.csv,submission_h007_s4latent_lowenergy_top28_a016_cap006_21a42c54.csv,28,28,9.327597287153495e-05,0.16323295252518616,0.00600000000000156,0.0014993756722535556,0,0,0,0,0,0,28,-0.00570325611544556,0.012054506223635054
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_down_control_top28_a016_cap006_a3613ab8.csv,submission_h007_s4latent_down_control_top28_a016_cap006_a3613ab8.csv,28,28,9.327597287153919e-05,0.1632329525251936,0.0060000000000011156,0.0014995455635117283,0,0,0,0,0,0,28,0.0057032561154441485,0.012054506223635604
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top36_a015_cap006_3b5b1e47.csv,submission_h007_s4latent_pos_top36_a015_cap006_3b5b1e47.csv,36,36,0.0001234285714285687,0.21599999999999525,0.006000000000000449,0.0014998437977808976,0,0,0,0,0,0,36,-0.009494658880961395,0.015951272730323023
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top50_a012_cap005_2c6bc5c9.csv,submission_h007_s4latent_pos_top50_a012_cap005_2c6bc5c9.csv,50,50,0.00014285714285714078,0.24999999999999636,0.005000000000000782,0.0012498636854969547,0,0,0,0,0,0,50,-0.009538467046257852,0.018462121215651783
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_lowenergy_top60_a018_cap008_f9f31a85.csv,submission_h007_s4latent_lowenergy_top60_a018_cap008_f9f31a85.csv,57,57,0.00024312262206707878,0.42546458861738784,0.00800000000000134,0.001999125150130676,0,0,0,0,0,0,57,-0.028415946673565604,0.031419915232086995
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top80_a014_cap006_31d9abce.csv,submission_h007_s4latent_pos_top80_a014_cap006_31d9abce.csv,80,80,0.0002664935893554111,0.4663637813719695,0.00600000000000156,0.0014998437977808976,0,0,0,0,0,0,80,-0.027618202262753806,0.03444025864911661
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_signed_top80_a010_cap006_37820f4c.csv,submission_h007_s4latent_signed_top80_a010_cap006_37820f4c.csv,80,80,0.00027428571428571476,0.48000000000000087,0.006000000000002004,0.0014999945181743968,0,0,0,0,0,0,80,0.04480575979838943,0.035447272734052
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top50_a024_cap010_1860fc52.csv,submission_h007_s4latent_pos_top50_a024_cap010_1860fc52.csv,50,50,0.00028571428571428595,0.5000000000000004,0.010000000000002451,0.0024997846655711586,0,0,0,0,0,0,50,-0.009538467046598172,0.036924242431304134
hitl/h007_s4_mobility_latent_model/submission_h007_s4latent_pos_top80_a020_cap008_6e21f037.csv,submission_h007_s4latent_pos_top80_a020_cap008_6e21f037.csv,80,80,0.000356215331732218,0.6233768305313815,0.00800000000000134,0.001999810397880164,0,0,0,0,0,0,80,-0.027635883044106004,0.04603543443319741
