score_source,matched_feature_count,matched_features,fallback_episodes,hypothesis_id,hidden_human_state,route_key,gate_tags,gate_relaxed,h005_avg_delta,h005_worst_delta,train_gate_rows,test_gate_rows
observable_features+episode_fallback,23,"commute_workday,finance_shopping_stress,night_out_mobility,outdoor_nature_day,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing,paymonth_start_post7_spend_outing,vehicle_noise_day","routine_fragmentation,commute_pressure",H0704,weekend_obligation_commute,S4_up|Q2_up|S1_down,subject_residual,False,-9.535648541858608e-05,-8.506476906515514e-05,450,250
observable_features+episode_fallback,28,"afterwork_recovery,finance_shopping_stress,home_stability,media_binge_late,night_out_mobility,outdoor_nature_day,overtraining_arousal,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing","home_recovery,routine_anchor_recovery,routine_fragmentation,physiology_strain",H0774,errand_physical_drain,Q1_down|S4_up|S1_down,subject_residual,False,-9.309067535887408e-05,-8.120247294997673e-05,450,250
observable_features+episode_fallback,12,"bright_light_late,commute_workday,deepnight_phone_awake,late_msg_call,late_search_spiral,media_binge_late,night_out_mobility,outdoor_nature_day,phone_in_bed,presleep_msg_drag,quiet_dark_bedtime,vehicle_noise_day","commute_pressure,measurement_wear_confidence",H0646,high_confidence_vehicle_exposure,S4_up|S1_down,late_arousal,False,-6.412408293384389e-05,-6.227125278820108e-05,203,106
observable_features+episode_fallback,4,"app_entropy_scattered_day,night_out_mobility,outdoor_nature_day,vehicle_noise_day","routine_fragmentation,cashflow_stress,cashflow_relief_spend",H0568,errand_fragmentation,S1_down|S4_up|Q1_down,cashflow_calendar,False,-9.58286353163247e-05,-9.142614865797868e-05,203,144
observable_features+episode_fallback,9,"app_entropy_scattered_day,commute_workday,night_out_mobility,outdoor_nature_day,quiet_dark_bedtime,ritual_anchor,vehicle_noise_day,weekday_routine_pressure,weekend_ritual_rest","routine_fragmentation,commute_pressure",H0562,errand_fragmentation,S1_down|S4_up|Q1_down,weekday,False,-8.502761866394299e-05,-8.191898400786191e-05,315,182
observable_features+episode_fallback,4,"commute_workday,deepnight_phone_awake,morning_after_badnight,vehicle_noise_day","badnight_aftereffect,bedtime_arousal,commute_pressure",H0094,forced_commute_after_badnight,Q3_up|S4_up|Q1_down,subject_residual,False,-8.373236329458458e-05,-7.982630786472731e-05,450,250
