feature_set,C,split,mode,rep,base_loss,null_loss,null_delta
mobility_teacher,0.05,subject5,row,0,0.7055693968723641,0.7095737563206771,0.004004359448313011
mobility_teacher,0.05,subject5,row,1,0.7055693968723641,0.7090955878868527,0.003526191014488589
mobility_teacher,0.05,subject5,row,2,0.7055693968723641,0.7118399463660863,0.006270549493722188
mobility_teacher,0.05,subject5,row,3,0.7055693968723641,0.7039522813413128,-0.0016171155310512608
mobility_teacher,0.05,subject5,subject,0,0.7055693968723641,0.7071129670490112,0.00154357017664708
mobility_teacher,0.05,subject5,subject,1,0.7055693968723641,0.7051454169069717,-0.0004239799653923404
mobility_teacher,0.05,subject5,subject,2,0.7055693968723641,0.7110263079536494,0.0054569110812853205
mobility_teacher,0.05,subject5,subject,3,0.7055693968723641,0.7086115741862539,0.0030421773138897823
mobility_teacher,0.05,subject5,dateblock,0,0.7055693968723641,0.7056202835762012,5.0886703837127456e-05
mobility_teacher,0.05,subject5,dateblock,1,0.7055693968723641,0.7075993387239512,0.0020299418515871137
mobility_teacher,0.05,subject5,dateblock,2,0.7055693968723641,0.7140352384777101,0.008465841605346025
mobility_teacher,0.05,subject5,dateblock,3,0.7055693968723641,0.7053351142210277,-0.0002342826513364038
mobility_teacher,0.05,dateblock5,row,0,0.6574191987513781,0.6584688205159728,0.001049621764594666
mobility_teacher,0.05,dateblock5,row,1,0.6574191987513781,0.6565181534588174,-0.0009010452925607426
mobility_teacher,0.05,dateblock5,row,2,0.6574191987513781,0.6619446032524795,0.004525404501101393
mobility_teacher,0.05,dateblock5,row,3,0.6574191987513781,0.6597651718525898,0.0023459731012116514
mobility_teacher,0.05,dateblock5,subject,0,0.6574191987513781,0.6628039361379711,0.005384737386592953
mobility_teacher,0.05,dateblock5,subject,1,0.6574191987513781,0.6600414483515994,0.0026222496002212825
mobility_teacher,0.05,dateblock5,subject,2,0.6574191987513781,0.6565755487770869,-0.0008436499742912051
mobility_teacher,0.05,dateblock5,subject,3,0.6574191987513781,0.65588826620121,-0.0015309325501681181
mobility_teacher,0.05,dateblock5,dateblock,0,0.6574191987513781,0.6431330619728007,-0.014286136778577374
mobility_teacher,0.05,dateblock5,dateblock,1,0.6574191987513781,0.6533651278713375,-0.004054070880040617
mobility_teacher,0.05,dateblock5,dateblock,2,0.6574191987513781,0.651095747136829,-0.006323451614549058
mobility_teacher,0.05,dateblock5,dateblock,3,0.6574191987513781,0.6371788248383473,-0.020240373913030796
mobility_teacher,0.12,subject5,row,0,0.7116089121643729,0.7112616115730441,-0.0003473005913288141
mobility_teacher,0.12,subject5,row,1,0.7116089121643729,0.7188343872104568,0.00722547504608384
mobility_teacher,0.12,subject5,row,2,0.7116089121643729,0.7084490442218296,-0.003159867942543304
mobility_teacher,0.12,subject5,row,3,0.7116089121643729,0.7153603103871309,0.00375139822275794
mobility_teacher,0.12,subject5,subject,0,0.7116089121643729,0.710553728328281,-0.001055183836091933
mobility_teacher,0.12,subject5,subject,1,0.7116089121643729,0.7096730212912241,-0.0019358908731488267
mobility_teacher,0.12,subject5,subject,2,0.7116089121643729,0.7208493543087586,0.009240442144385685
mobility_teacher,0.12,subject5,subject,3,0.7116089121643729,0.714066569497867,0.002457657333494012
mobility_teacher,0.12,subject5,dateblock,0,0.7116089121643729,0.7082593103489577,-0.003349601815415215
mobility_teacher,0.12,subject5,dateblock,1,0.7116089121643729,0.7059805616041174,-0.005628350560255568
mobility_teacher,0.12,subject5,dateblock,2,0.7116089121643729,0.7138196007250883,0.0022106885607153792
mobility_teacher,0.12,subject5,dateblock,3,0.7116089121643729,0.7166344456384995,0.005025533474126598
mobility_teacher,0.12,dateblock5,row,0,0.6638428837377442,0.670016115142751,0.006173231405006696
mobility_teacher,0.12,dateblock5,row,1,0.6638428837377442,0.6601802307445118,-0.003662652993232429
mobility_teacher,0.12,dateblock5,row,2,0.6638428837377442,0.6614719932958563,-0.002370890441887985
mobility_teacher,0.12,dateblock5,row,3,0.6638428837377442,0.664899426328769,0.0010565425910247228
mobility_teacher,0.12,dateblock5,subject,0,0.6638428837377442,0.6613673278816292,-0.0024755558561150304
mobility_teacher,0.12,dateblock5,subject,1,0.6638428837377442,0.6529944214985957,-0.010848462239148593
mobility_teacher,0.12,dateblock5,subject,2,0.6638428837377442,0.6701538650005222,0.006310981262777959
mobility_teacher,0.12,dateblock5,subject,3,0.6638428837377442,0.6720876925176934,0.008244808779949153
mobility_teacher,0.12,dateblock5,dateblock,0,0.6638428837377442,0.6708673179781972,0.007024434240452959
mobility_teacher,0.12,dateblock5,dateblock,1,0.6638428837377442,0.66268675897642,-0.0011561247613242065
mobility_teacher,0.12,dateblock5,dateblock,2,0.6638428837377442,0.6530611086702347,-0.010781775067509547
mobility_teacher,0.12,dateblock5,dateblock,3,0.6638428837377442,0.6616229457843585,-0.002219937953385709
mobility_teacher,0.35,subject5,row,0,0.7226843518383355,0.7322641886092043,0.009579836770868821
mobility_teacher,0.35,subject5,row,1,0.7226843518383355,0.7238797362195846,0.0011953843812491094
mobility_teacher,0.35,subject5,row,2,0.7226843518383355,0.7265786810036765,0.0038943291653410483
mobility_teacher,0.35,subject5,row,3,0.7226843518383355,0.7208831774995696,-0.0018011743387658097
mobility_teacher,0.35,subject5,subject,0,0.7226843518383355,0.7245333453875635,0.001848993549228073
mobility_teacher,0.35,subject5,subject,1,0.7226843518383355,0.7247882841400723,0.0021039323017368883
mobility_teacher,0.35,subject5,subject,2,0.7226843518383355,0.7200180744548839,-0.0026662773834515985
mobility_teacher,0.35,subject5,subject,3,0.7226843518383355,0.718094993301907,-0.0045893585364285006
mobility_teacher,0.35,subject5,dateblock,0,0.7226843518383355,0.7239565862382873,0.0012722343999518326
mobility_teacher,0.35,subject5,dateblock,1,0.7226843518383355,0.7319573142332986,0.009272962394963113
mobility_teacher,0.35,subject5,dateblock,2,0.7226843518383355,0.7239719679757597,0.00128761613742423
mobility_teacher,0.35,subject5,dateblock,3,0.7226843518383355,0.7240258461913911,0.001341494353055639
mobility_teacher,0.35,dateblock5,row,0,0.670939855156744,0.6772757167252795,0.006335861568535495
mobility_teacher,0.35,dateblock5,row,1,0.670939855156744,0.6751814934978004,0.004241638341056397
mobility_teacher,0.35,dateblock5,row,2,0.670939855156744,0.6732235911775151,0.002283736020771032
mobility_teacher,0.35,dateblock5,row,3,0.670939855156744,0.6814329456435699,0.010493090486825896
mobility_teacher,0.35,dateblock5,subject,0,0.670939855156744,0.6753024448021319,0.0043625896453878266
mobility_teacher,0.35,dateblock5,subject,1,0.670939855156744,0.672027142423349,0.0010872872666050082
mobility_teacher,0.35,dateblock5,subject,2,0.670939855156744,0.6738628623970843,0.002923007240340225
mobility_teacher,0.35,dateblock5,subject,3,0.670939855156744,0.6725037686596415,0.0015639135028974183
mobility_teacher,0.35,dateblock5,dateblock,0,0.670939855156744,0.6786179223108287,0.0076780671540847
mobility_teacher,0.35,dateblock5,dateblock,1,0.670939855156744,0.6697152019891928,-0.0012246531675512706
mobility_teacher,0.35,dateblock5,dateblock,2,0.670939855156744,0.6568704327849636,-0.014069422371780438
mobility_teacher,0.35,dateblock5,dateblock,3,0.670939855156744,0.6684416374760602,-0.002498217680683812
mobility_teacher,0.8,subject5,row,0,0.7387100102694526,0.7445976360396299,0.005887625770177318
mobility_teacher,0.8,subject5,row,1,0.7387100102694526,0.7459524899431007,0.007242479673648106
mobility_teacher,0.8,subject5,row,2,0.7387100102694526,0.7394571566798042,0.0007471464103515624
mobility_teacher,0.8,subject5,row,3,0.7387100102694526,0.7418633455599001,0.0031533352904474787
mobility_teacher,0.8,subject5,subject,0,0.7387100102694526,0.7368133671541832,-0.0018966431152693808
mobility_teacher,0.8,subject5,subject,1,0.7387100102694526,0.7415635431287776,0.002853532859324992
mobility_teacher,0.8,subject5,subject,2,0.7387100102694526,0.7466023664803841,0.00789235621093154
mobility_teacher,0.8,subject5,subject,3,0.7387100102694526,0.7486177705536103,0.00990776028415774
