feature_set,C,split,n_added_features,base_loss,plus_loss,delta_logloss,null_median_delta,null_p10_delta,null_dominance,beats_base,splits,mean_delta,worst_delta,subject5_delta,dateblock5_delta,min_null_dominance,mean_null_dominance
mobility_jepa,0.05,subject5,6,0.7055693968723641,0.697171163407654,-0.008398233464710136,0.008060208626537113,-0.0020635796867328636,1.0,True,2,-0.010674892044209128,-0.008398233464710136,-0.008398233464710136,-0.012951550623708119,1.0,1.0
mobility_jepa,0.05,dateblock5,6,0.6574191987513781,0.64446764812767,-0.012951550623708119,0.007754473809020501,4.454530272295369e-05,1.0,True,2,-0.010674892044209128,-0.008398233464710136,-0.008398233464710136,-0.012951550623708119,1.0,1.0
mobility_hypotheses,0.12,subject5,5,0.7116089121643729,0.7034032205162695,-0.008205691648103475,0.0020904639250384216,-0.0005715732391875394,1.0,True,2,-0.009062160037492606,-0.008205691648103475,-0.008205691648103475,-0.009918628426881737,1.0,1.0
mobility_hypotheses,0.12,dateblock5,5,0.6638428837377442,0.6539242553108625,-0.009918628426881737,0.002985225167786154,-0.0010939509849935412,1.0,True,2,-0.009062160037492606,-0.008205691648103475,-0.008205691648103475,-0.009918628426881737,1.0,1.0
mobility_hypotheses,0.35,subject5,5,0.7226843518383355,0.7147419425175227,-0.007942409320812804,0.0023537332007513845,-0.003229817046001615,1.0,True,2,-0.008111186885160049,-0.007942409320812804,-0.007942409320812804,-0.008279964449507293,1.0,1.0
mobility_hypotheses,0.35,dateblock5,5,0.670939855156744,0.6626598907072367,-0.008279964449507293,0.0011449023580356044,-0.0020881594040867645,1.0,True,2,-0.008111186885160049,-0.007942409320812804,-0.007942409320812804,-0.008279964449507293,1.0,1.0
mobility_hypotheses,0.05,subject5,5,0.7055693968723641,0.6978039257712264,-0.007765471101137678,0.001994070010374549,-0.003157230959300039,1.0,True,2,-0.008938854964588794,-0.007765471101137678,-0.007765471101137678,-0.01011223882803991,0.9166666666666666,0.9583333333333333
mobility_hypotheses,0.05,dateblock5,5,0.6574191987513781,0.6473069599233382,-0.01011223882803991,0.0010250807495224556,-0.007874244344525194,0.9166666666666666,True,2,-0.008938854964588794,-0.007765471101137678,-0.007765471101137678,-0.01011223882803991,0.9166666666666666,0.9583333333333333
mobility_jepa,0.12,subject5,6,0.7116089121643729,0.704091930593979,-0.0075169815703939324,0.004968513657900797,-0.0022046706872696498,1.0,True,2,-0.010854691286629636,-0.0075169815703939324,-0.0075169815703939324,-0.01419240100286534,1.0,1.0
mobility_jepa,0.12,dateblock5,6,0.6638428837377442,0.6496504827348789,-0.01419240100286534,0.0020061165877567344,-0.002325326277354944,1.0,True,2,-0.010854691286629636,-0.0075169815703939324,-0.0075169815703939324,-0.01419240100286534,1.0,1.0
mobility_jepa,0.8,subject5,6,0.7387100102694526,0.7314732629272713,-0.007236747342181271,0.010366727525024377,-0.006287276365783812,0.9166666666666666,True,2,-0.010263650395304247,-0.007236747342181271,-0.007236747342181271,-0.013290553448427223,0.9166666666666666,0.9166666666666666
mobility_jepa,0.8,dateblock5,6,0.6747054199964759,0.6614148665480487,-0.013290553448427223,0.0062272729917036695,-0.007479537304319772,0.9166666666666666,True,2,-0.010263650395304247,-0.007236747342181271,-0.007236747342181271,-0.013290553448427223,0.9166666666666666,0.9166666666666666
mobility_hypotheses,0.8,subject5,5,0.7387100102694526,0.7307515036075775,-0.007958506661875142,0.005476749445196494,-0.0008269491457390974,1.0,True,2,-0.007411938577557398,-0.006865370493239653,-0.007958506661875142,-0.006865370493239653,0.9166666666666666,0.9583333333333333
mobility_hypotheses,0.8,dateblock5,5,0.6747054199964759,0.6678400495032363,-0.006865370493239653,0.0037430105756403598,-0.004723042967827761,0.9166666666666666,True,2,-0.007411938577557398,-0.006865370493239653,-0.007958506661875142,-0.006865370493239653,0.9166666666666666,0.9583333333333333
mobility_jepa,0.35,subject5,6,0.7226843518383355,0.7164401778166835,-0.006244174021652005,0.0063607048323697235,-0.0008724069325621306,0.9166666666666666,True,2,-0.010033011456605512,-0.006244174021652005,-0.006244174021652005,-0.013821848891559019,0.9166666666666666,0.9583333333333333
mobility_jepa,0.35,dateblock5,6,0.670939855156744,0.657118006265185,-0.013821848891559019,0.008591406545511548,0.001329527125116115,1.0,True,2,-0.010033011456605512,-0.006244174021652005,-0.006244174021652005,-0.013821848891559019,0.9166666666666666,0.9583333333333333
mobility_routebook,0.05,subject5,10,0.7055693968723641,0.6999553780053033,-0.0056140188670608104,0.005970319708359095,0.0020072675382276084,1.0,True,2,-0.006239232185958177,-0.0056140188670608104,-0.0056140188670608104,-0.006864445504855543,1.0,1.0
mobility_routebook,0.05,dateblock5,10,0.6574191987513781,0.6505547532465226,-0.006864445504855543,0.006182904984516513,0.0019102965253114058,1.0,True,2,-0.006239232185958177,-0.0056140188670608104,-0.0056140188670608104,-0.006864445504855543,1.0,1.0
mobility_routebook,0.12,subject5,10,0.7116089121643729,0.7072665422845307,-0.004342369879842267,0.00498909751055554,-9.237599863879385e-05,0.9166666666666666,True,2,-0.0050906304873843955,-0.004342369879842267,-0.004342369879842267,-0.005838891094926524,0.8333333333333334,0.875
mobility_routebook,0.12,dateblock5,10,0.6638428837377442,0.6580039926428177,-0.005838891094926524,0.007674107793328999,-0.0067605323092776,0.8333333333333334,True,2,-0.0050906304873843955,-0.004342369879842267,-0.004342369879842267,-0.005838891094926524,0.8333333333333334,0.875
mobility_teacher,0.05,subject5,3,0.7055693968723641,0.7019294057771328,-0.0036399910952312764,0.002536059582738448,-0.0004050102339867467,1.0,True,2,-0.006175632110090645,-0.0036399910952312764,-0.0036399910952312764,-0.008711273124950014,0.8333333333333334,0.9166666666666667
mobility_teacher,0.05,dateblock5,3,0.6574191987513781,0.6487079256264281,-0.008711273124950014,-0.0008723476334259739,-0.013489868262174541,0.8333333333333334,True,2,-0.006175632110090645,-0.0036399910952312764,-0.0036399910952312764,-0.008711273124950014,0.8333333333333334,0.9166666666666667
mobility_teacher,0.12,subject5,3,0.7116089121643729,0.7086302293003521,-0.0029786828640208096,0.0009316939846932826,-0.003330628428128024,0.75,True,2,-0.0064816609269575665,-0.0029786828640208096,-0.0029786828640208096,-0.009984638989894323,0.75,0.7916666666666667
mobility_teacher,0.12,dateblock5,3,0.6638428837377442,0.6538582447478499,-0.009984638989894323,-0.0016880313573549577,-0.010069862860081834,0.8333333333333334,True,2,-0.0064816609269575665,-0.0029786828640208096,-0.0029786828640208096,-0.009984638989894323,0.75,0.7916666666666667
mobility_teacher,0.8,subject5,3,0.7387100102694526,0.737108977397601,-0.0016010328718516487,0.0025165816855469703,-0.002058578920059795,0.75,True,2,-0.005566939055700271,-0.0016010328718516487,-0.0016010328718516487,-0.009532845239548893,0.75,0.875
mobility_teacher,0.8,dateblock5,3,0.6747054199964759,0.665172574756927,-0.009532845239548893,0.00017746931319156944,-0.004537498225885927,1.0,True,2,-0.005566939055700271,-0.0016010328718516487,-0.0016010328718516487,-0.009532845239548893,0.75,0.875
mobility_routebook,0.35,subject5,10,0.7226843518383355,0.7211241296273119,-0.0015602222110235875,0.01219012339270259,0.0014922127032316547,0.9166666666666666,True,2,-0.002507367065072208,-0.0015602222110235875,-0.0015602222110235875,-0.0034545119191208284,0.9166666666666666,0.9166666666666666
mobility_routebook,0.35,dateblock5,10,0.670939855156744,0.6674853432376232,-0.0034545119191208284,0.012327650519668665,0.00031728429480006937,0.9166666666666666,True,2,-0.002507367065072208,-0.0015602222110235875,-0.0015602222110235875,-0.0034545119191208284,0.9166666666666666,0.9166666666666666
mobility_teacher,0.35,subject5,3,0.7226843518383355,0.7213265959860858,-0.0013577558522496203,0.0013145552452399345,-0.0025797670789830195,0.75,True,2,-0.00571885740662309,-0.0013577558522496203,-0.0013577558522496203,-0.01007995896099656,0.75,0.8333333333333333
mobility_teacher,0.35,dateblock5,3,0.670939855156744,0.6608598961957475,-0.01007995896099656,0.0026033716305556287,-0.002370861229370558,0.9166666666666666,True,2,-0.00571885740662309,-0.0013577558522496203,-0.0013577558522496203,-0.01007995896099656,0.75,0.8333333333333333
mobility_interactions,0.05,subject5,10,0.7055693968723641,0.7026134237418599,-0.002955973130504219,0.005349290437438925,-0.003094176840243856,0.8333333333333334,True,2,-0.0016456799816588208,-0.0003353868328134224,-0.002955973130504219,-0.0003353868328134224,0.75,0.7916666666666667
mobility_interactions,0.05,dateblock5,10,0.6574191987513781,0.6570838119185647,-0.0003353868328134224,0.0071947227097463595,-0.0026737782072998703,0.75,True,2,-0.0016456799816588208,-0.0003353868328134224,-0.002955973130504219,-0.0003353868328134224,0.75,0.7916666666666667
mobility_routebook,0.8,subject5,10,0.7387100102694526,0.7390115339926429,0.00030152372319025567,0.016199027427366675,0.006432216151316273,1.0,False,2,-0.0006111542102633649,0.00030152372319025567,0.00030152372319025567,-0.0015238321437169855,1.0,1.0
mobility_routebook,0.8,dateblock5,10,0.6747054199964759,0.673181587852759,-0.0015238321437169855,0.013162343259531695,0.003151248145159425,1.0,True,2,-0.0006111542102633649,0.00030152372319025567,0.00030152372319025567,-0.0015238321437169855,1.0,1.0
mobility_interactions,0.12,subject5,10,0.7116089121643729,0.7094348601957231,-0.002174051968649837,0.011057833202153144,0.0020555832305129145,0.9166666666666666,True,2,6.943223583522062e-05,0.0023129164403202784,-0.002174051968649837,0.0023129164403202784,0.75,0.8333333333333333
mobility_interactions,0.12,dateblock5,10,0.6638428837377442,0.6661558001780645,0.0023129164403202784,0.008064209675396006,-0.0049505309621659995,0.75,False,2,6.943223583522062e-05,0.0023129164403202784,-0.002174051968649837,0.0023129164403202784,0.75,0.8333333333333333
mobility_interactions,0.35,subject5,10,0.7226843518383355,0.7210635997248684,-0.0016207521134670166,0.014929460665185468,0.011501169005649214,1.0,True,2,0.0018955420911417331,0.005411836295750483,-0.0016207521134670166,0.005411836295750483,0.9166666666666666,0.9583333333333333
mobility_interactions,0.35,dateblock5,10,0.670939855156744,0.6763516914524945,0.005411836295750483,0.010555192179943829,0.007815653853380367,0.9166666666666666,False,2,0.0018955420911417331,0.005411836295750483,-0.0016207521134670166,0.005411836295750483,0.9166666666666666,0.9583333333333333
mobility_interactions,0.8,subject5,10,0.7387100102694526,0.7349252637103041,-0.0037847465591485108,0.015643556494961353,0.0039722922786614495,0.9166666666666666,True,2,0.0017419860725061964,0.007268718704160904,-0.0037847465591485108,0.007268718704160904,0.9166666666666666,0.9166666666666666
mobility_interactions,0.8,dateblock5,10,0.6747054199964759,0.6819741387006368,0.007268718704160904,0.011467120191858582,0.007699941200981575,0.9166666666666666,False,2,0.0017419860725061964,0.007268718704160904,-0.0037847465591485108,0.007268718704160904,0.9166666666666666,0.9166666666666666
