candidate_id,file,resolved_path,family,parameter,effective_h042_factor,changed_cells_vs_h042,q2_changed_cells_vs_h042,support_overlap_cells,same_direction_rate,mean_abs_prob_move_vs_h042,max_abs_prob_move_vs_h042,max_abs_extra_logit,curvature_risk,edge_rate,linear_expected_lb,linear_expected_gain_vs_h042,h050_neutral_guard,h051_sensor_priority
h051_fullsupport_logitline_f2p0_5ab4e605,submission_h051_fullsupport_logitline_f2p0_5ab4e605.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f2p0_5ab4e605.csv,fullsupport_logitline,f2p0,2.0,45,45,45,1.0,0.01808868522976826,0.03328494090128031,0.22383985419833818,0.00827228727353396,0.0,0.5676861665,-0.00021865830000000752,0.0,0.00019384143817940565
h051_fullsupport_logitline_f2p25_d930c677,submission_h051_fullsupport_logitline_f2p25_d930c677.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f2p25_d930c677.csv,fullsupport_logitline,f2p25,2.25,45,45,45,1.0,0.022563640952760103,0.041519883824445436,0.27979981774792284,0.012925448864896796,0.0,0.567631501925,-0.00027332287500003716,0.0,0.00018454652840534677
h051_fullsupport_logitline_f2p5_6920d0fc,submission_h051_fullsupport_logitline_f2p5_6920d0fc.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f2p5_6920d0fc.csv,fullsupport_logitline,f2p5,2.5,45,45,45,1.0,0.027017970109461716,0.04971146383118602,0.3357597812975066,0.0186126463654514,0.0,0.5675768373500001,-0.00032798744999995577,0.0,0.00017214951090360156
h051_top35_logitline_f2p5_9266643a,submission_h051_top35_logitline_f2p5_9266643a.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_top35_logitline_f2p5_9266643a.csv,top35_logitline,f2p5,1.9444444444444444,35,35,35,1.0,0.024451374142039354,0.04971146383118602,0.3357597812975066,0.01781162889058797,0.0,0.5676983141833334,-0.00020651061666665527,0.0,0.00014196461888378023
h051_fullsupport_logitline_f3p0_d7d1d9d6,submission_h051_fullsupport_logitline_f3p0_d7d1d9d6.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f3p0_d7d1d9d6.csv,fullsupport_logitline,f3p0,3.0,45,45,45,1.0,0.03586148036153249,0.06594757144192925,0.4476797083966759,0.03308914909413581,0.0,0.5674675082,-0.00043731660000001504,0.0,0.00013804915271760764
h051_top35_logitline_f3p0_6abf01a5,submission_h051_top35_logitline_f3p0_6abf01a5.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_top35_logitline_f3p0_6abf01a5.csv,top35_logitline,f3p0,2.3333333333333335,35,35,35,1.0,0.032437895728332604,0.06594757144192925,0.4476797083966759,0.031665118027711936,0.0,0.5676132804,-0.00029154440000001003,0.0,0.00012988237925020752
h051_fullsupport_logitline_f1p75_0051acdf,submission_h051_fullsupport_logitline_f1p75_0051acdf.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f1p75_0051acdf.csv,fullsupport_logitline,f1p75,1.75,45,45,45,1.0,0.013593952949337183,0.02501099648124977,0.16787989064875397,0.004653161591362852,0.0,0.5677408310750001,-0.00016399372499997789,0.0,0.00010003424022588932
h051_fullsupport_logitline_f3p5_1e468420,submission_h051_fullsupport_logitline_f3p5_1e468420.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f3p5_1e468420.csv,fullsupport_logitline,f3p5,3.5,45,45,45,1.0,0.044612938005134044,0.08196041540659754,0.5595996354958452,0.051701795459587224,0.0,0.56735817905,-0.0005466457500000743,0.0,9.154036362131262e-05
h051_fullsupport_logitline_f4p0_d8a9587d,submission_h051_fullsupport_logitline_f4p0_d8a9587d.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_fullsupport_logitline_f4p0_d8a9587d.csv,fullsupport_logitline,f4p0,4.0,45,45,45,1.0,0.0532664722061331,0.09771904116377189,0.6715195625950154,0.07445058546180564,0.022222222222222223,0.5672488499,-0.0006559749000000226,0.0,1.040092139238338e-05
h051_top35_logitline_f2p0_33952d5f,submission_h051_top35_logitline_f2p0_33952d5f.csv,/Users/kbsoo/Downloads/cl2/hitl/h051_q2_phase_amplifier_jepa/submission_h051_top35_logitline_f2p0_33952d5f.csv,top35_logitline,f2p0,1.5555555555555556,35,35,35,1.0,0.01637841801474985,0.03328494090128031,0.22383985419833818,0.007916279506927994,0.0,0.5677833479666667,-0.0001214768333333005,0.0,8.839105923627631e-06
