ridge_mult,lambda,known_fit_mae,loo_mae,loo_p90_abs,loo_max_abs,pairwise_sign_acc,beta_l1,beta_std,selection_score
3e-05,0.024543502937996085,6.273185559290796e-07,0.0003312471940188786,0.0009247817640929294,0.0018451536177620954,0.9285714285714286,0.0023500950780316805,0.006418064448136115,0.66875
1e-05,0.008181167645998695,2.253810842798234e-07,0.00033442457086336813,0.0008963179998126292,0.0018298089047680821,0.9285714285714286,0.002350970699456586,0.006601068824748225,0.6937500000000001
0.0001,0.08181167645998695,1.6759165424757079e-06,0.00032180141795936734,0.001010246282571824,0.0018744872063216535,0.9246031746031746,0.0023530432200025387,0.006075757073049307,0.7208333333333333
0.003,2.4543502937996085,1.011104258676252e-05,0.00032963069759468815,0.0009258028436992373,0.0018234576328798012,0.9126984126984127,0.0024482345844651487,0.007195128581623622,0.7458333333333333
0.0003,0.24543502937996084,3.4140254192870877e-06,0.0003213851433702896,0.001063100708186065,0.0018916632574589986,0.9126984126984127,0.002392677054742373,0.005960504976575015,0.8125
0.001,0.8181167645998695,6.290854937593863e-06,0.0003364300721959047,0.001005016808187202,0.0018709339406313835,0.9126984126984127,0.00244484945576451,0.006448936275621816,1.0541666666666667
0.01,8.181167645998695,1.947323840997469e-05,0.0003483685564851366,0.0010325024309843285,0.0017595432721464622,0.9325396825396826,0.0023701696827030045,0.0068008431678669,1.1083333333333334
0.03,24.543502937996085,3.908307033585783e-05,0.00048199126968308286,0.0013317892358890072,0.0016817663709853062,0.9444444444444444,0.0022618196852983727,0.0052980858438997636,1.2791666666666666
0.1,81.81167645998696,7.99674365253217e-05,0.0006483004289556011,0.0019405295363085532,0.0026673625054552275,0.9484126984126984,0.0021571537419280977,0.004257666405088669,1.4500000000000002
0.3,245.43502937996084,0.00015724630297471204,0.0008122264209764482,0.0023278860894721657,0.0037456429633852244,0.9603174603174603,0.002085431365343709,0.003829433711830192,1.5479166666666668
3.0,2454.3502937996086,0.000982600050256582,0.001378782249119598,0.0017745841167535511,0.0037121502702430927,0.9642857142857143,0.0020178728976527364,0.003340384534538772,1.5541666666666665
1.0,818.1167645998695,0.0003799816446171582,0.0009755786039704278,0.0023499570131260794,0.004287035736234927,0.9603174603174603,0.0020597535790161906,0.003509130856692866,1.6895833333333334
