row,driver_target,driver_flat,driver_step,bridge_target,bridge_flat,bridge_step,actions,action_count,public_delta_estimate,driver_public_delta,bridge_public_delta,public_utility,old_route_energy,new_route_energy,route_energy_delta,same_direction,driver_h088_alignment,driver_stability,source_support,solver_score
182,S3,1279,1.2,S2,1278,0.42,"[(1279, 'S3', 1.2, 'driver'), (1278, 'S2', 0.42, 'bridge')]",2,-0.004880776376655966,-0.004942890506079853,6.211412942388705e-05,0.004880776376655966,0.7520618144445538,0.7463834828666612,-0.005678331577892548,True,0.0,1.0,6,0.006022042179743777
234,S4,1644,-1.1128684185433706,S2,1642,-0.42,"[(1644, 'S4', -1.1128684185433706, 'driver'), (1642, 'S2', -0.42, 'bridge')]",2,-0.0015094269238207175,-0.0015094269238207175,-0.0,0.0015094269238207175,0.734783888398664,0.6991886903563556,-0.035595198042308485,True,0.5085714285714286,1.0,4,0.003097440402053891
184,S2,1292,1.1030257394307186,S1,1291,0.42,"[(1292, 'S2', 1.1030257394307186, 'driver'), (1291, 'S1', 0.42, 'bridge')]",2,-0.0015089214495735061,-0.001177176692494217,-0.0003317447570792891,0.0015089214495735061,0.6840839009131192,0.6486228246480952,-0.03546107626502404,True,0.5348571428571428,1.0,5,0.003091997187846317
5,S2,39,0.9207535723386862,S4,41,0.42,"[(39, 'S2', 0.9207535723386862, 'driver'), (41, 'S4', 0.42, 'bridge')]",2,-0.0011206736109761189,-0.000797996050001718,-0.0003226775609744009,0.0011206736109761189,0.7002695208916305,0.6686844566678841,-0.031585064223746406,True,0.0,1.0,9,0.0024856430886069573
218,S2,1530,1.2,S1,1529,0.42,"[(1530, 'S2', 1.2, 'driver'), (1529, 'S1', 0.42, 'bridge')]",2,-0.0015353095442488497,-0.0015353095442488497,0.0,0.0015353095442488497,0.7251732312104809,0.7183238699755362,-0.006849361234944729,True,0.6137142857142858,1.0,8,0.0020921236592121163
193,S2,1355,1.0541032635987322,S1,1354,0.42,"[(1355, 'S2', 1.0541032635987322, 'driver'), (1354, 'S1', 0.42, 'bridge')]",2,-0.001068225391177032,-0.001068225391177032,0.0,0.001068225391177032,0.7546568287124052,0.7324733166663983,-0.022183512046006992,True,0.5994285714285714,1.0,9,0.002083639227961355
8,S2,60,0.4803112855373878,S4,62,-0.42,"[(60, 'S2', 0.4803112855373878, 'driver'), (62, 'S4', -0.42, 'bridge')]",2,-0.00018351411684751923,-0.00018351411684751923,-0.0,0.00018351411684751923,0.6961381056847362,0.6410335106961239,-0.05510459498861231,False,0.0,0.8846153846153846,8,0.002043826308327753
112,S1,787,0.8641278192346695,S3,789,0.42,"[(787, 'S1', 0.8641278192346695, 'driver'), (789, 'S3', 0.42, 'bridge')]",2,-0.0008818061163827685,-0.0008818061163827685,0.0,0.0008818061163827685,0.7437214442229084,0.7144522099794953,-0.0292692342434131,True,0.6068571428571429,1.0,3,0.0019767007469871736
109,S2,767,-0.9429509616584786,S3,768,0.42,"[(767, 'S2', -0.9429509616584786, 'driver'), (768, 'S3', 0.42, 'bridge')]",2,-0.0008402637484313483,-0.0008402637484313483,0.0,0.0008402637484313483,0.7380815683072779,0.7076427553293484,-0.030438812977929497,False,0.5554285714285714,1.0,3,0.0019512148317096028
130,S4,916,-0.5287741377417035,S2,914,0.42,"[(916, 'S4', -0.5287741377417035, 'driver'), (914, 'S2', 0.42, 'bridge')]",2,-0.00030014324290994336,-0.00030014324290994336,0.0,0.00030014324290994336,0.9079054700334854,0.8621830014516797,-0.04572246858180573,False,0.496,1.0,5,0.0018603982918451876
25,S4,181,0.9635743962329016,S2,179,0.42,"[(181, 'S4', 0.9635743962329016, 'driver'), (179, 'S2', 0.42, 'bridge')]",2,-0.0011126811255874447,-0.0011126811255874447,0.0,0.0011126811255874447,0.6589957151025344,0.6447353757378702,-0.014260339364664198,True,0.0,1.0,4,0.001851399423975951
237,S4,1665,-0.1993705709870311,S2,1663,0.42,"[(1665, 'S4', -0.1993705709870311, 'driver'), (1663, 'S2', 0.42, 'bridge')]",2,-2.448637452687625e-05,-2.448637452687625e-05,0.0,2.448637452687625e-05,0.7636923658575034,0.7188503716698511,-0.044841994187652334,False,0.556,0.9615384615384616,4,0.0015242535715340936
23,S4,167,0.8178339210486039,S2,165,0.42,"[(167, 'S4', 0.8178339210486039, 'driver'), (165, 'S2', 0.42, 'bridge')]",2,-0.0007834407918176245,-0.0007834407918176245,0.0,0.0007834407918176245,0.6915320709619289,0.6757097315233876,-0.015822339438541277,True,0.5811428571428572,1.0,8,0.001512027964386988
17,S1,122,0.6197079033447707,S2,123,0.42,"[(122, 'S1', 0.6197079033447707, 'driver'), (123, 'S2', 0.42, 'bridge')]",2,-0.000427853270237571,-0.000427853270237571,0.0,0.000427853270237571,0.6371997392368175,0.6095711854111435,-0.027628553825673974,True,0.5542857142857143,1.0,6,0.0015103441008396026
229,S2,1607,0.49888912079112724,S4,1609,-0.42,"[(1607, 'S2', 0.49888912079112724, 'driver'), (1609, 'S4', -0.42, 'bridge')]",2,-0.00020080978791540123,-0.00020080978791540123,-0.0,0.00020080978791540123,0.7841615909534548,0.7489012111415717,-0.035260379811883125,False,0.58,1.0,4,0.0014005936516321648
200,S1,1403,0.5361688946579316,S2,1404,0.42,"[(1403, 'S1', 0.5361688946579316, 'driver'), (1404, 'S2', 0.42, 'bridge')]",2,-0.0003096944894607886,-0.0003096944894607886,0.0,0.0003096944894607886,0.7515558055596577,0.7238798628143933,-0.027675942745264415,True,0.6188571428571429,1.0,6,0.001370046636518263
137,S4,965,-0.15373230880830221,S2,963,0.42,"[(965, 'S4', -0.15373230880830221, 'driver'), (963, 'S2', 0.42, 'bridge')]",2,-9.407161127232841e-06,-9.407161127232841e-06,0.0,9.407161127232841e-06,0.9835033403095894,0.9461857241294158,-0.037317616180173596,False,0.0,0.9230769230769231,4,0.0012562795874613
19,S4,139,0.6368554928577502,S2,137,0.42,"[(139, 'S4', 0.6368554928577502, 'driver'), (137, 'S2', 0.42, 'bridge')]",2,-0.0004544384517200859,-0.0004544384517200859,0.0,0.0004544384517200859,0.6716795897053528,0.6526623675423012,-0.019017222163051573,True,0.6,1.0,9,0.0012318156580666594
95,S3,670,0.5788019777294476,S2,669,0.42,"[(670, 'S3', 0.5788019777294476, 'driver'), (669, 'S2', 0.42, 'bridge')]",2,-0.0003676404413291813,-0.0003676404413291813,0.0,0.0003676404413291813,0.620796184661378,0.5994279333239781,-0.021368251337399835,True,0.5845714285714285,1.0,8,0.0012122654246195788
129,S3,908,-0.5970128103990122,S4,909,-0.42,"[(908, 'S3', -0.5970128103990122, 'driver'), (909, 'S4', -0.42, 'bridge')]",2,-0.00039388839281958996,-0.00039388839281958996,-0.0,0.00039388839281958996,0.8456427230429656,0.8254013202074882,-0.020241402835477373,True,0.6125714285714285,1.0,4,0.001124469752759209
212,S2,1488,0.1532028213374026,S1,1487,0.42,"[(1488, 'S2', 0.1532028213374026, 'driver'), (1487, 'S1', 0.42, 'bridge')]",2,-0.00020693008549381285,-3.396026890867313e-06,-0.00020353405860294553,0.00020693008549381285,0.6386124601753715,0.6201038198357727,-0.01850864033959887,True,0.5525714285714286,0.8846153846153846,8,0.0009160173880934583
56,S3,397,0.8397340408393038,S2,396,0.42,"[(397, 'S3', 0.8397340408393038, 'driver'), (396, 'S2', 0.42, 'bridge')]",2,-0.0008292528092412537,-0.0008292528092412537,0.0,0.0008292528092412537,0.6183313998519636,0.6197629681562482,0.0014315683042845917,True,0.0,1.0,6,0.000893386339469849
159,S1,1116,0.5024939515615722,S2,1117,0.42,"[(1116, 'S1', 0.5024939515615722, 'driver'), (1117, 'S2', 0.42, 'bridge')]",2,-0.0002673941373642275,-0.0002673941373642275,0.0,0.0002673941373642275,0.6581674472484528,0.6427097202838166,-0.01545772696463621,True,0.0,1.0,5,0.0008786847092900338
189,S3,1328,0.614126443694413,S1,1326,0.42,"[(1328, 'S3', 0.614126443694413, 'driver'), (1326, 'S1', 0.42, 'bridge')]",2,-0.00041937122301725894,-0.00041937122301725894,0.0,0.00041937122301725894,0.7409342680957336,0.7291200464661631,-0.011814221629570465,True,0.6091428571428571,1.0,7,0.0008691297697229916
