split,target_view,folds,rows,cross_entropy,prior_cross_entropy,cross_entropy_lift_vs_prior,accuracy,prior_accuracy,uses_public_score,uses_label_as_pretext
subject_heldout,app_social_context,5,450,0.9140420643288871,1.0094154192155518,0.09537335488666467,0.5733333333333334,0.46,False,False
subject_heldout,body_activity_sleep,5,450,0.9608244680243527,1.0255884118341696,0.06476394380981695,0.5444444444444444,0.5244444444444445,False,False
subject_heldout,calendar_rhythm,5,450,0.7356431689638914,0.7385304739260167,0.0028873049621251723,0.7266666666666667,0.6866666666666666,False,False
subject_heldout,mobility_environment,5,450,0.9712615789480643,1.0028991220153443,0.03163754306728002,0.5533333333333333,0.5088888888888888,False,False
subject_heldout,phone_behavior,5,450,0.724107712151127,0.8297044757054551,0.10559676355432805,0.6666666666666666,0.6488888888888888,False,False
chronological_holdout,app_social_context,1,131,1.0009864062716638,1.0498889287688136,0.04890252249714977,0.5572519083969466,0.3893129770992366,False,False
chronological_holdout,body_activity_sleep,1,131,0.9446308958848528,1.0445644073043436,0.0999335114194908,0.5343511450381679,0.5038167938931297,False,False
chronological_holdout,calendar_rhythm,1,131,0.8368063427123207,0.8060527237821861,-0.030753618930134615,0.7251908396946565,0.648854961832061,False,False
chronological_holdout,mobility_environment,1,131,0.8247372508903387,0.9691168768503483,0.14437962596000964,0.6183206106870229,0.5725190839694656,False,False
chronological_holdout,phone_behavior,1,131,0.6306050292876408,0.7705518516345933,0.13994682234695244,0.7786259541984732,0.732824427480916,False,False
row_block_holdout,app_social_context,5,450,0.8809600234412142,0.9912181801737394,0.1102581567325253,0.58,0.49333333333333335,False,False
row_block_holdout,body_activity_sleep,5,450,0.9682706333866941,1.0354336259365788,0.06716299254988471,0.56,0.5111111111111111,False,False
row_block_holdout,calendar_rhythm,5,450,0.6844408582414837,0.7455419022819836,0.06110104404049988,0.7533333333333333,0.6866666666666666,False,False
row_block_holdout,mobility_environment,5,450,0.9097146743926913,1.027010526770325,0.11729585237763372,0.6111111111111112,0.4777777777777778,False,False
row_block_holdout,phone_behavior,5,450,0.7008063492259382,0.8429829890976723,0.14217663987173396,0.6911111111111111,0.6577777777777778,False,False
