split,fold,target_view,rows,cross_entropy,prior_cross_entropy,cross_entropy_lift_vs_prior,accuracy,prior_accuracy,prototype_count,transport_rows,train_rows
subject_heldout,0,calendar_rhythm,90,1.1618229365934996,0.7582904936814011,-0.40353244291209844,0.6444444444444445,0.6777777777777778,3,90,360
subject_heldout,0,phone_behavior,90,0.6919073472042426,0.7868876912271993,0.09498034402295663,0.6666666666666666,0.6777777777777778,3,90,360
subject_heldout,0,body_activity_sleep,90,1.0090970083181219,0.9726675564935264,-0.03642945182459545,0.5777777777777777,0.6,3,90,360
subject_heldout,0,app_social_context,90,1.001255016217045,0.9773528602779449,-0.023902155939100167,0.5111111111111111,0.4777777777777778,3,90,360
subject_heldout,0,mobility_environment,90,1.1046279676352277,0.9606018618416872,-0.14402610579354058,0.5,0.5666666666666667,3,90,360
subject_heldout,1,calendar_rhythm,89,0.6851377722844526,0.7954534454566912,0.11031567317223856,0.7640449438202247,0.6404494382022472,3,89,361
subject_heldout,1,phone_behavior,89,0.9091851287862159,0.8660503624612842,-0.04313476632493174,0.6292134831460674,0.6067415730337079,3,89,361
subject_heldout,1,body_activity_sleep,89,0.9214497831081769,1.0201655808841874,0.09871579777601047,0.550561797752809,0.5280898876404494,3,89,361
subject_heldout,1,app_social_context,89,0.8569842611729318,1.0228783230504541,0.16589406187752231,0.5393258426966292,0.48314606741573035,3,89,361
subject_heldout,1,mobility_environment,89,0.8361325914648792,0.9133256767263613,0.07719308526148216,0.5842696629213483,0.5730337078651685,3,89,361
subject_heldout,2,calendar_rhythm,90,0.6174108177327153,0.758290493681401,0.14087967594868567,0.7333333333333333,0.6777777777777778,3,90,360
subject_heldout,2,phone_behavior,90,0.6963742556972612,0.7984211041557747,0.10204684845851353,0.6555555555555556,0.6777777777777778,3,90,360
subject_heldout,2,body_activity_sleep,90,0.9610999196329046,1.0700848275650545,0.10898490793214988,0.5,0.4666666666666667,3,90,360
subject_heldout,2,app_social_context,90,0.9598660486253288,1.0674546334353074,0.10758858480997868,0.6,0.3888888888888889,3,90,360
subject_heldout,2,mobility_environment,90,1.111603521379659,1.1547410312501234,0.0431375098704645,0.5111111111111111,0.36666666666666664,3,90,360
subject_heldout,3,calendar_rhythm,92,0.6789513688719444,0.7007080868307485,0.021756717958804073,0.6847826086956522,0.717391304347826,3,92,358
subject_heldout,3,phone_behavior,92,0.5797382334638855,0.8784327177807476,0.2986944843168621,0.7391304347826086,0.6304347826086957,3,92,358
subject_heldout,3,body_activity_sleep,92,1.0504500108167312,1.0031501579632955,-0.04729985285343563,0.5,0.5543478260869565,3,92,358
subject_heldout,3,app_social_context,92,0.9018518307074682,0.9872206817088742,0.08536885100140601,0.5760869565217391,0.5217391304347826,3,92,358
subject_heldout,3,mobility_environment,92,0.9202774030143277,0.9903864576262812,0.07010905461195349,0.5434782608695652,0.5543478260869565,3,92,358
subject_heldout,4,calendar_rhythm,89,0.5333438255601869,0.6807407165166394,0.14739689095645248,0.8089887640449438,0.7191011235955056,3,89,361
subject_heldout,4,phone_behavior,89,0.7488733962496754,0.8179205639112813,0.0690471676616059,0.6404494382022472,0.651685393258427,3,89,361
subject_heldout,4,body_activity_sleep,89,0.858459049478644,1.06272493852571,0.204265889047066,0.5955056179775281,0.47191011235955055,3,89,361
subject_heldout,4,app_social_context,89,0.8491692746371634,0.9926268622932443,0.14345758765608085,0.6404494382022472,0.42696629213483145,3,89,361
subject_heldout,4,mobility_environment,89,0.8823096044673799,0.9946315190828993,0.11232191461551932,0.6292134831460674,0.48314606741573035,3,89,361
chronological_holdout,0,calendar_rhythm,131,0.8368063427123207,0.8060527237821861,-0.03075361893013462,0.7251908396946565,0.648854961832061,3,450,319
chronological_holdout,0,phone_behavior,131,0.6306050292876408,0.7705518516345933,0.13994682234695244,0.7786259541984732,0.732824427480916,3,450,319
chronological_holdout,0,body_activity_sleep,131,0.9446308958848528,1.0445644073043436,0.0999335114194908,0.5343511450381679,0.5038167938931297,3,450,319
chronological_holdout,0,app_social_context,131,1.0009864062716638,1.0498889287688136,0.04890252249714977,0.5572519083969466,0.3893129770992366,3,450,319
chronological_holdout,0,mobility_environment,131,0.8247372508903387,0.9691168768503483,0.14437962596000964,0.6183206106870229,0.5725190839694656,3,450,319
row_block_holdout,0,calendar_rhythm,90,0.5958141498936556,0.7292752191628037,0.13346106926914814,0.7444444444444445,0.7111111111111111,3,90,360
row_block_holdout,0,phone_behavior,90,0.8260294535862921,0.9995892640704152,0.17355981048412306,0.6444444444444445,0.5555555555555556,3,90,360
row_block_holdout,0,body_activity_sleep,90,0.9520273837153767,1.073258418572419,0.12123103485704234,0.5888888888888889,0.45555555555555555,3,90,360
row_block_holdout,0,app_social_context,90,0.9147916672765387,0.9976666838938699,0.08287501661733121,0.5666666666666667,0.4888888888888889,3,90,360
row_block_holdout,0,mobility_environment,90,0.7143104304140534,1.005542673166867,0.2912322427528137,0.7,0.4111111111111111,3,90,360
row_block_holdout,1,calendar_rhythm,90,0.3673399271458448,0.6231862630497954,0.2558463359039506,0.8333333333333334,0.7444444444444445,3,90,360
row_block_holdout,1,phone_behavior,90,0.6840859440607115,0.8384881575176604,0.15440221345694882,0.6444444444444445,0.6444444444444445,3,90,360
