feature_set,regression_target,corr,mae,null_mae,mae_lift_vs_null,evaluated_rows
calendar_rhythm,drift_Q2,-0.08011467751439583,0.3021742998129964,0.29871305982565266,-0.003461239987343767,410
calendar_rhythm,drift_Q3,0.05150271596576091,0.3028166102957363,0.2997020265543281,-0.0031145837414082167,410
calendar_rhythm,drift_subjective_recovery,0.06533795410334184,0.4497238054976348,0.44351554071722143,-0.006208264780413364,410
raw_lifelog_pca,drift_Q2,-0.0037731308539248453,20.181624635694536,0.29871305982565266,-19.882911575868885,410
raw_lifelog_pca,drift_Q3,-0.01172018558664786,120.59577166402627,0.2997020265543281,-120.29606963747194,410
raw_lifelog_pca,drift_subjective_recovery,-0.029891398399907718,124.43307735667042,0.44351554071722143,-123.98956181595321,410
existing_human_state_features,drift_Q2,-0.09813126038045243,0.30815766289898444,0.29871305982565266,-0.009444603073331781,410
existing_human_state_features,drift_Q3,0.033158787469629754,0.3127119262982312,0.2997020265543281,-0.013009899743903097,410
existing_human_state_features,drift_subjective_recovery,0.12322295009984113,0.46143003560218093,0.44351554071722143,-0.017914494884959498,410
absolute_hsjepa_predicted,drift_Q2,-0.00031085968362717703,0.3983175595678016,0.29871305982565266,-0.09960449974214897,410
absolute_hsjepa_predicted,drift_Q3,-0.0040086787110128795,0.6541936177730543,0.2997020265543281,-0.3544915912187262,410
absolute_hsjepa_predicted,drift_subjective_recovery,-0.02401547760223224,1.270761216841544,0.44351554071722143,-0.8272456761243226,410
absolute_hsjepa_full,drift_Q2,-0.0038131487595786007,0.6945220057555447,0.29871305982565266,-0.395808945929892,410
absolute_hsjepa_full,drift_Q3,-0.005903117594694166,0.3384571364117841,0.2997020265543281,-0.038755109857456005,410
absolute_hsjepa_full,drift_subjective_recovery,-0.020884703533138663,1.1654741611573192,0.44351554071722143,-0.7219586204400977,410
subject_relative_hsjepa_predicted,drift_Q2,-0.010100762759872248,0.326045967672193,0.29871305982565266,-0.027332907846540355,410
subject_relative_hsjepa_predicted,drift_Q3,0.001004578138929368,0.31779916125343727,0.2997020265543281,-0.018097134699109174,410
subject_relative_hsjepa_predicted,drift_subjective_recovery,0.03814132329721953,0.4599492632979783,0.44351554071722143,-0.01643372258075687,410
subject_relative_hsjepa_energy,drift_Q2,-0.11133462725037459,0.35572421196791465,0.29871305982565266,-0.05701115214226199,410
subject_relative_hsjepa_energy,drift_Q3,-0.0017472154451189392,0.33800471256306924,0.2997020265543281,-0.03830268600874115,410
subject_relative_hsjepa_energy,drift_subjective_recovery,0.06384482345991148,0.47910516088399335,0.44351554071722143,-0.03558962016677192,410
subject_relative_hsjepa_full,drift_Q2,-0.11133462725037459,0.35572421196791465,0.29871305982565266,-0.05701115214226199,410
subject_relative_hsjepa_full,drift_Q3,-0.0017472154451189392,0.33800471256306924,0.2997020265543281,-0.03830268600874115,410
subject_relative_hsjepa_full,drift_subjective_recovery,0.06384482345991148,0.47910516088399335,0.44351554071722143,-0.03558962016677192,410
hybrid_absolute_relative_hsjepa,drift_Q2,-0.01126039828023135,0.89583971201547,0.29871305982565266,-0.5971266521898173,410
hybrid_absolute_relative_hsjepa,drift_Q3,-0.024569679437693143,0.4786611835902413,0.2997020265543281,-0.1789591570359132,410
hybrid_absolute_relative_hsjepa,drift_subjective_recovery,-0.026347698922817193,1.5760122805676624,0.44351554071722143,-1.132496739850441,410
raw_plus_subject_relative_hsjepa,drift_Q2,0.0038324085427169606,6.349946207698421,0.29871305982565266,-6.051233147872768,410
raw_plus_subject_relative_hsjepa,drift_Q3,-0.011739960171232133,100.4725626274148,0.2997020265543281,-100.17286060086047,410
raw_plus_subject_relative_hsjepa,drift_subjective_recovery,-0.029944737281898646,113.50104136098683,0.44351554071722143,-113.05752582026962,410
