variant,task,target,components,context_feature_count,target_feature_count,component_corr,null_component_corr,component_corr_lift_vs_null,r2,null_r2,r2_lift_vs_null,valid_rows,cohort_count,subject_count,mean_subject_normal_dist,mean_cohort_normal_dist,mean_subject_to_cohort_dist
absolute,masked_context_to_view_state,calendar_rhythm,4.0,94.0,5.0,0.004055461082862446,0.011269103677572393,-0.007213642594709947,-21.070139786940896,-25.771361377020753,4.701221590079857,,,,,,
absolute,masked_context_to_view_state,phone_behavior,4.0,59.0,40.0,0.19975500022538012,-0.027112938906166326,0.22686793913154646,-2.394464687460276,-29.35830571361019,26.963841026149915,,,,,,
absolute,masked_context_to_view_state,body_activity_sleep,4.0,81.0,18.0,0.19513400532459085,-0.04157936962909633,0.2367133749536872,-7.384288910496105,-19.6528054311379,12.268516520641795,,,,,,
absolute,masked_context_to_view_state,app_social_context,4.0,81.0,18.0,0.18283357285314583,-0.16466071599047377,0.3474942888436196,-0.1386321728991366,-0.27790548827737216,0.13927331537823556,,,,,,
absolute,masked_context_to_view_state,mobility_environment,4.0,81.0,18.0,0.06464100578950135,-0.12278013691998803,0.1874211427094894,-6.270472553449745,-17.27179065460284,11.001318101153092,,,,,,
absolute,current_context_to_future_state,next_subject_episode,8.0,99.0,99.0,0.12926886431157733,-0.05407234487883787,0.1833412091904152,-25.741243817862834,-28.800670721560667,3.059426903697833,690.0,,,,,
absolute,cohort_state_geometry,subject_fingerprint_cluster,,,,,,,,,,,4.0,10.0,1.5438432160012163,1.8591836530972587,0.9401844071614209
subject_relative,masked_context_to_view_state,calendar_rhythm,4.0,94.0,5.0,0.08912419266657359,0.026701295232982564,0.06242289743359103,-0.07022505801153585,-0.12567189454131997,0.05544683652978412,,,,,,
subject_relative,masked_context_to_view_state,phone_behavior,4.0,59.0,40.0,0.48225447975971825,-0.004219976429363233,0.4864744561890815,0.2534851497912021,-0.10885803499723506,0.3623431847884372,,,,,,
subject_relative,masked_context_to_view_state,body_activity_sleep,4.0,81.0,18.0,0.30795779357869585,0.0025700720143645266,0.3053877215643313,0.17403664175937103,-0.08515993108504881,0.2591965728444198,,,,,,
subject_relative,masked_context_to_view_state,app_social_context,4.0,81.0,18.0,0.3277642493819164,0.008007878751814171,0.3197563706301022,0.25751253538627705,-0.09140708450620272,0.34891961989247977,,,,,,
subject_relative,masked_context_to_view_state,mobility_environment,4.0,81.0,18.0,0.4070457214950782,0.03608628128323162,0.3709594402118466,0.19027911489858218,-0.10766967818241194,0.2979487930809941,,,,,,
subject_relative,current_context_to_future_state,next_subject_episode,8.0,99.0,99.0,0.034658937570495325,-0.03515780051888897,0.0698167380893843,-0.13800543043900432,-0.20460427640119785,0.06659884596219354,690.0,,,,,
subject_relative,cohort_state_geometry,subject_fingerprint_cluster,,,,,,,,,,,4.0,10.0,2.0239562573366436,2.0245386477588037,0.03493712467559104
