router,target,mean_w_current,mean_w_future,mean_w_cohort,mean_entropy,mean_margin,split
semantic_prior_router,Q1,0.25,0.5500000000000045,0.20000000000000165,0.9077556599985016,0.29999999999999993,subject_heldout
semantic_prior_router,Q2,0.20000000000000165,0.5999999999999973,0.20000000000000165,0.864973520717927,0.4,subject_heldout
semantic_prior_router,Q3,0.25,0.5,0.25,0.9463946303571862,0.25,subject_heldout
semantic_prior_router,S1,0.34999999999999704,0.44999999999999707,0.20000000000000165,0.9545258142257611,0.10000000000000006,subject_heldout
semantic_prior_router,S2,0.29999999999999866,0.44999999999999707,0.25,0.9713107216099229,0.14999999999999997,subject_heldout
semantic_prior_router,S3,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,subject_heldout
semantic_prior_router,S4,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,subject_heldout
learned_semantic_router_context_headsignal,Q1,0.2568225190108476,0.5207344867202615,0.2224429942688909,0.9295867864204767,0.2605968329420425,subject_heldout
learned_semantic_router_context_headsignal,Q2,0.21068897330876626,0.5650811968877003,0.22422982980353376,0.8953462229413159,0.33421905814680214,subject_heldout
learned_semantic_router_context_headsignal,Q3,0.2582407646929143,0.46835609752077784,0.27340313778630754,0.9616247252697678,0.18435349532898676,subject_heldout
learned_semantic_router_context_headsignal,S1,0.3418926079309345,0.4457506811145866,0.2123567109544788,0.9601664228410955,0.10385807318365266,subject_heldout
learned_semantic_router_context_headsignal,S2,0.29592449477657795,0.44723805454209614,0.25683745068132596,0.9723319624038776,0.15049836250678633,subject_heldout
learned_semantic_router_context_headsignal,S3,0.37061145494977443,0.2769534685197274,0.3524350765304982,0.9909099872280726,0.03864232190734421,subject_heldout
learned_semantic_router_context_headsignal,S4,0.383918618295077,0.2558971185338165,0.3601842631711061,0.9836927704716995,0.05189551193258419,subject_heldout
semantic_prior_router,Q1,0.25,0.5500000000000045,0.20000000000000165,0.9077556599985016,0.29999999999999993,chronological_holdout
semantic_prior_router,Q2,0.20000000000000165,0.5999999999999973,0.20000000000000165,0.864973520717927,0.4,chronological_holdout
semantic_prior_router,Q3,0.25,0.5,0.25,0.9463946303571862,0.25,chronological_holdout
semantic_prior_router,S1,0.34999999999999704,0.44999999999999707,0.20000000000000165,0.9545258142257611,0.10000000000000006,chronological_holdout
semantic_prior_router,S2,0.29999999999999866,0.44999999999999707,0.25,0.9713107216099229,0.14999999999999997,chronological_holdout
semantic_prior_router,S3,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,chronological_holdout
semantic_prior_router,S4,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,chronological_holdout
learned_semantic_router_context_headsignal,Q1,0.32552920084556475,0.4858393908901827,0.18863140826425057,0.9038858182383984,0.2728072184997082,chronological_holdout
learned_semantic_router_context_headsignal,Q2,0.1882388732787325,0.6129962418915432,0.19876488482972446,0.8355372059863637,0.4111122948493084,chronological_holdout
learned_semantic_router_context_headsignal,Q3,0.35543596143746703,0.4017587138430794,0.24280532471945154,0.9378007303972422,0.22605865151999135,chronological_holdout
learned_semantic_router_context_headsignal,S1,0.31896331236064684,0.48847467798552024,0.19256200965383333,0.9183324342874181,0.1695113656248704,chronological_holdout
learned_semantic_router_context_headsignal,S2,0.36682705575583985,0.40910533907074753,0.22406760517341576,0.9454658306502892,0.18740097610058576,chronological_holdout
learned_semantic_router_context_headsignal,S3,0.3355427042737163,0.35014162295188156,0.31431567277440375,0.9655442270337168,0.10467881356002887,chronological_holdout
learned_semantic_router_context_headsignal,S4,0.3500893921167516,0.34592664877124424,0.3039839591120031,0.9681790530268422,0.09897389200727646,chronological_holdout
semantic_prior_router,Q1,0.25,0.5500000000000045,0.20000000000000165,0.9077556599985016,0.29999999999999993,row_block_holdout
semantic_prior_router,Q2,0.20000000000000165,0.5999999999999973,0.20000000000000165,0.864973520717927,0.4,row_block_holdout
semantic_prior_router,Q3,0.25,0.5,0.25,0.9463946303571862,0.25,row_block_holdout
semantic_prior_router,S1,0.34999999999999704,0.44999999999999707,0.20000000000000165,0.9545258142257611,0.10000000000000006,row_block_holdout
semantic_prior_router,S2,0.29999999999999866,0.44999999999999707,0.25,0.9713107216099229,0.14999999999999997,row_block_holdout
semantic_prior_router,S3,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,row_block_holdout
semantic_prior_router,S4,0.4000000000000033,0.25,0.34999999999999704,0.9835386311891132,0.050000000000000044,row_block_holdout
learned_semantic_router_context_headsignal,Q1,0.2586568734195943,0.5216249385161477,0.21971818806425808,0.9284772614927226,0.2608646915356575,row_block_holdout
learned_semantic_router_context_headsignal,Q2,0.21043845352010654,0.5612663932708903,0.22829515320900276,0.8980238392622626,0.3260726668302046,row_block_holdout
learned_semantic_router_context_headsignal,Q3,0.25366086682923483,0.47131074660976074,0.27502838656100465,0.9598413706439002,0.18881190564658526,row_block_holdout
learned_semantic_router_context_headsignal,S1,0.34838857466174616,0.4331568544921235,0.21845457084613035,0.9647584782690982,0.08517709710589406,row_block_holdout
learned_semantic_router_context_headsignal,S2,0.30395537226996305,0.4440647996535219,0.2519798280765145,0.9722174754067825,0.13964620228416771,row_block_holdout
learned_semantic_router_context_headsignal,S3,0.37196605526058585,0.27777330430430053,0.3502606404351135,0.9904357023106736,0.045916445205409044,row_block_holdout
learned_semantic_router_context_headsignal,S4,0.3799761877105443,0.2640572766590403,0.35596653563041475,0.9865282589797136,0.04748881308195324,row_block_holdout
