source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
best_late_fusion__absolute_plus_deviation__c0.3_b0.2,0.6229613176952576,0.6689861051722832,0.7020978592408005,0.6741574430886071,0.5709585946396454,0.5775006583045229,0.5239268911855993,0.6431016722353451
best_late_fusion__absolute_plus_deviation__c0.1_b0.2,0.6237927803338889,0.6700346459207199,0.7010001209828194,0.6736543305290845,0.570926638022677,0.5773858608726387,0.530509557959145,0.6430383080501377
best_late_fusion__deviation__c0.3_b0.2,0.6240101458125175,0.6684858700909789,0.7005359830135,0.6709453564867801,0.5722806991144583,0.5788038606570198,0.5319263483329497,0.6450929029919353
best_late_fusion__absolute__c0.3_b0.2,0.6241173933055804,0.6684824693681113,0.6960139424354125,0.6715958320010429,0.5767896497254626,0.57712377584321,0.5353697319901312,0.6434463517756924
best_late_fusion__absolute_plus_deviation__c0.3_b0.1,0.6246402437204839,0.6703870520810266,0.7028804579912902,0.6753899056246451,0.5725652829206151,0.5782982172544664,0.5283124809539718,0.644648309217372
best_late_fusion__absolute__c0.1_b0.2,0.6248055077107109,0.6690211013852839,0.695985553273431,0.6722815756692752,0.5765698767452224,0.5785418448526426,0.5375898762311342,0.6436487258179873
best_late_fusion__absolute__c0.3_b0.1,0.6249111866265454,0.6698847948479304,0.6995458522566016,0.6740936711983416,0.5753749930363661,0.5775081864713353,0.5334034961742707,0.6445673124009722
best_plus_temporal_deviation__absolute_plus_deviation__c0.03_b0.2,0.6249234733510958,0.6769815313142657,0.6994919599364985,0.6704381476524093,0.5705501976100004,0.5745956505433353,0.5373562257708517,0.6450506006303097
best_late_fusion__deviation__c0.1_b0.2,0.6249596685358976,0.6693083850507102,0.6980632857197336,0.6714859185179932,0.5726232263945995,0.580821999862295,0.537460926778204,0.6449539374277473
best_late_fusion__deviation__c0.3_b0.1,0.6250272612527505,0.6700725952765982,0.7019563241492567,0.6737967235018937,0.5730418893912356,0.5785956079132961,0.5321986578591992,0.6455290306777747
best_plus_temporal_deviation__absolute__c0.03_b0.2,0.6251011631926254,0.6740471435816973,0.6921115367342479,0.6713063611851019,0.5799659518624232,0.572322030948948,0.5425072171688341,0.6434479008671254
best_late_fusion__absolute_plus_deviation__c0.03_b0.2,0.6251308923741101,0.6711863561957777,0.699155691025882,0.6737950473649815,0.5717664486284147,0.5791178682289152,0.536995556825799,0.6438992783490008
best_late_fusion__absolute_plus_deviation__c0.1_b0.1,0.6251313543349591,0.6710154207922362,0.7024244028175395,0.6752788531759149,0.5726215122367455,0.5782056607878319,0.5316874047001796,0.644686225834266
best_plus_temporal_deviation__absolute__c0.03_b0.1,0.6253138603521211,0.6728286014735919,0.6972817465762264,0.6737939060541392,0.5768145599766543,0.5747602901220634,0.5371982440179994,0.6445196742441727
best_late_fusion__absolute__c0.1_b0.1,0.6253895211285249,0.670323671444731,0.6996653105993168,0.6745702392813397,0.5753595973773291,0.57826809942169,0.5347706379870129,0.6447690917882547
best_plus_temporal_deviation__absolute_plus_deviation__c0.03_b0.1,0.6254496287769564,0.6744416432061084,0.7010271012632763,0.6732295512060349,0.572432191450926,0.5765864163848126,0.5349732520919412,0.645457245835596
best_plus_temporal_deviation__absolute__c0.1_b0.1,0.6254690368224756,0.6733072530978867,0.6980820609866664,0.6745830239637051,0.5775829408448615,0.5743844319252239,0.5364243971833709,0.6439191497556143
best_late_fusion__deviation__c0.1_b0.1,0.6255366383561637,0.670572438895511,0.7007604579094759,0.6741728395956408,0.5732105619521617,0.579535880642171,0.5350263030847159,0.6454779864134697
best_plus_temporal_deviation__deviation__c0.3_b0.1,0.6255951968589823,0.6763317638782321,0.7042624977012345,0.6710021832662914,0.5716862800787332,0.575768867301077,0.533768274518906,0.6463465112684023
best_plus_temporal_deviation__deviation__c0.1_b0.1,0.6256324630561861,0.675759016285166,0.7012340022497388,0.6712786757818895,0.5715424800035865,0.5774630369122788,0.5359072466132699,0.6462427835473732
best_plus_temporal_deviation__absolute_plus_deviation__c0.1_b0.1,0.6256433572593462,0.6754573673426539,0.7040373433275254,0.6735998100221281,0.5720510235469158,0.5766740522677277,0.5321744200245185,0.645509484283954
best_plus_temporal_deviation__deviation__c0.03_b0.1,0.6257051259599397,0.6742927859512896,0.6987406133059659,0.6720498671019777,0.5722327640504544,0.5789835346588458,0.5374594095310276,0.6461769071200173
best_plus_temporal_deviation__absolute_plus_deviation__c0.1_b0.2,0.6257070216476228,0.6794653967973363,0.7060430353545747,0.6715196555155543,0.5701656946403287,0.5750080294333809,0.532204251069546,0.645543088722639
best_late_fusion__absolute__c0.03_b0.2,0.6257077290223743,0.6700688386963115,0.6963810094635928,0.6731048841639323,0.5763995269109055,0.5799160138070059,0.5400051630577211,0.6440786670571513
best_plus_temporal_deviation__deviation__c0.03_b0.2,0.6257412402979133,0.676665508156834,0.6951258321215146,0.6682265496710286,0.5707302700566262,0.5799358107615888,0.5427536679597381,0.6467510433580631
