combo,target,base_loss,candidate_loss,delta
stage2_q3_s1_s4,Q1,0.5794820268812545,0.5794820268812545,0.0
stage2_q3_s1_s4,Q2,0.6429986926145494,0.6429986926145494,0.0
stage2_q3_s1_s4,Q3,0.6381610384567173,0.6303484889503163,-0.00781254950640109
stage2_q3_s1_s4,S1,0.48685705352101377,0.47894327588040597,-0.0079137776406078
stage2_q3_s1_s4,S2,0.5437256633704466,0.5437256633704466,0.0
stage2_q3_s1_s4,S3,0.506445918491372,0.506445918491372,0.0
stage2_q3_s1_s4,S4,0.6108847251173285,0.6034040622125061,-0.0074806629048224105
stage2_q3_s1_s2_s3_s4,Q1,0.5794820268812545,0.5794820268812545,0.0
stage2_q3_s1_s2_s3_s4,Q2,0.6429986926145494,0.6429986926145494,0.0
stage2_q3_s1_s2_s3_s4,Q3,0.6381610384567173,0.6303484889503163,-0.00781254950640109
stage2_q3_s1_s2_s3_s4,S1,0.48685705352101377,0.47894327588040597,-0.0079137776406078
stage2_q3_s1_s2_s3_s4,S2,0.5437256633704466,0.5389534496173579,-0.004772213753088672
stage2_q3_s1_s2_s3_s4,S3,0.506445918491372,0.5034376794790675,-0.0030082390123045144
stage2_q3_s1_s2_s3_s4,S4,0.6108847251173285,0.6034040622125061,-0.0074806629048224105
stage2_q1_q3_s1_s4,Q1,0.5794820268812545,0.5746308240745168,-0.0048512028067376756
stage2_q1_q3_s1_s4,Q2,0.6429986926145494,0.6429986926145494,0.0
stage2_q1_q3_s1_s4,Q3,0.6381610384567173,0.6303484889503163,-0.00781254950640109
stage2_q1_q3_s1_s4,S1,0.48685705352101377,0.47894327588040597,-0.0079137776406078
stage2_q1_q3_s1_s4,S2,0.5437256633704466,0.5437256633704466,0.0
stage2_q1_q3_s1_s4,S3,0.506445918491372,0.506445918491372,0.0
stage2_q1_q3_s1_s4,S4,0.6108847251173285,0.6034040622125061,-0.0074806629048224105
stage2_q1_q3_s1_s2_s3_s4,Q1,0.5794820268812545,0.5746308240745168,-0.0048512028067376756
stage2_q1_q3_s1_s2_s3_s4,Q2,0.6429986926145494,0.6429986926145494,0.0
stage2_q1_q3_s1_s2_s3_s4,Q3,0.6381610384567173,0.6303484889503163,-0.00781254950640109
stage2_q1_q3_s1_s2_s3_s4,S1,0.48685705352101377,0.47894327588040597,-0.0079137776406078
stage2_q1_q3_s1_s2_s3_s4,S2,0.5437256633704466,0.5389534496173579,-0.004772213753088672
stage2_q1_q3_s1_s2_s3_s4,S3,0.506445918491372,0.5034376794790675,-0.0030082390123045144
stage2_q1_q3_s1_s2_s3_s4,S4,0.6108847251173285,0.6034040622125061,-0.0074806629048224105
