file,oof_file,selection_trust,selection_rank_for_trust,selection_score,safe_file,risky_file,blend_mode,target_mask,risk_weight,posterior_mean_expected,conservative_mean_expected,posterior_mean_delta_vs_stage2,conservative_mean_delta_vs_stage2,oof_loss,candidate_id
submission_public_consfront_t35_r01_9df5211a.csv,final_public_consfront_t35_r01_9df5211a_oof.npy,0.35,1,0.5781763395165758,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_entropyproj_public2d0_g100.csv,prob,all,0.5,0.5748954831705614,0.5746184261250242,-0.0012559707852055142,-0.00041896763345094346,0.5580734931762326,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_entropyproj_public2d0_g100.csv|prob|all|0.50
submission_public_consfront_t35_r02_685b9221.csv,final_public_consfront_t35_r02_685b9221_oof.npy,0.35,2,0.5781966034272651,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_public_entropyproj_public2d0_g100.csv,prob,all,0.5,0.574915120825886,0.574618096695777,-0.0012363331298808325,-0.00041929706269813684,0.5580002859358532,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv|submission_public_entropyproj_public2d0_g100.csv|prob|all|0.50
submission_public_consfront_t35_r03_58360e62.csv,final_public_consfront_t35_r03_58360e62_oof.npy,0.35,3,0.5782385834437379,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_public_entropyproj_public2d0_g100.csv,logit,all,0.5,0.5749042298801018,0.5746193937664474,-0.0012472240756651505,-0.0004179999920277452,0.557774402633611,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv|submission_public_entropyproj_public2d0_g100.csv|logit|all|0.50
submission_public_consfront_t50_r04_b26d90bf.csv,final_public_consfront_t50_r04_b26d90bf_oof.npy,0.5,1,0.5780289764136743,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_entropyproj_public2d0_g100.csv,logit,all,0.5,0.5748840779226205,0.5746195230147273,-0.0012673760331463537,-0.0004178707437479002,0.5578372126189741,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_entropyproj_public2d0_g100.csv|logit|all|0.50
submission_public_consfront_t50_r05_2ecf14de.csv,final_public_consfront_t50_r05_2ecf14de_oof.npy,0.5,2,0.5780291972113681,submission_publicobsblend_stage2_to_ordinal_w005.csv,submission_public_entropyproj_public2d0_g100.csv,prob,all,0.5,0.574902225214901,0.5746414288877616,-0.001249228740865901,-0.00039596487071359823,0.5578847030699177,submission_publicobsblend_stage2_to_ordinal_w005.csv|submission_public_entropyproj_public2d0_g100.csv|prob|all|0.50
submission_public_consfront_t50_r06_783c0eda.csv,final_public_consfront_t50_r06_783c0eda_oof.npy,0.5,3,0.5780551229806626,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_entropyproj_public2d0_g100.csv,prob,noq2,0.5,0.5749243232940567,0.5746337816048245,-0.001227130661710128,-0.0004036121536506794,0.5590362550221732,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_entropyproj_public2d0_g100.csv|prob|noq2|0.50
submission_public_consfront_t65_r07_f8156dce.csv,final_public_consfront_t65_r07_f8156dce_oof.npy,0.65,1,0.5778511992921459,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_entropyproj_public2d0_g075.csv,prob,all,0.65,0.5748029924593282,0.5746408222766031,-0.001348461496438648,-0.00039657148187209314,0.5573031897798768,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_entropyproj_public2d0_g075.csv|prob|all|0.65
submission_public_consfront_t65_r08_c67c491d.csv,final_public_consfront_t65_r08_c67c491d_oof.npy,0.65,2,0.5778550573897822,submission_publicobsblend_stage2_to_ordinal_w005.csv,submission_public_entropyproj_public2d0_g100.csv,logit,all,0.5,0.5748887643894006,0.5746420166818773,-0.001262689566366239,-0.00039537707659779753,0.5576506730388475,submission_publicobsblend_stage2_to_ordinal_w005.csv|submission_public_entropyproj_public2d0_g100.csv|logit|all|0.50
submission_public_consfront_t65_r09_6ab53561.csv,final_public_consfront_t65_r09_6ab53561_oof.npy,0.65,3,0.5778656056469286,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_minimaxens_r05_a10_h506746.csv,prob,all,0.65,0.5747918530490618,0.5746464496718662,-0.0013596009067050282,-0.0003909440866089071,0.5575088932980491,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_minimaxens_r05_a10_h506746.csv|prob|all|0.65
submission_public_consfront_t80_r10_b06ca82f.csv,final_public_consfront_t80_r10_b06ca82f_oof.npy,0.8,1,0.5776037218714039,submission_publicobsblend_anchor578_to_stage2_w095.csv,submission_public_minimaxens_r01_a6_h422045.csv,prob,all,0.65,0.5747919294860159,0.574646417451924,-0.0013595244697509562,-0.00039097630655122886,0.5574980383161914,submission_publicobsblend_anchor578_to_stage2_w095.csv|submission_public_minimaxens_r01_a6_h422045.csv|prob|all|0.65
submission_public_consfront_t80_r11_cbf95500.csv,final_public_consfront_t80_r11_cbf95500_oof.npy,0.8,2,0.57761762377219,submission_publicobsblend_stage2_to_ordinal_w005.csv,submission_public_entropyproj_public2d0_g075.csv,prob,all,0.65,0.5748091614060197,0.5746577524452384,-0.0013422925497472088,-0.00037964131323684,0.5571734092344844,submission_publicobsblend_stage2_to_ordinal_w005.csv|submission_public_entropyproj_public2d0_g075.csv|prob|all|0.65
submission_public_consfront_t80_r12_9e52dcea.csv,final_public_consfront_t80_r12_9e52dcea_oof.npy,0.8,3,0.5776198349995018,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_public_entropyproj_public2d0_g075.csv,prob,all,0.65,0.574819142332578,0.5746429992957701,-0.001332311623188931,-0.00039439446270500203,0.5572538521575425,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv|submission_public_entropyproj_public2d0_g075.csv|prob|all|0.65
