combo,target,base_loss,candidate_loss,delta
broad_q1_calltime,Q1,0.5943463368012365,0.5794820268812545,-0.014864309919982
broad_q1_calltime,Q2,0.6460810467560394,0.6460810467560394,0.0
broad_q1_calltime,Q3,0.6381610384567173,0.6381610384567173,0.0
broad_q1_calltime,S1,0.48685705352101377,0.48685705352101377,0.0
broad_q1_calltime,S2,0.5437256633704466,0.5437256633704466,0.0
broad_q1_calltime,S3,0.506445918491372,0.506445918491372,0.0
broad_q1_calltime,S4,0.6108847251173285,0.6108847251173285,0.0
broad_q2_activity_transition,Q1,0.5943463368012365,0.5943463368012365,0.0
broad_q2_activity_transition,Q2,0.6460810467560394,0.6429986926145494,-0.0030823541414899402
broad_q2_activity_transition,Q3,0.6381610384567173,0.6381610384567173,0.0
broad_q2_activity_transition,S1,0.48685705352101377,0.48685705352101377,0.0
broad_q2_activity_transition,S2,0.5437256633704466,0.5437256633704466,0.0
broad_q2_activity_transition,S3,0.506445918491372,0.506445918491372,0.0
broad_q2_activity_transition,S4,0.6108847251173285,0.6108847251173285,0.0
broad_q1_calltime_q2_activity,Q1,0.5943463368012365,0.5794820268812545,-0.014864309919982
broad_q1_calltime_q2_activity,Q2,0.6460810467560394,0.6429986926145494,-0.0030823541414899402
broad_q1_calltime_q2_activity,Q3,0.6381610384567173,0.6381610384567173,0.0
broad_q1_calltime_q2_activity,S1,0.48685705352101377,0.48685705352101377,0.0
broad_q1_calltime_q2_activity,S2,0.5437256633704466,0.5437256633704466,0.0
broad_q1_calltime_q2_activity,S3,0.506445918491372,0.506445918491372,0.0
broad_q1_calltime_q2_activity,S4,0.6108847251173285,0.6108847251173285,0.0
