combo,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
broad_q1_calltime_q2_activity,0.575214540359165,0.572650731207526,-0.002563809151639007,-0.0029047307266824697,1.0,-0.012494578468251138,-0.007838536618526171,0.0,0.0,0.0,0.0,0.0
broad_q1_calltime,0.575214540359165,0.5730910675134532,-0.0021234728457117935,-0.0017849397811787293,1.0,-0.012494578468251138,0.0,0.0,0.0,0.0,0.0,0.0
broad_q2_activity_transition,0.575214540359165,0.5747742040532378,-0.0004403363059272136,-0.0011197909455037069,1.0,0.0,-0.007838536618526171,0.0,0.0,0.0,0.0,0.0
