hard_delta_vs_h012,uniform_hard_delta_vs_h012,candidate_id,mode,target_kind,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,h018_decision,decision_rank,file
-0.0006030406717008386,-0.0005796202207438983,combined_all_k1750_a1,combined,posterior,all,1750,1.0,250,1750,0.011226420150245442,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_combined_all_k1750_a1_0c12f8da.csv
-0.0006030406717008386,-0.0005796202207438983,gain_all_k1750_a1,gain,posterior,all,1750,1.0,250,1750,0.011226420150245442,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1750_a1_0c12f8da.csv
-0.0006030406717008386,-0.0005796202207438983,shock_all_k1750_a1,shock,posterior,all,1750,1.0,250,1750,0.011226420150245442,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_shock_all_k1750_a1_0c12f8da.csv
-0.0006030406717008386,-0.0005796202207438983,confidence_all_k1750_a1,confidence,posterior,all,1750,1.0,250,1750,0.011226420150245442,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_confidence_all_k1750_a1_0c12f8da.csv
-0.0006030406717008386,-0.0005796202207438983,h017_gain_all_k1750_a1,h017_gain,posterior,all,1750,1.0,250,1750,0.011226420150245442,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_h017_gain_all_k1750_a1_0c12f8da.csv
-0.0006024798869794743,-0.0005790521142277956,gain_all_k1600_a1,gain,posterior,all,1600,1.0,250,1600,0.011105954173407666,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1600_a1_c90701c0.csv
-0.0006010969003537427,-0.0005776518582830631,h017_gain_all_k1600_a1,h017_gain,posterior,all,1600,1.0,250,1600,0.011012931905764727,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_h017_gain_all_k1600_a1_ca49797f.csv
-0.0006005201589421253,-0.0005770336553425061,combined_all_k1600_a1,combined,posterior,all,1600,1.0,250,1600,0.010956741956515588,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_combined_all_k1600_a1_fdbd2d6b.csv
-0.0005942238580705757,-0.000570814987920916,gain_all_k1300_a1,gain,posterior,all,1300,1.0,250,1300,0.0104462587105844,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1300_a1_07ad43d1.csv
-0.0005937914851633038,-0.0005703865661648656,h017_gain_all_k1300_a1,h017_gain,posterior,all,1300,1.0,250,1300,0.010428034304851529,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_h017_gain_all_k1300_a1_8192cf16.csv
-0.0005872546184563874,-0.0005634727171095666,combined_all_k1300_a1,combined,posterior,all,1300,1.0,250,1300,0.010058160179478371,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_combined_all_k1300_a1_cdc27378.csv
-0.0005700066042390098,-0.0005461966837705935,gain_all_k1000_a1,gain,posterior,all,1000,1.0,249,1000,0.009157248804124968,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1000_a1_3e95a50a.csv
-0.00056958697324002,-0.0005457664232825837,h017_gain_all_k1000_a1,h017_gain,posterior,all,1000,1.0,249,1000,0.009147984151422841,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_h017_gain_all_k1000_a1_456dc7dc.csv
-0.000568506377992302,-0.0005448965162302098,confidence_all_k1600_a1,confidence,posterior,all,1600,1.0,250,1600,0.010181544860626343,0.11298815705193355,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_confidence_all_k1600_a1_812ff29a.csv
-0.0005673073471330369,-0.0005450622733952504,combined_all_k1750_a1.25,combined,posterior,all,1750,1.25,250,1750,0.013982917207150787,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_combined_all_k1750_a1.25_78dbbe09.csv
-0.0005673073471330369,-0.0005450622733952504,gain_all_k1750_a1.25,gain,posterior,all,1750,1.25,250,1750,0.013982917207150787,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1750_a1.25_78dbbe09.csv
-0.0005673073471330369,-0.0005450622733952504,shock_all_k1750_a1.25,shock,posterior,all,1750,1.25,250,1750,0.013982917207150787,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_shock_all_k1750_a1.25_78dbbe09.csv
-0.0005673073471330369,-0.0005450622733952504,confidence_all_k1750_a1.25,confidence,posterior,all,1750,1.25,250,1750,0.013982917207150787,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_confidence_all_k1750_a1.25_78dbbe09.csv
-0.0005673073471330369,-0.0005450622733952504,h017_gain_all_k1750_a1.25,h017_gain,posterior,all,1750,1.25,250,1750,0.013982917207150787,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_h017_gain_all_k1750_a1.25_78dbbe09.csv
-0.0005667803970434179,-0.0005445285418832995,gain_all_k1600_a1.25,gain,posterior,all,1600,1.25,250,1600,0.013832328778889605,0.13669790015525174,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1600_a1.25_01eda82e.csv
-0.0005666257945659117,-0.000544472669387477,combined_all_k1750_a0.75,combined,posterior,all,1750,0.75,250,1750,0.008451065450608464,0.08739248873299255,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_combined_all_k1750_a0.75_25ad9990.csv
-0.0005666257945659117,-0.000544472669387477,gain_all_k1750_a0.75,gain,posterior,all,1750,0.75,250,1750,0.008451065450608464,0.08739248873299255,hard_world_sensor,1,hitl/h018_hard_label_world_jepa/submission_h018_gain_all_k1750_a0.75_25ad9990.csv
