candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012
h044_pubtrans_top38_a0.5_c38_20e0aa55,submission_h044_pubtrans_top38_a0.5_c38_20e0aa55.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top38_a0.5_c38_20e0aa55.csv,pubtrans_top38_a0.5,pubtrans_top38_a0.5,1,38,38,0.0017288315444210932,0.03750264228826794,0.00823007636208425,0.22383985419833818,-6.912299762887123e-05,0.00040832657902770163,-5.470767497679356e-06,-1.2410578722152822e-05
h044_pubtrans_top38_a0.58_c38_a809ebdf,submission_h044_pubtrans_top38_a0.58_c38_a809ebdf.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top38_a0.58_c38_a809ebdf.csv,pubtrans_top38_a0.58,pubtrans_top38_a0.58,1,38,38,0.0020014454729729253,0.04305671614590323,0.009546888580017733,0.25965423087007267,-7.752772331103758e-05,0.000474169626459023,-5.100805193392215e-06,-1.3087512927448125e-05
h044_pubtrans_top38_a0.66_c38_03a7b525,submission_h044_pubtrans_top38_a0.66_c38_03a7b525.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top38_a0.66_c38_03a7b525.csv,pubtrans_top38_a0.66,pubtrans_top38_a0.66,1,38,38,0.002272913892665732,0.048488496918805524,0.010863700797951209,0.2954686075418076,-8.521345540998568e-05,0.0005399924862682034,-4.397572502521382e-06,-1.3415650066348339e-05
h044_pubtrans_top38_a0.78_c38_2225ccff,submission_h044_pubtrans_top38_a0.78_c38_2225ccff.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top38_a0.78_c38_2225ccff.csv,pubtrans_top38_a0.78,pubtrans_top38_a0.78,1,38,38,0.0026779390475271565,0.05640827282238181,0.01283891912485142,0.3491901725494082,-9.540482176384009e-05,0.0006386548165829399,-2.7260235456332317e-06,-1.3263601309208875e-05
h044_pubtrans_top38_a0.92_c38_86c7b1db,submission_h044_pubtrans_top38_a0.92_c38_86c7b1db.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top38_a0.92_c38_86c7b1db.csv,pubtrans_top38_a0.92,pubtrans_top38_a0.92,1,38,38,0.0031471149927444152,0.06530560317851364,0.015143340506235,0.411865331724943,-0.0001052868191238295,0.0007536114984574864,1.4439465470784704e-07,-1.212698033635229e-05
h044_pubtrans_top45_a0.5_c45_fa6e468c,submission_h044_pubtrans_top45_a0.5_c45_fa6e468c.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top45_a0.5_c45_fa6e468c.csv,pubtrans_top45_a0.5,pubtrans_top45_a0.5,1,45,45,0.0019736422254107615,0.03750264228826794,0.009328371184609406,0.22383985419833818,-7.379189277486628e-05,0.00043901092327522167,-5.5687743783916485e-06,-1.7991902664631082e-05
h044_pubtrans_top45_a0.58_c45_1eb05ecb,submission_h044_pubtrans_top45_a0.58_c45_1eb05ecb.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top45_a0.58_c45_1eb05ecb.csv,pubtrans_top45_a0.58,pubtrans_top45_a0.58,1,45,45,0.0022852145167951213,0.04305671614590323,0.010820910574146912,0.25965423087007267,-8.268391016564634e-05,0.0005092953840078079,-5.134832725435792e-06,-1.9340784250198075e-05
h044_pubtrans_top45_a0.66_c45_ba7301b8,submission_h044_pubtrans_top45_a0.66_c45_ba7301b8.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top45_a0.66_c45_ba7301b8.csv,pubtrans_top45_a0.66,pubtrans_top45_a0.66,1,45,45,0.002595576121749232,0.048488496918805524,0.012313449963684404,0.2954686075418076,-9.07856935639791e-05,0.0005797731549249711,-4.345783853942664e-06,-2.0280311126016794e-05
h044_pubtrans_top45_a0.78_c45_a3a483f2,submission_h044_pubtrans_top45_a0.78_c45_a3a483f2.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top45_a0.78_c45_a3a483f2.csv,pubtrans_top45_a0.78,pubtrans_top45_a0.78,1,45,45,0.003058813506487974,0.05640827282238181,0.01455225904799066,0.3491901725494082,-0.00010146792316834802,0.0006852465511798683,-2.5046891716538935e-06,-2.0932176474167845e-05
h044_pubtrans_top45_a0.92_c45_ba6880c3,submission_h044_pubtrans_top45_a0.92_c45_ba6880c3.csv,/Users/kbsoo/Downloads/cl2/hitl/h044_q2_human_route_split_jepa/submission_h044_pubtrans_top45_a0.92_c45_ba6880c3.csv,pubtrans_top45_a0.92,pubtrans_top45_a0.92,1,45,45,0.0035957005792371932,0.06530560317851364,0.017164202979681277,0.411865331724943,-0.00011172125538705304,0.0008097757169529029,6.252070590271174e-07,-2.0562539424250453e-05
