bundle,target,episodes,story,split,base_loss,route_loss,delta_logloss,null_median,dominance,row_dominance,subject_dominance,dateblock_dominance,bundle_gate
q3_badnight,Q3,badnight_aftereffect,bad-night aftereffect route into Q3 only,subject5,0.6867059364875235,0.6748539752349032,-0.011851961252620336,-0.009006736239354662,0.9333333333333333,1.0,1.0,0.8,True
s3_core,S3,"home_recovery,bedtime_arousal,social_overload",recovery/arousal/social overload route into S3 only,subject5,0.669304895458884,0.6656280902987181,-0.003676805160165997,0.016915429649963065,1.0,1.0,1.0,1.0,True
q3_badnight,Q3,badnight_aftereffect,bad-night aftereffect route into Q3 only,dateblock5,0.6766811680567885,0.6744670260967544,-0.0022141419600341106,-0.002610447660390869,0.4666666666666667,0.8,0.4,0.2,False
s3_core_plus,S3,"home_recovery,bedtime_arousal,social_overload,cashflow_stress,routine_fragmentation",broader S3 route including cashflow and routine fragmentation,subject5,0.669304895458884,0.6698352050066239,0.0005303095477398045,0.020101766612519723,0.9333333333333333,1.0,1.0,0.8,False
s1_fragment_arousal,S1,"routine_fragmentation,bedtime_arousal,routine_anchor_recovery",fragmentation/arousal route into S1 only,dateblock5,0.5822218022839711,0.5852096608836561,0.0029878585996849782,0.0021802564504628252,0.4,0.4,0.4,0.4,False
s2_anchor_badnight,S2,"routine_anchor_recovery,badnight_aftereffect",routine anchor plus bad-night route into S2 only,dateblock5,0.5799113592090732,0.5863209520909263,0.0064095928818530545,0.02016807626741679,1.0,1.0,1.0,1.0,False
q2_anchor_home,Q2,"routine_anchor_recovery,home_recovery",routine/home recovery route into Q2 only,dateblock5,0.6953928328598021,0.7020316249821639,0.006638792122361736,0.00789103158185056,0.5333333333333333,0.8,0.8,0.0,False
s1_fragment_arousal,S1,"routine_fragmentation,bedtime_arousal,routine_anchor_recovery",fragmentation/arousal route into S1 only,subject5,0.6489969819268863,0.6573471049135163,0.00835012298663007,0.011052138354803898,0.7333333333333333,0.6,0.6,1.0,False
q2_anchor_home,Q2,"routine_anchor_recovery,home_recovery",routine/home recovery route into Q2 only,subject5,0.7007588794264572,0.7094106119945124,0.008651732568055182,0.011923331156870609,0.8666666666666667,0.8,0.8,1.0,False
s4_home_commute,S4,"home_recovery,commute_pressure",home recovery and commute pressure route into S4 only,dateblock5,0.6594409187589685,0.6699154341551977,0.010474515396229234,0.01959648591926655,1.0,1.0,1.0,1.0,False
s3_core_plus,S3,"home_recovery,bedtime_arousal,social_overload,cashflow_stress,routine_fragmentation",broader S3 route including cashflow and routine fragmentation,dateblock5,0.5308989278141828,0.5431057533368633,0.012206825522680487,0.023505974433278953,1.0,1.0,1.0,1.0,False
s4_home_commute,S4,"home_recovery,commute_pressure",home recovery and commute pressure route into S4 only,subject5,0.705276994213305,0.7193055487516111,0.014028554538306093,0.010041465661458693,0.06666666666666667,0.0,0.0,0.2,False
s3_core,S3,"home_recovery,bedtime_arousal,social_overload",recovery/arousal/social overload route into S3 only,dateblock5,0.5308989278141828,0.5450459797334566,0.01414705191927379,0.020301936253234176,0.9333333333333333,1.0,1.0,0.8,False
s2_anchor_badnight,S2,"routine_anchor_recovery,badnight_aftereffect",routine anchor plus bad-night route into S2 only,subject5,0.6788921194843245,0.6972820364862332,0.01838991700190873,0.030962404371200125,1.0,1.0,1.0,1.0,False
