basename,changed_rows,changed_cells,mean_abs_logit_delta,max_abs_prob_delta,h003_alltarget_l1_ratio,h003_alltarget_cos,changed_Q1,l1_Q1,changed_Q2,l1_Q2,changed_Q3,l1_Q3,changed_S1,l1_S1,changed_S2,l1_S2,changed_S3,l1_S3,changed_S4,l1_S4
submission_h004_q3_badnight_top25_34c80262.csv,25,25,0.00019999999999999947,0.0034998025224345364,0.025846969701912807,0.1971868674870112,0,0.0,0,0.0,25,0.3499999999999991,0,0.0,0,0.0,0,0.0,0,0.0
submission_h004_s3_core_tail25_14432619.csv,25,25,0.0002475912878177028,0.004196151011449267,0.03199742257340877,0.15833761745014008,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,0,0.0,25,0.43328475368097946,0,0.0
submission_h004_q2_anchor_top30_2bd535d2.csv,30,30,0.0002319496308047576,0.0034449063224455956,0.029975975398902233,0.2101582277201023,0,0.0,30,0.40591185390832535,0,4.440892098500626e-16,0,0.0,0,0.0,0,0.0,0,0.0
submission_h004_s2_anchor_top30_3b720084.csv,30,30,0.00022746972797570405,0.003438165952553751,0.02939701583545193,0.20220378380212634,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,30,0.39807202395748165,0,0.0,0,0.0
submission_h004_s4_home_top30_412d1a55.csv,30,30,0.00023856458613050728,0.003472703529489085,0.030830858148323027,0.2097213269340082,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,0,0.0,0,0.0,30,0.4174880257283873
submission_h004_s3_core_top35_9b076c27.csv,35,35,0.0003004638854604559,0.004323703247042898,0.038830404720077115,0.18571142887845404,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,0,0.0,35,0.5258117995557974,0,0.0
submission_h004_s3_coreplus_top35_53020041.csv,35,35,0.0002780862492565101,0.003999941012541308,0.03593843429525804,0.18771722569017635,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,0,0.0,35,0.48665093619889227,0,0.0
submission_h004_s3_q2_micro_eec39264.csv,46,48,0.0003285706158008173,0.0037338520971430533,0.042462773757712895,0.2321730313962426,0,0.0,18,0.1699746689362128,0,4.440892098500626e-16,0,0.0,0,0.0,30,0.405023908715217,0,0.0
submission_h004_s3_q3_micro_e221f794.csv,44,48,0.0003305762407077086,0.0037338520971430533,0.04272197038872201,0.23556746737278972,0,0.0,0,0.0,18,0.17348451252327315,0,0.0,0,0.0,30,0.405023908715217,0,0.0
submission_h004_s3_core_top50_15455f9d.csv,50,50,0.00036732254864919493,0.0038798358811784617,0.04747087392882579,0.20691139933120173,0,0.0,0,0.0,0,4.440892098500626e-16,0,0.0,0,0.0,50,0.6428144601360907,0,0.0
