candidate_id,file,basename,routes,active_targets,n_active_targets,changed_cells,changed_rows,mean_abs_logit_move,max_abs_logit_move,max_abs_prob_delta,best_bundle_delta,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4
s3_core_top35,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_core_top35_9b076c27.csv,submission_h004_s3_core_top35_9b076c27.csv,s3_core:S3:k35:w0.02:cap0.018,S3,1,35,35,0.00030046388546045664,0.018,0.004323703247042898,-0.003676805160165997,0,0,0,0,0,35,0
s3_core_top50,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_core_top50_15455f9d.csv,submission_h004_s3_core_top50_15455f9d.csv,s3_core:S3:k50:w0.018:cap0.016,S3,1,50,50,0.0003673225486491977,0.016,0.003879835881178517,-0.003676805160165997,0,0,0,0,0,50,0
s3_coreplus_top35,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_coreplus_top35_53020041.csv,submission_h004_s3_coreplus_top35_53020041.csv,s3_core_plus:S3:k35:w0.018:cap0.016,S3,1,35,35,0.0002780862492565124,0.016,0.003999941012541308,0.0005303095477398045,0,0,0,0,0,35,0
s3_core_tail25,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_core_tail25_14432619.csv,submission_h004_s3_core_tail25_14432619.csv,s3_core:S3:k25:w0.024:cap0.018,S3,1,25,25,0.00024759128781770453,0.018,0.004196151011449212,-0.003676805160165997,0,0,0,0,0,25,0
q2_anchor_top30,hitl/h004_hsjepa_sparse_routes/submission_h004_q2_anchor_top30_2bd535d2.csv,submission_h004_q2_anchor_top30_2bd535d2.csv,q2_anchor_home:Q2:k30:w0.016:cap0.014,Q2,1,30,30,0.00023194963080475713,0.014,0.0034449063224455956,0.006638792122361736,0,30,0,0,0,0,0
q3_badnight_top25,hitl/h004_hsjepa_sparse_routes/submission_h004_q3_badnight_top25_34c80262.csv,submission_h004_q3_badnight_top25_34c80262.csv,q3_badnight:Q3:k25:w0.018:cap0.014,Q3,1,25,25,0.00019999999999999998,0.014,0.0034998025224345364,-0.011851961252620336,0,0,25,0,0,0,0
s2_anchor_top30,hitl/h004_hsjepa_sparse_routes/submission_h004_s2_anchor_top30_3b720084.csv,submission_h004_s2_anchor_top30_3b720084.csv,s2_anchor_badnight:S2:k30:w0.016:cap0.014,S2,1,30,30,0.0002274697279757103,0.014,0.003438165952553751,0.0064095928818530545,0,0,0,0,30,0,0
s4_home_top30,hitl/h004_hsjepa_sparse_routes/submission_h004_s4_home_top30_412d1a55.csv,submission_h004_s4_home_top30_412d1a55.csv,s4_home_commute:S4:k30:w0.016:cap0.014,S4,1,30,30,0.0002385645861305059,0.014,0.003472703529489085,0.010474515396229234,0,0,0,0,0,0,30
s3_q2_micro,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_q2_micro_eec39264.csv,submission_h004_s3_q2_micro_eec39264.csv,s3_core:S3:k30:w0.018:cap0.015;q2_anchor_home:Q2:k18:w0.01:cap0.01,"Q2,S3",2,48,46,0.000328570615800821,0.015,0.0037338520971430533,-0.003676805160165997,0,18,0,0,0,30,0
s3_q3_micro,hitl/h004_hsjepa_sparse_routes/submission_h004_s3_q3_micro_e221f794.csv,submission_h004_s3_q3_micro_e221f794.csv,s3_core:S3:k30:w0.018:cap0.015;q3_badnight:Q3:k18:w0.01:cap0.01,"Q3,S3",2,48,44,0.00033057624070771257,0.015,0.0037338520971430533,-0.011851961252620336,0,0,18,0,0,30,0
