bundle,target,split,mode,rep,null_delta
s3_core,S3,subject5,row,0,0.029312229894069786
s3_core,S3,subject5,row,1,0.020329511183415083
s3_core,S3,subject5,row,2,0.01653257203603964
s3_core,S3,subject5,row,3,0.020386996568440563
s3_core,S3,subject5,row,4,0.017482206089884378
s3_core,S3,subject5,subject,0,0.018898770532095766
s3_core,S3,subject5,subject,1,0.0206201067670978
s3_core,S3,subject5,subject,2,0.016915429649963065
s3_core,S3,subject5,subject,3,0.0037145227621793175
s3_core,S3,subject5,subject,4,0.0058499315617538405
s3_core,S3,subject5,dateblock,0,0.009503359554024482
s3_core,S3,subject5,dateblock,1,0.01624953569572185
s3_core,S3,subject5,dateblock,2,0.011196860068899972
s3_core,S3,subject5,dateblock,3,0.0192138491331304
s3_core,S3,subject5,dateblock,4,0.014799837034977337
s3_core,S3,dateblock5,row,0,0.024485111552484118
s3_core,S3,dateblock5,row,1,0.020301936253234176
s3_core,S3,dateblock5,row,2,0.024690937393486934
s3_core,S3,dateblock5,row,3,0.014904154977149142
s3_core,S3,dateblock5,row,4,0.020858881117841732
s3_core,S3,dateblock5,subject,0,0.023584225284570937
s3_core,S3,dateblock5,subject,1,0.02576229833956234
s3_core,S3,dateblock5,subject,2,0.01895595565802155
s3_core,S3,dateblock5,subject,3,0.015530615719885787
s3_core,S3,dateblock5,subject,4,0.024795383921060177
s3_core,S3,dateblock5,dateblock,0,0.017473750891293438
s3_core,S3,dateblock5,dateblock,1,0.023017165786033744
s3_core,S3,dateblock5,dateblock,2,0.011154181093934401
s3_core,S3,dateblock5,dateblock,3,0.018881628964016017
s3_core,S3,dateblock5,dateblock,4,0.015993766804872522
s3_core_plus,S3,subject5,row,0,0.03319577307673416
s3_core_plus,S3,subject5,row,1,0.020133518412683293
s3_core_plus,S3,subject5,row,2,0.01217615953486173
s3_core_plus,S3,subject5,row,3,0.012134453676880042
s3_core_plus,S3,subject5,row,4,0.01764415753176174
s3_core_plus,S3,subject5,subject,0,0.023643782101941735
s3_core_plus,S3,subject5,subject,1,0.044725842661588855
s3_core_plus,S3,subject5,subject,2,0.059072712407041594
s3_core_plus,S3,subject5,subject,3,0.020101766612519723
s3_core_plus,S3,subject5,subject,4,0.037373416341503485
s3_core_plus,S3,subject5,dateblock,0,0.009555891522828985
s3_core_plus,S3,subject5,dateblock,1,-0.003432289252690679
s3_core_plus,S3,subject5,dateblock,2,0.0029441840450604717
s3_core_plus,S3,subject5,dateblock,3,0.0023569215024821233
s3_core_plus,S3,subject5,dateblock,4,0.02448909519599063
s3_core_plus,S3,dateblock5,row,0,0.02227716007097802
s3_core_plus,S3,dateblock5,row,1,0.02953919375359404
s3_core_plus,S3,dateblock5,row,2,0.028868501864384943
s3_core_plus,S3,dateblock5,row,3,0.017357051942510915
s3_core_plus,S3,dateblock5,row,4,0.020946282207667033
s3_core_plus,S3,dateblock5,subject,0,0.030650855149317535
s3_core_plus,S3,dateblock5,subject,1,0.0270166897897135
s3_core_plus,S3,dateblock5,subject,2,0.020242732613450998
s3_core_plus,S3,dateblock5,subject,3,0.017771405542611585
s3_core_plus,S3,dateblock5,subject,4,0.023505974433278953
s3_core_plus,S3,dateblock5,dateblock,0,0.026384576885451705
s3_core_plus,S3,dateblock5,dateblock,1,0.021724503183240595
s3_core_plus,S3,dateblock5,dateblock,2,0.02323415550679353
s3_core_plus,S3,dateblock5,dateblock,3,0.029137938878427305
s3_core_plus,S3,dateblock5,dateblock,4,0.024693395050337963
q2_anchor_home,Q2,subject5,row,0,0.017772684485971357
q2_anchor_home,Q2,subject5,row,1,0.009615028325737018
q2_anchor_home,Q2,subject5,row,2,0.007715635019176603
q2_anchor_home,Q2,subject5,row,3,0.010558536331661594
