target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,masked_view_policy_score
Q1,masked_view_gain_mean,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,0.0
Q1,masked_view_gain_mean,top_all,0.02,9,-0.09171955026988166,-0.010191061141097961,0.4444444444444444,4,2,2,4,5,0.16382508608111085,0.30504632837637013,-0.2555446363509925,-0.837724019532201,-1.2093770193903937,-1.68935121058621
Q1,masked_view_gain_mean,top_all,0.04,18,-0.39300044569073866,-0.021833358093929927,0.5,7,4,3,8,10,-0.1531683139522572,0.6981478371389915,-0.23983213173848147,-0.34352628337475494,-1.7862943201366828,-2.4183262361040283
Q1,masked_view_gain_mean,top_all,0.06,27,-0.2704793921648828,-0.010017755265366031,0.5185185185185185,9,4,5,15,12,-0.6618703317468597,0.8978582446770375,0.3913909395819769,0.43591618376546903,-2.8584194634531626,-3.7315330755258502
Q1,masked_view_gain_mean,top_all,0.08,36,-0.7323503029991683,-0.020343063972199118,0.5277777777777778,10,5,5,22,14,-0.8735332284189011,1.0647390167390367,0.14118292541973287,0.13259862107066586,-3.234954194772973,-4.152607927282799
Q1,masked_view_gain_mean,top_all,0.1,45,-0.9222940822199657,-0.02049542404933257,0.5111111111111111,10,5,5,31,14,-0.9960514171045665,1.241053329319992,0.07375733488460079,0.05943123727407791,-3.461647002394059,-4.394605301736229
Q1,masked_view_gain_mean,top_all,0.14,63,-0.9631438774952398,-0.015287998055479996,0.5238095238095238,10,6,4,47,16,-0.325717325769388,1.3259373158988574,-0.6374265517258517,-0.4807365658109849,-2.8509834938470524,-3.739587284441171
Q1,masked_view_gain_mean,top_all,0.18,81,-1.7138376487598903,-0.021158489490862843,0.48148148148148145,10,6,4,65,16,-1.0703889764439982,1.9384639778800679,-0.6434486723158921,-0.3319373894270539,-3.603719904494639,-4.4864999950639834
Q1,masked_view_gain_mean,top_all,0.25,112,-2.1565847162675573,-0.019255220680960333,0.44642857142857145,10,5,5,77,35,-1.436739119412156,2.3092770915085157,-0.7198455968554014,-0.311719022157349,-5.033452577382683,-6.149894302245429
Q1,masked_view_gain_mean,top_decisive,0.02,7,-0.6862516779832498,-0.09803595399760712,0.42857142857142855,4,2,2,5,2,0.21585134516328308,0.619482021565959,-0.9021030231465329,-1.4562214749447446,-2.097609883579011,-2.737075151258751
Q1,masked_view_gain_mean,top_decisive,0.04,13,-0.4204664792220726,-0.03234357532477482,0.5384615384615384,6,4,2,8,5,-0.06274899874260036,0.7236091015267869,-0.3577174804794722,-0.4943518257643558,-1.106641241504785,-1.5726494523765044
Q1,masked_view_gain_mean,top_decisive,0.06,20,-0.15649577350343835,-0.007824788675171918,0.6,9,5,4,14,6,-0.2813142083782604,0.506317162562368,0.12481843487482203,0.24652222777347968,-1.8781570985199028,-2.604518413943224
Q1,masked_view_gain_mean,top_decisive,0.08,27,-0.7459951369014354,-0.02762944951486798,0.5555555555555556,10,4,6,20,7,-0.32422015304196383,1.2903221196334245,-0.42177498385947154,-0.3268757292785899,-4.431859509735665,-5.710960826164469
Q1,masked_view_gain_mean,top_decisive,0.1,34,-1.1657133891949354,-0.0342856879174981,0.5,10,4,6,27,7,0.16977159301790615,0.9139182643992914,-1.3354849822128416,-1.4612739828442334,-5.304260531253853,-6.81064755681969
Q1,masked_view_gain_mean,top_decisive,0.14,47,-1.1367792268415648,-0.024186792060458828,0.5106382978723404,10,6,4,38,9,-0.3888746467320135,1.2911426807429298,-0.7479045801095514,-0.5792578862618061,-3.077748214250769,-3.992415255188436
Q1,masked_view_gain_mean,top_decisive,0.18,61,-1.7304246126800056,-0.028367616601311568,0.47540983606557374,10,6,4,52,9,-1.168045618762018,1.3772491139390495,-0.5623789939179875,-0.40833498328384166,-3.6016973162567343,-4.466752168130106
Q1,masked_view_gain_mean,top_decisive,0.25,84,-2.0092977062702047,-0.023920210788931008,0.4523809523809524,10,5,5,62,22,-1.6067549162582722,1.7993014611969897,-0.4025427900119325,-0.22372170461315577,-4.764226519902364,-5.806523890935465
Q1,masked_view_consensus_utility,top_all,0.02,9,-0.1489354012421379,-0.016548377915793097,0.4444444444444444,4,2,2,2,7,0.08967099183734041,0.4100088880267583,-0.23860639307947829,-0.5819541967195262,-1.2350875029363524,-1.706050501723467
Q1,masked_view_consensus_utility,top_all,0.04,18,0.2422358985198677,0.013457549917770428,0.6111111111111112,6,4,2,8,10,0.06915973178655825,0.7768064340937663,0.17307616673330944,0.2228047543597172,-0.1610180787986133,-0.497865576473869
Q1,masked_view_consensus_utility,top_all,0.06,27,-0.04562683296049497,-0.0016898827022405543,0.4444444444444444,7,3,4,14,13,-0.1460181542601811,0.6576343835576871,0.10039132129968614,0.15265521969302553,-2.239668792980747,-2.9979701291324026
Q1,masked_view_consensus_utility,top_all,0.08,36,-0.14830517833254675,-0.004119588287015187,0.4444444444444444,7,4,3,17,19,-0.5657024108712774,1.0462376137995395,0.4173972325387306,0.3989507039637981,-1.2567655209920556,-1.7172295878733157
Q1,masked_view_consensus_utility,top_all,0.1,45,-0.3072812203795534,-0.006828471563990076,0.4444444444444444,8,4,4,19,26,-0.9108902501005905,1.0270125247023316,0.6036090297210371,0.5877328807611053,-2.0816892163455245,-2.695548926338908
Q1,masked_view_consensus_utility,top_all,0.14,63,-0.803727938236989,-0.012757586321222047,0.38095238095238093,8,2,6,28,35,-1.791859800218812,0.5795425194163002,0.988131861981823,1.7050204754209288,-4.254046405667925,-5.190770905998924
Q1,masked_view_consensus_utility,top_all,0.18,81,-0.46125233372467966,-0.005694473255860243,0.4691358024691358,8,4,4,32,49,-1.6666984521593615,1.4132180310559228,1.2054461184346819,0.8529795770678084,-1.9898507037015627,-2.462452085167143
Q1,masked_view_consensus_utility,top_all,0.25,112,-0.46102651395162975,-0.004116308160282409,0.49107142857142855,8,4,4,50,62,-1.617345650734805,1.8294098391249272,1.1563191367831753,0.6320722191678408,-2.0212325941607343,-2.51174489117439
Q1,masked_view_consensus_utility,top_decisive,0.02,7,0.08531753885153459,0.012188219835933514,0.5714285714285714,4,3,1,3,4,-0.10922928345143654,0.6803179812093069,0.19454682230297113,0.28596454551613093,0.23200538120918768,0.08532758410633651
Q1,masked_view_consensus_utility,top_decisive,0.04,13,-0.24175856856239297,-0.01859681296633792,0.38461538461538464,5,2,3,5,8,-0.5025461494545278,0.9483966857329273,0.26078758089213483,0.27497732205864517,-1.8383697984288967,-2.371350646844071
Q1,masked_view_consensus_utility,top_decisive,0.06,20,-0.5774833783776563,-0.028874168918882816,0.35,7,3,4,6,14,-0.21733821763695635,0.9644701150850147,-0.3601451607406999,-0.37341246256132504,-3.018375430893034,-3.883677067114621
Q1,masked_view_consensus_utility,top_decisive,0.08,27,-0.3447072347550356,-0.012766934620556876,0.4444444444444444,8,4,4,6,21,-0.767604178258347,1.451581256844299,0.4228969435033114,0.2913353568801782,-2.2120042132853035,-2.873355653586382
Q1,masked_view_consensus_utility,top_decisive,0.1,34,-0.809948880702576,-0.02382202590301694,0.38235294117647056,8,2,6,6,28,-1.0035757909865428,1.368896267739431,0.19362691028396684,0.14144746745764644,-4.694211185945658,-5.845083341348839
Q1,masked_view_consensus_utility,top_decisive,0.14,47,-0.7247493798042276,-0.015420199570302716,0.425531914893617,8,2,6,6,41,-0.8960136998329796,1.2432423121980134,0.17126432002875203,0.13775618666482006,-4.602095078914917,-5.7625023530643675
Q1,masked_view_consensus_utility,top_decisive,0.18,61,-0.7843477216153089,-0.012858159370742767,0.4426229508196721,9,3,6,6,55,-0.7900692095400376,1.2966056899975062,0.005721487924728708,0.004412666062524924,-4.526985901448516,-5.7098440009865445
Q1,masked_view_consensus_utility,top_decisive,0.25,84,-1.057039358357467,-0.012583801885207942,0.4523809523809524,10,3,7,12,72,-0.8321878337746724,1.9549617878315073,-0.22485152458279467,-0.1150158156452795,-5.63890564019264,-7.078159902397683
Q1,masked_view_consensus_pessimistic_utility,top_all,0.02,9,-0.028002643673033845,-0.003111404852559316,0.4444444444444444,5,2,3,3,6,-0.2304918335077332,0.5122855881298621,0.20248918983469935,0.3952662236193325,-1.6120492493134002,-2.1620158556234768
Q1,masked_view_consensus_pessimistic_utility,top_all,0.04,18,0.1968078885994432,0.010933771588857956,0.6111111111111112,6,4,2,8,10,-0.3371600010911399,0.6644268279356395,0.5339678896905831,0.8036519105491425,-0.02204927006504942,-0.2642747283363437
Q1,masked_view_consensus_pessimistic_utility,top_all,0.06,27,0.012415190427942147,0.000459821867701561,0.5185185185185185,7,3,4,14,13,-0.5175137865296418,1.0886855569362568,0.5299289769575839,0.4867603630646967,-1.9719521498489523,-2.6321851297392653
Q1,masked_view_consensus_pessimistic_utility,top_all,0.08,36,-0.07644082027430998,-0.0021233561187308327,0.5,8,4,4,15,21,-0.6135354690857261,1.11672020116316,0.5370946488114161,0.48095722478377834,-1.8653619707119364,-2.502211056989635
Q1,masked_view_consensus_pessimistic_utility,top_all,0.1,45,-0.32656313963809236,-0.007256958658624275,0.4666666666666667,8,3,5,20,25,-0.56300670676694,1.2422286279832766,0.23644356712884762,0.1903382049025123,-3.211440737319411,-4.139918619448393
Q1,masked_view_consensus_pessimistic_utility,top_all,0.14,63,-0.3373582751150238,-0.005354893255794029,0.5079365079365079,8,3,5,24,39,-0.7598844006248251,2.071856330878721,0.4225261255098013,0.2039360158388002,-3.1413027518249352,-4.030836673434557
Q1,masked_view_consensus_pessimistic_utility,top_all,0.18,81,-0.05036206372991048,-0.0006217538732087713,0.5555555555555556,8,3,5,33,48,-0.8376050266723201,1.4503938579739684,0.7872429629424096,0.5427787484167208,-2.6761047074139506,-3.4797388065244177
Q1,masked_view_consensus_pessimistic_utility,top_all,0.25,112,-0.31934046733016386,-0.0028512541725907487,0.5357142857142857,8,2,6,44,68,-2.707711056470549,1.9815278891095705,2.388370589140385,1.2053176754497437,-3.2753789935860547,-3.915518833146199
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.02,7,-0.06975809401516553,-0.009965442002166505,0.42857142857142855,4,1,3,0,7,0.02270555734986724,0.5881782298254592,-0.09246365136503276,-0.1572034575174113,-2.017840717744668,-2.6651085695661165
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.04,13,-0.258913324671304,-0.01991640959010031,0.38461538461538464,5,1,4,2,11,0.1928371944199797,0.9200880758924895,-0.4517505190912837,-0.4909861685285767,-3.131509238590726,-4.0636931198138315
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.06,20,-0.36447162281794654,-0.018223581140897328,0.4,7,1,6,2,18,-0.43882291261387285,1.3726782643048197,0.07435128979592631,0.05416512501826554,-4.493032158887546,-5.694848059734117
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.08,27,-0.7332982550694133,-0.02715919463220049,0.37037037037037035,9,2,7,3,24,-0.4597872546239475,0.9805623865177883,-0.2735110004454658,-0.2789327881694186,-5.577290754412639,-7.042813977315521
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.1,34,-1.0131199060945941,-0.029797644296899826,0.35294117647058826,9,1,8,3,31,-0.779884626066928,1.7436800700912882,-0.23323528002766614,-0.13376036351407938,-6.784598878690979,-8.456212318014684
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.14,47,-1.0073500324243003,-0.021432979413282986,0.40425531914893614,9,1,8,3,44,-0.22648141816310946,1.5213187805687276,-0.7808686142611909,-0.5132840166275159,-6.990493087376342,-8.800784080903858
Q1,masked_view_consensus_pessimistic_utility,top_decisive,0.18,61,-0.6781006469683198,-0.011116404048660981,0.45901639344262296,9,2,7,3,58,-1.5052008270847264,1.6075220477818,0.8271001801164065,0.5145187160933263,-5.0265079746133265,-6.231886198208948
