candidate_id,family,alpha,target_subset,cell_mode,k,agree_threshold,file,basename,changed_rows,changed_cells,h010_axis_coeff,h010_axis_cos,h010_axis_public_delta_linear,mean_abs_logit_delta,l1_logit_delta,max_abs_logit_delta,max_abs_prob_delta,mean_agreement_on_changed,max_agreement_on_changed,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4
mirror_all_a0.125,mirror,0.125,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a0.125_d40b1d96.csv,submission_h011_mirror_all_a0.125_d40b1d96.csv,250,499,-0.12500000000000072,-0.9999999999991526,-0.0002516085125000026,0.003750286692533494,6.563001711933614,0.05287438006135847,0.012805816085406596,0.094,1.0,0,0,0,249,0,0,250
mirror_all_a0.25,mirror,0.25,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a0.25_1ec78ee1.csv,submission_h011_mirror_all_a0.25_1ec78ee1.csv,250,500,-0.24999999999999944,-0.9999999999995762,-0.0005032170250000012,0.007500573385066928,13.126003423867123,0.10574876012270851,0.0255188941413807,0.094,1.0,0,0,0,250,0,0,250
mirror_all_a0.5,mirror,0.5,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a0.5_c4b10334.csv,submission_h011_mirror_all_a0.5_c4b10334.csv,250,500,-0.4999999999999999,-0.9999999999997884,-0.0010064340500000044,0.015001146770133882,26.252006847734293,0.2114975202454188,0.05060331569952098,0.094,1.0,0,0,0,250,0,0,250
mirror_all_a0.75,mirror,0.75,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a0.75_4978281d.csv,submission_h011_mirror_all_a0.75_4978281d.csv,250,500,-0.7500000000000011,-0.9999999999998589,-0.0015096510750000091,0.02250172015520087,39.37801027160152,0.31724628036813085,0.07513229181487707,0.094,1.0,0,0,0,250,0,0,250
mirror_all_a1,mirror,1.0,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a1_7df70546.csv,submission_h011_mirror_all_a1_7df70546.csv,250,500,-0.9999999999999997,-0.9999999999998941,-0.0020128681000000084,0.03000229354026775,52.504013695468565,0.42299504049083847,0.09899599878567311,0.094,1.0,0,0,0,250,0,0,250
mirror_all_a1.25,mirror,1.25,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a1.25_af23b4cc.csv,submission_h011_mirror_all_a1.25_af23b4cc.csv,250,500,-1.2500000000000009,-0.9999999999999152,-0.0025160851250000133,0.037502866925334735,65.63001711933579,0.5287438006135496,0.12209746411078831,0.094,1.0,0,0,0,250,0,0,250
mirror_S1_a0.125,mirror,0.125,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a0.125_ce890278.csv,submission_h011_mirror_S1_a0.125_ce890278.csv,244,249,-0.05654467462623696,-0.6725751980327194,-0.00011381697178003232,0.001659130019754083,2.903477534569645,0.05287438006135847,0.01022191097336611,0.172,1.0,0,0,0,249,0,0,0
mirror_S1_a0.25,mirror,0.25,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a0.25_0129632a.csv,submission_h011_mirror_S1_a0.25_0129632a.csv,246,250,-0.1130893492524722,-0.6725751980331428,-0.0002276339435600612,0.003318260039508124,5.806955069139217,0.10574876012270851,0.02059170791723708,0.172,1.0,0,0,0,250,0,0,0
mirror_S1_a0.5,mirror,0.5,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a0.5_df341751.csv,submission_h011_mirror_S1_a0.5_df341751.csv,248,250,-0.22617869850494532,-0.6725751980333546,-0.00045526788712012424,0.006636520079016264,11.613910138278461,0.2114975202454188,0.04174314644526511,0.172,1.0,0,0,0,250,0,0,0
mirror_S1_a0.75,mirror,0.75,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a0.75_d7edc3c8.csv,submission_h011_mirror_S1_a0.75_d7edc3c8.csv,249,250,-0.33926804775741953,-0.6725751980334252,-0.0006829018306801894,0.009954780118524442,17.420865207417773,0.31724628036813085,0.06338572550229515,0.172,1.0,0,0,0,250,0,0,0
mirror_S1_a1,mirror,1.0,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a1_1e164e2c.csv,submission_h011_mirror_S1_a1_1e164e2c.csv,249,250,-0.4523573970098905,-0.6725751980334604,-0.0009105357742402483,0.013273040158032523,23.227820276556916,0.42299504049083847,0.0854434537603066,0.172,1.0,0,0,0,250,0,0,0
mirror_S1_a1.25,mirror,1.25,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a1.25_70b9b8ad.csv,submission_h011_mirror_S1_a1.25_70b9b8ad.csv,250,250,-0.5654467462623649,-0.6725751980334818,-0.0011381697178003138,0.0165913001975407,29.03477534569622,0.5287438006135496,0.10783387902262442,0.172,1.0,0,0,0,250,0,0,0
mirror_S4_a0.125,mirror,0.125,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a0.125_e73403af.csv,submission_h011_mirror_S4_a0.125_e73403af.csv,248,250,-0.0684553253737638,-0.7400287852434221,-0.00013779154071997035,0.0020911566727794114,3.65952417736397,0.05206375142694766,0.012805816085406596,0.016,1.0,0,0,0,0,0,0,250
mirror_S4_a0.25,mirror,0.25,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a0.25_c5ed9cb5.csv,submission_h011_mirror_S4_a0.25_c5ed9cb5.csv,249,250,-0.13691065074752728,-0.7400287852438455,-0.0002755830814399401,0.004182313345558805,7.319048354727908,0.10412750285389524,0.0255188941413807,0.016,1.0,0,0,0,0,0,0,250
mirror_S4_a0.5,mirror,0.5,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a0.5_7c930c9d.csv,submission_h011_mirror_S4_a0.5_7c930c9d.csv,250,250,-0.2738213014950544,-0.7400287852440572,-0.0005511661628798799,0.008364626691117618,14.63809670945583,0.2082550057077899,0.05060331569952098,0.016,1.0,0,0,0,0,0,0,250
mirror_S4_a0.75,mirror,0.75,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a0.75_e02c9df6.csv,submission_h011_mirror_S4_a0.75_e02c9df6.csv,250,250,-0.4107319522425817,-0.740028785244128,-0.0008267492443198199,0.012546940036676425,21.957145064183745,0.31238250856168426,0.07513229181487707,0.016,1.0,0,0,0,0,0,0,250
mirror_S4_a1,mirror,1.0,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a1_4cef4f0d.csv,submission_h011_mirror_S4_a1_4cef4f0d.csv,250,250,-0.5476426029901089,-0.7400287852441634,-0.00110233232575976,0.01672925338223523,29.27619341891165,0.4165100114155793,0.09899599878567311,0.016,1.0,0,0,0,0,0,0,250
mirror_S4_a1.25,mirror,1.25,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a1.25_f93d1b7d.csv,submission_h011_mirror_S4_a1.25_f93d1b7d.csv,250,250,-0.684553253737636,-0.7400287852441845,-0.0013779154071996995,0.020911566727794036,36.595241773639565,0.5206375142694739,0.12209746411078831,0.016,1.0,0,0,0,0,0,0,250
rowtop_all_k20_a0.5,row_top,0.5,all,row_top_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k20_a0.5_178859bb.csv,submission_h011_rowtop_all_k20_a0.5_178859bb.csv,20,40,-0.14388816528865067,-0.5364478824425295,-0.00028962789787705356,0.0027151756319738454,4.75155735595423,0.2114975202454188,0.05060331569952098,0.1,1.0,0,0,0,20,0,0,20
rowbottom_all_k20_a0.5,row_bottom,0.5,all,row_bottom_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k20_a0.5_0766ff36.csv,submission_h011_rowbottom_all_k20_a0.5_0766ff36.csv,20,40,-0.0006708282576976871,-0.036628629722934826,-1.3502888004982602e-06,0.0001308083379635131,0.22891459143614795,0.020395458722740845,0.004910871248515525,0.1,1.0,0,0,0,20,0,0,20
rowtop_all_k20_a1,row_top,1.0,all,row_top_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k20_a1_258c5fcc.csv,submission_h011_rowtop_all_k20_a1_258c5fcc.csv,20,40,-0.2877763305773009,-0.5364478824426354,-0.0005792557957541063,0.005430351263947686,9.50311471190845,0.42299504049083847,0.09899599878567311,0.1,1.0,0,0,0,20,0,0,20
rowbottom_all_k20_a1,row_bottom,1.0,all,row_bottom_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k20_a1_7f8f341c.csv,submission_h011_rowbottom_all_k20_a1_7f8f341c.csv,20,40,-0.00134165651539537,-0.03662862972304071,-2.7005776009965115e-06,0.00026161667592702333,0.4578291828722908,0.040790917445482355,0.009802061149773778,0.1,1.0,0,0,0,20,0,0,20
rowtop_all_k20_a1.5,row_top,1.5,all,row_top_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k20_a1.5_8dcb1350.csv,submission_h011_rowtop_all_k20_a1.5_8dcb1350.csv,20,40,-0.43166449586595135,-0.5364478824426707,-0.0008688836936311593,0.008145526895921528,14.254672067862673,0.6344925607362604,0.1443537663260704,0.1,1.0,0,0,0,20,0,0,20
rowbottom_all_k20_a1.5,row_bottom,1.5,all,row_bottom_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k20_a1.5_30f45020.csv,submission_h011_rowbottom_all_k20_a1.5_30f45020.csv,20,40,-0.0020124847730930676,-0.03662862972307602,-4.050866401494793e-06,0.00039242501389053934,0.6867437743084438,0.0611863761682227,0.014672676747188307,0.1,1.0,0,0,0,20,0,0,20
rowtop_all_k35_a0.5,row_top,0.5,all,row_top_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k35_a0.5_bf19446c.csv,submission_h011_rowtop_all_k35_a0.5_bf19446c.csv,35,70,-0.219112006723627,-0.6619849042440269,-0.00044104356866097634,0.004337900012599682,7.591325022049444,0.2114975202454188,0.05060331569952098,0.12857142857142856,1.0,0,0,0,35,0,0,35
rowbottom_all_k35_a0.5,row_bottom,0.5,all,row_bottom_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k35_a0.5_eb3c5c41.csv,submission_h011_rowbottom_all_k35_a0.5_eb3c5c41.csv,35,70,-0.0030834067077274378,-0.07852906096103283,-6.206491001310612e-06,0.00040669729083069,0.7117202589537075,0.03915612310087768,0.008225159769621071,0.1,1.0,0,0,0,35,0,0,35
rowtop_all_k35_a1,row_top,1.0,all,row_top_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k35_a1_920ef4b5.csv,submission_h011_rowtop_all_k35_a1_920ef4b5.csv,35,70,-0.43822401344725354,-0.6619849042441328,-0.0008820871373219517,0.008675800025199359,15.182650044098878,0.42299504049083847,0.09899599878567311,0.12857142857142856,1.0,0,0,0,35,0,0,35
rowbottom_all_k35_a1,row_bottom,1.0,all,row_bottom_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k35_a1_b5853776.csv,submission_h011_rowbottom_all_k35_a1_b5853776.csv,35,70,-0.006166813415454839,-0.07852906096113874,-1.2412982002621149e-05,0.0008133945816613768,1.4234405179074094,0.07831224620175181,0.016506109628516286,0.1,1.0,0,0,0,35,0,0,35
rowtop_all_k35_a1.5,row_top,1.5,all,row_top_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k35_a1.5_48d796ff.csv,submission_h011_rowtop_all_k35_a1.5_48d796ff.csv,35,70,-0.6573360201708804,-0.661984904244168,-0.001323130705982928,0.013013700037799038,22.773975066148317,0.6344925607362604,0.1443537663260704,0.12857142857142856,1.0,0,0,0,35,0,0,35
rowbottom_all_k35_a1.5,row_bottom,1.5,all,row_bottom_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k35_a1.5_b7d8ac92.csv,submission_h011_rowbottom_all_k35_a1.5_b7d8ac92.csv,35,70,-0.00925022012318233,-0.07852906096117401,-1.861947300393187e-05,0.0012200918724920712,2.1351607768611247,0.11746836930263393,0.024838487335565096,0.1,1.0,0,0,0,35,0,0,35
rowtop_all_k50_a0.5,row_top,0.5,all,row_top_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k50_a0.5_17d445b6.csv,submission_h011_rowtop_all_k50_a0.5_17d445b6.csv,50,100,-0.27294616222611545,-0.738845264214313,-0.0005494046229623753,0.005760537728264386,10.080941024462675,0.2114975202454188,0.05060331569952098,0.09,1.0,0,0,0,50,0,0,50
rowbottom_all_k50_a0.5,row_bottom,0.5,all,row_bottom_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k50_a0.5_fff8e377.csv,submission_h011_rowbottom_all_k50_a0.5_fff8e377.csv,50,100,-0.007547054162931987,-0.12285808205328673,-1.5191224573538069e-05,0.0007899605492103216,1.3824309611180627,0.04432362671333401,0.0098757232781862,0.1,1.0,0,0,0,50,0,0,50
rowtop_all_k50_a1,row_top,1.0,all,row_top_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k50_a1_afd09a35.csv,submission_h011_rowtop_all_k50_a1_afd09a35.csv,50,100,-0.5458923244522306,-0.7388452642144189,-0.00109880924592475,0.011521075456528767,20.161882048925342,0.42299504049083847,0.09899599878567311,0.09,1.0,0,0,0,50,0,0,50
rowbottom_all_k50_a1,row_bottom,1.0,all,row_bottom_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k50_a1_741b214c.csv,submission_h011_rowbottom_all_k50_a1_741b214c.csv,50,100,-0.015094108325864075,-0.12285808205339259,-3.038244914707634e-05,0.00157992109842065,2.7648619222361375,0.08864725342666402,0.019683838976846335,0.1,1.0,0,0,0,50,0,0,50
rowtop_all_k50_a1.5,row_top,1.5,all,row_top_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k50_a1.5_201837bd.csv,submission_h011_rowtop_all_k50_a1.5_201837bd.csv,50,100,-0.8188384866783461,-0.738845264214454,-0.0016482138688871254,0.017281613184793154,30.242823073388017,0.6344925607362604,0.1443537663260704,0.09,1.0,0,0,0,50,0,0,50
rowbottom_all_k50_a1.5,row_bottom,1.5,all,row_bottom_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k50_a1.5_cf2b418a.csv,submission_h011_rowbottom_all_k50_a1.5_cf2b418a.csv,50,100,-0.022641162488796305,-0.12285808205342788,-4.55736737206149e-05,0.0023698816476309874,4.147292883354228,0.1329708801400069,0.029417068107530864,0.1,1.0,0,0,0,50,0,0,50
rowtop_all_k80_a0.5,row_top,0.5,all,row_top_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k80_a0.5_16569978.csv,submission_h011_rowtop_all_k80_a0.5_16569978.csv,80,160,-0.3496443395251396,-0.8362348229115582,-0.000703787937375726,0.008181886884541013,14.318302047946771,0.2114975202454188,0.05060331569952098,0.0875,1.0,0,0,0,80,0,0,80
rowbottom_all_k80_a0.5,row_bottom,0.5,all,row_bottom_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k80_a0.5_2245654e.csv,submission_h011_rowbottom_all_k80_a0.5_2245654e.csv,80,160,-0.024493048684912547,-0.22132803114321403,-4.930127636960764e-05,0.0018260968863896047,3.1956695511818083,0.06768850214157018,0.015946717070724925,0.09375,1.0,0,0,0,80,0,0,80
rowtop_all_k80_a1,row_top,1.0,all,row_top_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k80_a1_28e5258a.csv,submission_h011_rowtop_all_k80_a1_28e5258a.csv,80,160,-0.6992886790502789,-0.8362348229116641,-0.0014075758747514513,0.016363773769082022,28.63660409589354,0.42299504049083847,0.09899599878567311,0.0875,1.0,0,0,0,80,0,0,80
