candidate_id,family,alpha,target_subset,cell_mode,k,agree_threshold,file,basename,changed_rows,changed_cells,h010_axis_coeff,h010_axis_cos,h010_axis_public_delta_linear,mean_abs_logit_delta,l1_logit_delta,max_abs_logit_delta,max_abs_prob_delta,mean_agreement_on_changed,max_agreement_on_changed,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4,promotion_decision,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,strict_promote_gate,info_sensor_gate,below_resolution_gate,block_gate,bad_axis_abs_load,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,h011_big_bet_gate,h011_selector_survival_gate,h011_score,h011_decision,decision_rank
rowtop_all_k50_a1,row_top,1.0,all,row_top_abs,50,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k50_a1_afd09a35.csv,submission_h011_rowtop_all_k50_a1_afd09a35.csv,50,100,-0.5458923244522306,-0.7388452642144189,-0.00109880924592475,0.011521075456528767,20.161882048925342,0.42299504049083847,0.09899599878567311,0.09,1.0,0,0,0,50,0,0,50,below_selector_resolution,0.00020093682284405654,-8.509698876920909e-05,0.0005733264617804192,0.25625,-0.002012255549246944,False,False,True,True,0.19754800927317784,0.05366660608163904,0.05616344564251269,True,True,-0.0010711889688556904,public_inversion_jackpot,0
mirror_all_a0.5,mirror,0.5,all,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_all_a0.5_c4b10334.csv,submission_h011_mirror_all_a0.5_c4b10334.csv,250,500,-0.4999999999999999,-0.9999999999997884,-0.0010064340500000044,0.015001146770133882,26.252006847734293,0.2114975202454188,0.05060331569952098,0.094,1.0,0,0,0,250,0,0,250,below_selector_resolution,0.000134660361699593,-0.00010502431990429297,0.0006443524681447126,0.3854166666666667,0.0027221223533789862,False,False,True,True,0.20228238717580377,0.0535210972974183,0.05526253672556374,True,True,-0.0010032301114024675,public_inversion_jackpot,0
rowtop_all_k180_a0.5,row_top,0.5,all,row_top_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k180_a0.5_7d8e996f.csv,submission_h011_rowtop_all_k180_a0.5_7d8e996f.csv,180,360,-0.48260369464569597,-0.9824496879184074,-0.0009714175818944667,0.013550489637080452,23.71335686489079,0.2114975202454188,0.05060331569952098,0.09166666666666666,1.0,0,0,0,180,0,0,180,below_selector_resolution,0.0001252611383039128,-9.69947613467275e-05,0.0005950606253996559,0.39375,0.0007810082307503352,False,False,True,True,0.20034127305317512,0.05300624361670927,0.05487169920650198,True,True,-0.0009689575927425102,public_inversion_jackpot,0
rowtop_all_k35_a1,row_top,1.0,all,row_top_abs,35,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k35_a1_920ef4b5.csv,submission_h011_rowtop_all_k35_a1_920ef4b5.csv,35,70,-0.43822401344725354,-0.6619849042441328,-0.0008820871373219517,0.008675800025199359,15.182650044098878,0.42299504049083847,0.09899599878567311,0.12857142857142856,1.0,0,0,0,35,0,0,35,below_selector_resolution,0.0001581340273015635,-6.196178671483215e-05,0.0004784786054039696,0.2791666666666667,-0.008976817813753202,False,False,True,True,0.19058344700867158,0.051463081339074006,0.05401321300634303,True,True,-0.0008634406123665129,public_inversion_jackpot,0
rowtop_all_k120_a0.5,row_top,0.5,all,row_top_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k120_a0.5_11852cb0.csv,submission_h011_rowtop_all_k120_a0.5_11852cb0.csv,120,240,-0.41728958723936777,-0.9135530496245682,-0.0008399488986162943,0.010744258925194818,18.80245311909093,0.2114975202454188,0.05060331569952098,0.1,1.0,0,0,0,120,0,0,120,below_selector_resolution,0.00010180472171748255,-8.095906174631769e-05,0.0004549151184314364,0.3958333333333333,0.00015331680423336103,False,False,True,True,0.19971358162665814,0.051493897575239034,0.05351712065258625,True,True,-0.0008413730307636927,public_inversion_jackpot,0
rowtop_all_k20_a1.5,row_top,1.5,all,row_top_abs,20,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k20_a1.5_8dcb1350.csv,submission_h011_rowtop_all_k20_a1.5_8dcb1350.csv,20,40,-0.43166449586595135,-0.5364478824426707,-0.0008688836936311593,0.008145526895921528,14.254672067862673,0.6344925607362604,0.1443537663260704,0.1,1.0,0,0,0,20,0,0,20,below_selector_resolution,0.00022169668825679524,-0.00012233940366105766,0.0005953640209597764,0.28125,-0.009389071609215316,False,False,True,True,0.19017119321320947,0.05179330795238892,0.05450578921006185,True,True,-0.0008316558944280281,public_inversion_jackpot,0
mirror_S4_a0.75,mirror,0.75,S4,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S4_a0.75_e02c9df6.csv,submission_h011_mirror_S4_a0.75_e02c9df6.csv,250,250,-0.4107319522425817,-0.740028785244128,-0.0008267492443198199,0.012546940036676425,21.957145064183745,0.31238250856168426,0.07513229181487707,0.016,1.0,0,0,0,0,0,0,250,below_selector_resolution,0.00017700760288000058,-0.00014918230727781087,0.000725562386035316,0.39166666666666666,0.0023672411340859567,False,False,True,True,0.20192750595651074,0.05294226840957632,0.05478090482078145,True,True,-0.0008095718691780868,public_inversion_jackpot,0
rowtop_all_k80_a0.5,row_top,0.5,all,row_top_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k80_a0.5_16569978.csv,submission_h011_rowtop_all_k80_a0.5_16569978.csv,80,160,-0.3496443395251396,-0.8362348229115582,-0.000703787937375726,0.008181886884541013,14.318302047946771,0.2114975202454188,0.05060331569952098,0.0875,1.0,0,0,0,80,0,0,80,below_selector_resolution,8.106773938224663e-05,-7.044041264826884e-05,0.0003393432781225443,0.4041666666666667,0.0004075538245427168,False,False,True,True,0.1999678186469675,0.0499463258825507,0.05226965579473693,True,True,-0.0007084197056715772,public_inversion_jackpot,0
mirror_S1_a0.75,mirror,0.75,S1,all,0,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_mirror_S1_a0.75_d7edc3c8.csv,submission_h011_mirror_S1_a0.75_d7edc3c8.csv,249,250,-0.33926804775741953,-0.6725751980334252,-0.0006829018306801894,0.009954780118524442,17.420865207417773,0.31724628036813085,0.06338572550229515,0.172,1.0,0,0,0,250,0,0,0,below_selector_resolution,8.962840826947475e-05,-3.6660882948803106e-05,0.0002811114909958917,0.29583333333333334,0.0017159423959825226,False,False,True,True,0.2012762072184073,0.051489521567304256,0.05448393322925153,True,True,-0.0006875692541910878,public_inversion_jackpot,0
rowbottom_all_k180_a1,row_bottom,1.0,all,row_bottom_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k180_a1_b937a65a.csv,submission_h011_rowbottom_all_k180_a1_b937a65a.csv,180,360,-0.34273981118032926,-0.5854398442028056,-0.0006898900325249113,0.0151152307586495,26.451653827636623,0.23826438560321048,0.059408761657250064,0.09722222222222222,1.0,0,0,0,180,0,0,180,below_selector_resolution,0.00018136062372768862,-8.58608207225636e-05,0.000803346356109513,0.32083333333333336,0.008393864423828001,False,False,True,True,0.20795412924625278,0.05488341207576708,0.05727325576180093,True,True,-0.000673405172017011,public_inversion_jackpot,0
