loo_mae,loo_p90_abs,loo_spearman,loo_pearson,known_fit_mae,uniform_prior_mae,weight_eff_n,weight_max_over_uniform,weight_top50_mass,weight_top200_mass,q_mean,q_std,q_prior_abs_move,w_prior_l1_move,q_mean_Q1,w_mass_Q1,q_mean_Q2,w_mass_Q2,q_mean_Q3,w_mass_Q3,q_mean_S1,w_mass_S1,q_mean_S2,w_mass_S2,q_mean_S3,w_mass_S3,q_mean_S4,w_mass_S4,q_prior_name,w_prior_name,ridge_mult,cap_mult,config_score
1.044037742375936e-06,2.0709223100767757e-06,1.0,0.9999992157173929,1.0236239380650992e-06,0.000885430032816123,1747.3141358915254,1.7307635803674242,0.03626764952663374,0.12780267139573626,0.5983613761656985,0.22480099802215364,6.768022267935606e-07,2.93044797913377e-07,0.4935280952866155,0.14249288766523552,0.5492363298284095,0.14114361639110495,0.6063643360872771,0.14132651493292303,0.6585661974189854,0.145328449162273,0.6399818171415611,0.14503343247984987,0.6737879215559751,0.14085981023179622,0.5670649358410653,0.14381528913681743,h012_public_posterior,h016_mean_weight,0.1,8.0,-7.843823168010488e-05
1.044037742375936e-06,2.0709223100767757e-06,1.0,0.9999992157173929,1.0236239380650992e-06,0.000885430032816123,1747.3141358915254,1.7307635803674242,0.03626764952663374,0.12780267139573626,0.5983613761656985,0.22480099802215364,6.768022267935606e-07,2.93044797913377e-07,0.4935280952866155,0.14249288766523552,0.5492363298284095,0.14114361639110495,0.6063643360872771,0.14132651493292303,0.6585661974189854,0.145328449162273,0.6399818171415611,0.14503343247984987,0.6737879215559751,0.14085981023179622,0.5670649358410653,0.14381528913681743,h012_public_posterior,h016_mean_weight,0.1,12.0,-7.843823168010488e-05
1.044037742375936e-06,2.0709223100767757e-06,1.0,0.9999992157173929,1.0236239380650992e-06,0.000885430032816123,1747.3141358915254,1.7307635803674242,0.03626764952663374,0.12780267139573626,0.5983613761656985,0.22480099802215364,6.768022267935606e-07,2.93044797913377e-07,0.4935280952866155,0.14249288766523552,0.5492363298284095,0.14114361639110495,0.6063643360872771,0.14132651493292303,0.6585661974189854,0.145328449162273,0.6399818171415611,0.14503343247984987,0.6737879215559751,0.14085981023179622,0.5670649358410653,0.14381528913681743,h012_public_posterior,h016_mean_weight,0.1,25.0,-7.843823168010488e-05
1.044037742375936e-06,2.0709223100767757e-06,1.0,0.9999992157173929,1.0236239380650992e-06,0.000885430032816123,1747.3141358915254,1.7307635803674242,0.03626764952663374,0.12780267139573626,0.5983613761656985,0.22480099802215364,6.768022267935606e-07,2.93044797913377e-07,0.4935280952866155,0.14249288766523552,0.5492363298284095,0.14114361639110495,0.6063643360872771,0.14132651493292303,0.6585661974189854,0.145328449162273,0.6399818171415611,0.14503343247984987,0.6737879215559751,0.14085981023179622,0.5670649358410653,0.14381528913681743,h012_public_posterior,h016_mean_weight,0.1,50.0,-7.843823168010488e-05
1.044037742375936e-06,2.0709223100767757e-06,1.0,0.9999992157173929,1.0236239380650992e-06,0.000885430032816123,1747.3141358915254,1.7307635803674242,0.03626764952663374,0.12780267139573626,0.5983613761656985,0.22480099802215364,6.768022267935606e-07,2.93044797913377e-07,0.4935280952866155,0.14249288766523552,0.5492363298284095,0.14114361639110495,0.6063643360872771,0.14132651493292303,0.6585661974189854,0.145328449162273,0.6399818171415611,0.14503343247984987,0.6737879215559751,0.14085981023179622,0.5670649358410653,0.14381528913681743,h012_public_posterior,h016_mean_weight,0.1,0.0,-7.843823168010488e-05
1.038859863961017e-06,2.1315412047362455e-06,1.0,0.999999211074328,1.0210415264139127e-06,0.000885430032816123,1747.314134440747,1.7307635057905388,0.036267651738391214,0.1278026744379655,0.5983614181464734,0.22480098210844535,2.44667798121434e-07,1.0832550758450247e-07,0.4935279693698136,0.1424928960271876,0.5492363494597164,0.14114361599471878,0.6063644633812414,0.14132650965618407,0.6585661195792968,0.1453284585003728,0.639981860241935,0.14503343414437347,0.6737882598370127,0.1408597931189181,0.5670649051562974,0.14381529255824513,h012_public_posterior,h016_mean_weight,0.3,8.0,-7.842825483485493e-05
1.038859863961017e-06,2.1315412047362455e-06,1.0,0.999999211074328,1.0210415264139127e-06,0.000885430032816123,1747.314134440747,1.7307635057905388,0.036267651738391214,0.1278026744379655,0.5983614181464734,0.22480098210844535,2.44667798121434e-07,1.0832550758450247e-07,0.4935279693698136,0.1424928960271876,0.5492363494597164,0.14114361599471878,0.6063644633812414,0.14132650965618407,0.6585661195792968,0.1453284585003728,0.639981860241935,0.14503343414437347,0.6737882598370127,0.1408597931189181,0.5670649051562974,0.14381529255824513,h012_public_posterior,h016_mean_weight,0.3,12.0,-7.842825483485493e-05
1.038859863961017e-06,2.1315412047362455e-06,1.0,0.999999211074328,1.0210415264139127e-06,0.000885430032816123,1747.314134440747,1.7307635057905388,0.036267651738391214,0.1278026744379655,0.5983614181464734,0.22480098210844535,2.44667798121434e-07,1.0832550758450247e-07,0.4935279693698136,0.1424928960271876,0.5492363494597164,0.14114361599471878,0.6063644633812414,0.14132650965618407,0.6585661195792968,0.1453284585003728,0.639981860241935,0.14503343414437347,0.6737882598370127,0.1408597931189181,0.5670649051562974,0.14381529255824513,h012_public_posterior,h016_mean_weight,0.3,25.0,-7.842825483485493e-05
1.038859863961017e-06,2.1315412047362455e-06,1.0,0.999999211074328,1.0210415264139127e-06,0.000885430032816123,1747.314134440747,1.7307635057905388,0.036267651738391214,0.1278026744379655,0.5983614181464734,0.22480098210844535,2.44667798121434e-07,1.0832550758450247e-07,0.4935279693698136,0.1424928960271876,0.5492363494597164,0.14114361599471878,0.6063644633812414,0.14132650965618407,0.6585661195792968,0.1453284585003728,0.639981860241935,0.14503343414437347,0.6737882598370127,0.1408597931189181,0.5670649051562974,0.14381529255824513,h012_public_posterior,h016_mean_weight,0.3,50.0,-7.842825483485493e-05
1.038859863961017e-06,2.1315412047362455e-06,1.0,0.999999211074328,1.0210415264139127e-06,0.000885430032816123,1747.314134440747,1.7307635057905388,0.036267651738391214,0.1278026744379655,0.5983614181464734,0.22480098210844535,2.44667798121434e-07,1.0832550758450247e-07,0.4935279693698136,0.1424928960271876,0.5492363494597164,0.14114361599471878,0.6063644633812414,0.14132650965618407,0.6585661195792968,0.1453284585003728,0.639981860241935,0.14503343414437347,0.6737882598370127,0.1408597931189181,0.5670649051562974,0.14381529255824513,h012_public_posterior,h016_mean_weight,0.3,0.0,-7.842825483485493e-05
