heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,6,-0.5190686622705201,-0.08651144371175334,0.5,"Q1,Q2,Q3,S1,S4"
id02,11,0.10843935139784672,0.0098581228543497,0.45454545454545453,"Q1,Q2,Q3,S1,S2,S4"
id03,13,0.1492063671531103,0.011477412857931562,0.46153846153846156,"Q1,Q2,Q3,S1,S2,S4"
id04,12,0.18476319044668293,0.015396932537223578,0.5833333333333334,"Q1,Q2,Q3,S1,S2,S4"
id05,10,-1.06645665476713,-0.10664566547671299,0.3,"Q1,Q2,Q3,S1,S2,S4"
id06,9,0.3543227088289569,0.0393691898698841,0.5555555555555556,"Q1,Q2,Q3,S1,S2,S4"
id07,8,-0.3444527990534685,-0.04305659988168356,0.625,"Q1,Q2,Q3,S1,S2,S4"
id08,20,-2.003806898008113,-0.10019034490040565,0.3,"Q1,Q2,Q3,S1,S2,S4"
id09,11,-0.9395702552055831,-0.0854154777459621,0.2727272727272727,"Q1,Q2,Q3,S1,S2,S4"
id10,6,0.5609886571312561,0.09349810952187602,1.0,"Q1,Q2,Q3,S1,S2,S4"
