heldout_subject,target,accepted,score_col,policy,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,raw_action_count,inverse_action_count
id01,Q1,True,directional_gain_mean,top_decisive,0.06,2,-0.191664428033556,0.0,0,2
id01,Q2,True,directional_health_only_score,top_decisive,0.01,1,0.07144243893059077,1.0,1,0
id01,Q3,True,directional_action_health_score,top_all,0.02,1,0.0706444721695138,1.0,1,0
id01,S1,True,directional_pessimistic_score,top_all,0.02,1,-0.47929809984286886,0.0,0,1
id01,S2,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id01,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id01,S4,True,directional_gain_mean,top_all,0.01,1,0.00980695450580027,1.0,0,1
id02,Q1,True,directional_gain_mean,top_decisive,0.06,2,0.3010689453144386,1.0,0,2
id02,Q2,True,directional_health_only_score,top_decisive,0.01,1,0.13309479404591285,1.0,0,1
id02,Q3,True,directional_action_health_score,top_all,0.01,1,-0.08024948834304357,0.0,0,1
id02,S1,True,directional_health_only_score,top_all,0.02,1,0.07760355554109316,1.0,1,0
id02,S2,True,directional_action_health_score,top_decisive,0.14,5,-0.4110180320812712,0.0,0,5
id02,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id02,S4,True,directional_gain_mean,top_all,0.01,1,0.08793957692071686,1.0,1,0
id03,Q1,True,directional_gain_mean,top_all,0.14,5,-0.43791282852204005,0.0,2,3
id03,Q2,True,directional_action_health_score,top_all,0.04,1,0.021285021626892164,1.0,1,0
id03,Q3,True,directional_action_health_score,top_all,0.02,1,-0.07318333166109048,0.0,0,1
id03,S1,True,directional_health_only_score,top_all,0.01,1,0.09865541309681802,1.0,0,1
id03,S2,True,directional_action_health_score,top_decisive,0.14,4,0.41959951112081084,0.75,2,2
id03,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id03,S4,True,directional_gain_mean,top_all,0.01,1,0.12076258149171981,1.0,1,0
id04,Q1,True,directional_gain_mean,top_decisive,0.1,4,-0.42603825499013714,0.25,0,4
id04,Q2,True,directional_health_only_score,top_decisive,0.01,1,0.10298460960935246,1.0,0,1
id04,Q3,True,directional_action_health_score,top_all,0.04,2,0.09385603272591048,0.5,1,1
id04,S1,True,directional_health_only_score,top_all,0.01,1,0.23555342568569748,1.0,1,0
id04,S2,True,directional_health_only_score,top_decisive,0.06,3,0.022753865336636758,0.6666666666666666,1,2
id04,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id04,S4,True,directional_gain_mean,top_decisive,0.01,1,0.15565351207922284,1.0,1,0
id05,Q1,True,directional_gain_mean,top_decisive,0.1,4,0.033343969325727585,0.5,3,1
id05,Q2,True,directional_health_only_score,top_all,0.02,1,-0.1237993309767692,0.0,0,1
id05,Q3,True,directional_action_health_score,top_all,0.02,1,0.03737977645792956,1.0,0,1
id05,S1,True,directional_health_only_score,top_all,0.02,1,-0.23567512413772795,0.0,1,0
id05,S2,True,directional_health_only_score,top_all,0.04,2,-0.7207662357600715,0.0,2,0
id05,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id05,S4,True,directional_pessimistic_score,top_all,0.01,1,-0.05693970967621864,0.0,0,1
id06,Q1,True,directional_gain_mean,top_decisive,0.06,2,0.2924751662533094,1.0,2,0
id06,Q2,True,directional_health_only_score,top_decisive,0.06,2,0.1599279874861197,0.5,1,1
id06,Q3,True,directional_action_health_score,top_all,0.02,1,0.03858955692363408,1.0,1,0
id06,S1,True,directional_health_only_score,top_all,0.02,1,0.05155455759394273,1.0,0,1
id06,S2,True,directional_pessimistic_score,top_all,0.04,2,-0.09141420654952176,0.0,0,2
id06,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id06,S4,True,directional_gain_mean,top_decisive,0.02,1,-0.09681035287852724,0.0,0,1
id07,Q1,True,directional_action_health_score,top_decisive,0.01,1,0.08401210720964292,1.0,0,1
id07,Q2,True,directional_health_only_score,top_decisive,0.01,1,-0.08810478778492903,0.0,1,0
id07,Q3,True,directional_action_health_score,top_all,0.01,1,-0.22569898805459587,0.0,0,1
id07,S1,True,directional_health_only_score,top_all,0.01,1,0.045762571937619956,1.0,1,0
id07,S2,True,directional_health_only_score,top_decisive,0.06,3,-0.16183611903218859,0.6666666666666666,1,2
id07,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id07,S4,True,directional_gain_mean,top_all,0.01,1,0.0014124166709821306,1.0,0,1
id08,Q1,True,directional_action_health_score,top_decisive,0.01,1,0.19839849691724798,1.0,1,0
id08,Q2,True,directional_action_health_score,top_all,0.25,14,-1.4213120987599908,0.14285714285714285,2,12
id08,Q3,True,directional_action_health_score,top_all,0.02,1,0.0792244039228599,1.0,1,0
id08,S1,True,directional_health_only_score,top_all,0.01,1,-0.7717093384182381,0.0,1,0
id08,S2,True,directional_health_only_score,top_decisive,0.06,2,0.32641743514958976,1.0,0,2
id08,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id08,S4,True,directional_gain_mean,top_all,0.01,1,-0.41482579681958176,0.0,1,0
id09,Q1,True,directional_gain_mean,top_decisive,0.08,2,-0.11123985901803402,0.5,2,0
id09,Q2,True,directional_action_health_score,top_all,0.04,2,-0.18702263764976423,0.0,2,0
id09,Q3,True,directional_action_health_score,top_all,0.02,1,-0.15152413801435427,0.0,1,0
id09,S1,True,directional_pessimistic_score,top_decisive,0.01,1,-0.14407291554250046,0.0,0,1
id09,S2,True,directional_action_health_score,top_decisive,0.14,4,-0.11081213651067717,0.5,1,3
id09,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id09,S4,True,directional_gain_mean,top_all,0.01,1,-0.23489856847025303,0.0,0,1
id10,Q1,True,directional_gain_mean,top_decisive,0.06,1,0.1202685086906613,1.0,0,1
id10,Q2,True,directional_health_only_score,top_decisive,0.01,1,0.10167281152237961,1.0,1,0
id10,Q3,True,directional_action_health_score,top_all,0.02,1,0.026782897824876528,1.0,1,0
id10,S1,True,directional_health_only_score,top_all,0.01,1,0.05645886825607513,1.0,0,1
id10,S2,True,directional_health_only_score,top_decisive,0.06,1,0.05365596449252463,1.0,0,1
id10,S3,False,directional_action_health_score,hold,0.0,0,0.0,,0,0
id10,S4,True,directional_gain_mean,top_all,0.01,1,0.20214960634473889,1.0,1,0
