target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,directional_policy_score
Q1,directional_action_health_score,hold,0.0,0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,,0.0,0.0
Q1,directional_action_health_score,top_all,0.01,4,0.06089795419612409,0.015224488549031023,0.25,4,1,3,1,3,-0.15724064113559355,0.4131896815439493,0.21813859533171764,0.5279381482049792,-1.7724597226172767,-2.3232732405868335
Q1,directional_action_health_score,top_all,0.02,9,-0.13015581733910342,-0.014461757482122603,0.3333333333333333,6,1,5,3,6,-0.14999940235142722,0.6794533972997344,0.019843585012323806,0.029205218623066208,-3.553623374055817,-4.562403886014224
Q1,directional_action_health_score,top_all,0.04,18,-1.0705183248332713,-0.05947324026851507,0.2777777777777778,7,1,6,6,12,-0.16067880026533635,1.0334186858221883,-0.9098395245679349,-0.8804171407487821,-5.6797816502847045,-7.087135675791044
Q1,directional_action_health_score,top_all,0.06,27,-0.5132433497133067,-0.01900901295234469,0.37037037037037035,8,3,5,12,15,-0.2967505410737478,0.3375164443344664,-0.21649280863955883,-0.6414289207936262,-3.6735290951868853,-4.706693272367707
Q1,directional_action_health_score,top_all,0.08,36,-0.9789104384872165,-0.0271919566246449,0.3333333333333333,8,3,5,18,18,-0.7093175240346887,0.7159035489713327,-0.26959291445252775,-0.376577144840112,-4.144259006362946,-5.179042465483587
Q1,directional_action_health_score,top_all,0.1,45,-1.1171038678957492,-0.024824530397683318,0.35555555555555557,9,3,6,23,22,-1.6642015709010285,1.426077546570852,0.5470977030052793,0.3836381158379719,-4.66281141581566,-5.7212746684533995
Q1,directional_action_health_score,top_all,0.14,63,-1.1719425882178567,-0.018602263305045344,0.3968253968253968,10,6,4,31,32,-0.8491311590668946,1.8460470312863222,-0.32281142915096206,-0.17486630821427537,-2.9635243303532315,-3.7512664820302493
Q1,directional_action_health_score,top_all,0.18,81,-1.2277108464508113,-0.01515692403025693,0.4567901234567901,10,5,5,33,48,-0.7875674814928658,1.5769951371229427,-0.4401433649579455,-0.27910255053857647,-3.9997947360300734,-5.0390844723781125
Q1,directional_action_health_score,top_all,0.25,112,-0.6140318701369178,-0.005482427411936767,0.49107142857142855,10,5,5,39,73,-2.1925417531888516,1.8610999225995224,1.5785098830519337,0.8481596629412158,-2.5548624447746198,-3.171304417762551
