feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc
cond_plus_world,0.01,131,0.00034950123158435114,0.000804616813251012,0.9909655561829477,0.9696969696969697
cond_plus_world,0.1,131,0.00035522971788513137,0.0006211107509581157,0.9808018068887635,0.9567099567099567
cond_plus_world,1.0,131,0.0005979461619898626,0.000897132234865682,0.9649915302089217,0.935064935064935
cond_cos_compact,1.0,265,0.0008129612647506342,0.00182569415678477,0.9604743083003954,0.9177489177489178
cond_plus_world,10.0,131,0.000857759087647555,0.0014557844222764134,0.9367588932806326,0.9047619047619048
cond_plus_world,100.0,131,0.0009093382084467013,0.0012792605809133447,0.8328627893845286,0.8354978354978355
cond_plus_coords,100.0,129,0.0009779714758216909,0.0013770087944185226,0.7029926595143988,0.7662337662337663
cond_cos_compact,0.01,265,0.000980412363753453,0.0030578849340933897,0.7108977978543197,0.8571428571428571
cond_cos_compact,1000.0,265,0.00103834264500941,0.0015327109660528324,0.7933370976849238,0.8138528138528138
cond_only,100.0,93,0.001077068181315273,0.001785334073904743,0.6758893280632412,0.7402597402597403
cond_cos_compact,100.0,265,0.0010792256751353002,0.001901179750098588,0.8283455674760022,0.8354978354978355
cond_plus_coords,10.0,129,0.0010992518661593323,0.0019715549960395624,0.699604743083004,0.7705627705627706
cond_plus_world,1000.0,131,0.0011334723319591522,0.0017010031540115082,0.7097684923771881,0.7748917748917749
cond_cos_compact,10.0,265,0.001145197119809328,0.002349325671939081,0.9378881987577641,0.9004329004329005
cond_plus_coords,1000.0,129,0.001164536692545139,0.0017438689387034966,0.6928289102202146,0.7575757575757576
cond_only,10.0,93,0.0012352458487388295,0.0024733119418539977,0.5200451722190853,0.6753246753246753
cond_cos_compact,0.1,265,0.0013332595412714851,0.0041624662881040875,0.717673630717109,0.8614718614718615
cond_only,1000.0,93,0.001337180342141288,0.0022884574118628466,0.6950875211744778,0.7532467532467533
cond_plus_coords,1.0,129,0.0015009519655918577,0.0026089416496547883,0.4138904573687183,0.6493506493506493
cond_only,1.0,93,0.0015827906090738815,0.003427798372691543,0.4805194805194805,0.6796536796536796
cond_only,0.1,93,0.0017397505757763927,0.0036203064084720437,0.3088650479954828,0.5930735930735931
cond_plus_coords,0.1,129,0.001973938503791818,0.003267776393002076,0.34613212874082444,0.6103896103896104
cond_only,0.01,93,0.002522056834750392,0.005072735212066784,0.4285714285714286,0.645021645021645
cond_plus_coords,0.01,129,0.00402166933471803,0.008403585374947018,0.24223602484472054,0.5844155844155844
