file,source,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,changed_cells_h012_1e6,changed_rows_h012_1e6,route_world_delta,route_world_dispersion,h012posterior_delta,h036world_delta,memory_delta,public_weight_abs_move,private_weight_abs_move,transition_weight_abs_move,row_public_weight_abs_move,support_abs_move,memory_disagree_abs_move,public_private_balance,cos_world,proj_world,cos_h012_ray,proj_h012_ray,mean_abs_logit_move_Q1,mean_signed_logit_move_Q1,changed_cells_Q1,mean_abs_logit_move_Q2,mean_signed_logit_move_Q2,changed_cells_Q2,mean_abs_logit_move_Q3,mean_signed_logit_move_Q3,changed_cells_Q3,mean_abs_logit_move_S1,mean_signed_logit_move_S1,changed_cells_S1,mean_abs_logit_move_S2,mean_signed_logit_move_S2,changed_cells_S2,mean_abs_logit_move_S3,mean_signed_logit_move_S3,changed_cells_S3,mean_abs_logit_move_S4,mean_signed_logit_move_S4,changed_cells_S4,coord_public_cell_k120,cos_public_cell_k120,coord_public_cell_k240,cos_public_cell_k240,coord_public_cell_k420,cos_public_cell_k420,coord_public_cell_k700,cos_public_cell_k700,coord_phase_support_k120,cos_phase_support_k120,coord_phase_support_k260,cos_phase_support_k260,coord_phase_support_k520,cos_phase_support_k520,coord_exception_world_k90,cos_exception_world_k90,coord_exception_world_k180,cos_exception_world_k180,coord_exception_world_k340,cos_exception_world_k340,coord_private_memory_k120,cos_private_memory_k120,coord_private_rollback_k120,cos_private_rollback_k120,coord_private_memory_k260,cos_private_memory_k260,coord_private_rollback_k260,cos_private_rollback_k260,coord_private_memory_k520,cos_private_memory_k520,coord_private_rollback_k520,cos_private_rollback_k520,coord_route_row_all_r12,cos_route_row_all_r12,coord_route_row_top3_r12,cos_route_row_top3_r12,coord_route_row_all_r24,cos_route_row_all_r24,coord_route_row_top3_r24,cos_route_row_top3_r24,coord_route_row_all_r40,cos_route_row_all_r40,coord_route_row_top3_r40,cos_route_row_top3_r40,coord_route_row_all_r70,cos_route_row_all_r70,coord_route_row_top3_r70,cos_route_row_top3_r70,coord_target_Q2_phase_k45,cos_target_Q2_phase_k45,coord_target_Q2_phase_k90,cos_target_Q2_phase_k90,coord_target_Q2_phase_k150,cos_target_Q2_phase_k150,coord_target_S1_phase_k45,cos_target_S1_phase_k45,coord_target_S1_phase_k90,cos_target_S1_phase_k90,coord_target_S1_phase_k150,cos_target_S1_phase_k150,coord_target_S3_phase_k45,cos_target_S3_phase_k45,coord_target_S3_phase_k90,cos_target_S3_phase_k90,coord_target_S3_phase_k150,cos_target_S3_phase_k150,coord_target_S4_phase_k45,cos_target_S4_phase_k45,coord_target_S4_phase_k90,cos_target_S4_phase_k90,coord_target_S4_phase_k150,cos_target_S4_phase_k150
submission_h048_h042core_world_tail6_a0.58_0.06_c51_dd5c9987.csv,h042_candidate,0.0005494325521513824,0.04305671614590323,0.0024784816324690934,0.25965423087007267,51,51,-0.00015839674138164517,0.0006752999195898449,2.84393465609965e-07,-1.533200292930016e-05,0.00011624619996875228,0.001615245165043674,0.001207540699934165,0.0015411842514180736,0.0022233597163910275,0.003614452380684094,0.0038941278409103525,0.0004077044651095089,0.06603761415425441,0.0014959306177764627,0.010863815680245931,0.0001507228105310191,3.26405569239796e-17,-3.26405569239796e-17,0,0.01734937142728351,-0.000246868312894462,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006895306272928851,0.0008274016891872556,0.027050484798507444,0.001297518190868983,0.042850536803083324,0.0016788581224151677,0.05593769157480587,0.00040637786104205946,0.014383180950840829,0.0009216837271589913,0.03290751844165553,0.001152283314565076,0.04139980537020366,0.00016291571914609228,0.005344735338063817,0.00025364447220463257,0.008372559731721201,0.0003963274506759629,0.01315052846939706,3.536166156733411e-19,3.432913882481887e-17,1.3318574912476337e-18,9.490403969428161e-17,-1.7408941472427833e-05,-0.0017689105953978984,-1.9242337748234385e-06,-0.00013765205635984115,-5.580644140857959e-05,-0.0059010642248335365,-2.382605742898933e-05,-0.0017103735968271366,0.0009727949968189457,0.02088500535647376,0.0007110302081599174,0.015208182396662832,0.0008410117764326444,0.021598628477886156,0.0006450305311146555,0.016511072183441163,0.0007733234089164168,0.023103968403504108,0.0005465062198709209,0.016275333416103953,0.0008610767668590704,0.028514975348376704,0.0006600149457796964,0.021778440399172812,0.5799999999996104,0.9999142780521724,0.4928908172510258,0.9225369315474246,0.47984190461251836,0.9102432847812584,2.5454524913657593e-19,5.435562373956429e-18,4.654328604044761e-19,9.996690350777437e-18,4.503166447921339e-19,9.698908649495372e-18,-4.208259221733923e-18,-4.9585186855840503e-17,-5.964416536316756e-18,-7.099270528049898e-17,-9.738043850032957e-18,-1.1671101904814504e-16,-4.515259187866199e-17,-3.7100235853267373e-16,-4.4629024331418135e-17,-3.7636347761743115e-16,-4.317100122730603e-17,-3.675018619392583e-16
submission_h048_h042core_world_tail6_a0.58_0.1_c51_e428e193.csv,h042_candidate,0.0005512819278143848,0.04305671614590323,0.00248654352476323,0.25965423087007267,51,51,-0.00015848025307254796,0.0006771571839785905,1.8279105424551276e-07,-1.5558567688780172e-05,0.00011641758047307058,0.0016212438292402588,0.0012117997354426935,0.001546582899247482,0.0022310088148752003,0.003626209306946378,0.003908745641512063,0.00040944409379756533,0.0660565849981925,0.0014965883687657361,0.010930725689929,0.00015167421716968507,3.26405569239796e-17,-3.26405569239796e-17,0,0.017405804673342472,-0.00023812387947020762,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006894255750844588,0.0008274016891872556,0.027046363570160787,0.001297518190868983,0.04284400838600475,0.0016788581224151677,0.0559291692876128,0.00040637786104205946,0.01438098962697025,0.0009216837271589913,0.03290250487539858,0.0011534397559895006,0.041435040846569564,0.00016291571914609228,0.005343921050447729,0.00025364447220463257,0.008371284145322011,0.0003963274506759629,0.01314852494409593,3.536166156733411e-19,3.4323908670124975e-17,1.3318574912476337e-18,9.488958075864649e-17,-1.7408941472427833e-05,-0.0017686410961803146,-1.9242337748234385e-06,-0.00013763108462640008,-5.580644140857959e-05,-0.005900165178722534,-2.382605742898933e-05,-0.0017101130159095257,0.0009729576832658106,0.02088531565358087,0.0007110302081599174,0.015205865381168982,0.0008411254683800345,0.021598257217234202,0.0006450305311146555,0.01650855666849853,0.0007737850445844612,0.02311423826005677,0.0005465062198709209,0.0162728538167206,0.0008620722782282737,0.02854359282007903,0.0006600149457796964,0.02177512238374397,0.5799999999996104,0.9997619378964367,0.49343456169026545,0.9234139439795933,0.4803712538278322,0.911108610222173,2.5454524913657593e-19,5.4347342485493456e-18,4.654328604044761e-19,9.995167322855636e-18,4.503166447921339e-19,9.697430989573355e-18,-4.208259221733923e-18,-4.957763239316944e-17,-5.964416536316756e-18,-7.098188931355469e-17,-9.738043850032957e-18,-1.1669323774907956e-16,-4.515259187866199e-17,-3.7094583513030035e-16,-4.4629024331418135e-17,-3.763061374313252e-16,-4.317100122730603e-17,-3.6744587184879763e-16
submission_h048_h042core_world_tail6_a0.58_0.16_c51_c6e5ff64.csv,h042_candidate,0.0005540548744246515,0.04305671614590323,0.0024986363632044355,0.25965423087007267,51,51,-0.00015859392733933114,0.000682310251351768,3.418419517862347e-08,-1.589407250404616e-05,0.00011667745480830867,0.0016302418255351343,0.0012181882887054858,0.0015546808709915932,0.00224248246260146,0.003643844696339802,0.003930672342414628,0.00041205353682964856,0.06607560135247788,0.0014975749952496466,0.01102947856469641,0.0001531013271276838,3.26405569239796e-17,-3.26405569239796e-17,0,0.01749045454243091,-0.0002250072293338361,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006891697113489126,0.0008274016891872556,0.027036325962236023,0.001297518190868983,0.04282810786181826,0.0016788581224151677,0.05590841252038935,0.00040637786104205946,0.014375652468240161,0.0009216837271589913,0.03289029390134932,0.0011551744181261371,0.04148195440513977,0.00016291571914609228,0.0053419377825623384,0.00025364447220463257,0.008368177344370396,0.0003963274506759629,0.013143645185017212,3.536166156733411e-19,3.4311170176213126e-17,1.3318574912476337e-18,9.485436477091012e-17,-1.7408941472427833e-05,-0.0017679847075372712,-1.9242337748234385e-06,-0.00013758000615656603,-5.580644140857959e-05,-0.005897975474195279,-2.382605742898933e-05,-0.001709478348557066,0.0009732017129361078,0.020882800918727507,0.0007110302081599174,0.01520022208962419,0.0008412960063011195,0.02159461895766959,0.0006450305311146555,0.016502429914385646,0.0007744774980865276,0.023126337019965863,0.0005465062198709209,0.016266814538057298,0.0008635655452820784,0.028582423931855463,0.0006600149457796964,0.021767041070319536,0.5799999999996104,0.9993909002771035,0.4942501783491249,0.92459702046751,0.4811652776508029,0.9122759211358972,2.5454524913657593e-19,5.432717277527689e-18,4.654328604044761e-19,9.991457856684003e-18,4.503166447921339e-19,9.693832021087321e-18,-4.208259221733923e-18,-4.955923284623923e-17,-5.964416536316756e-18,-7.095554609100501e-17,-9.738043850032957e-18,-1.1664992985798516e-16,-4.515259187866199e-17,-3.7080816749728557e-16,-4.4629024331418135e-17,-3.761664804509175e-16,-4.317100122730603e-17,-3.6730950314305194e-16
submission_h048_h042core_world_tail6_a0.58_0.24_c51_c22824b6.csv,h042_candidate,0.0005577500152351968,0.04305671614590323,0.002514760147792709,0.25965423087007267,51,51,-0.0001587238623298783,0.0006861963833558704,-1.56875091867111e-07,-1.633330673736042e-05,0.00011702918384252117,0.0016422391539283026,0.001226706359722542,0.0015654781666504087,0.002257780659569805,0.003667358548864368,0.003959907943618048,0.00041553279420576054,0.06608336382992139,0.0014988904972281934,0.01115806831256196,0.0001550041404050154,3.26405569239796e-17,-3.26405569239796e-17,0,0.017603321034548824,-0.0002075183624853332,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006886457529368463,0.0008274016891872556,0.027015770923054815,0.001297518190868983,0.04279554672772089,0.0016788581224151677,0.05586590675938021,0.00040637786104205946,0.014364723020942001,0.0009216837271589913,0.032865288237459635,0.0011574873009749858,0.04153340847754406,0.00016291571914609228,0.0053378764415140945,0.00025364447220463257,0.008361815229435509,0.0003963274506759629,0.013133652401895004,3.536166156733411e-19,3.428508425579959e-17,1.3318574912476337e-18,9.478224938115272e-17,-1.7408941472427833e-05,-0.0017666405531952215,-1.9242337748234385e-06,-0.00013747540753539797,-5.580644140857959e-05,-0.005893491391663828,-2.382605742898933e-05,-0.00170817867512943,0.0009735270858298376,0.020873900739487743,0.0007110302081599174,0.015188665742765088,0.0008415233901958997,0.02158403322698878,0.0006450305311146555,0.016489883531643067,0.0007754007694226161,0.02313630309213985,0.0005465062198709209,0.016254447287764106,0.0008655565680204847,0.02862654250556965,0.0006600149457796964,0.02175049213601965,0.5799999999996104,0.9986310884912413,0.49533766722760414,0.9259268984184291,0.48222397608143047,0.9135880772491187,2.5454524913657593e-19,5.428586919110794e-18,4.654328604044761e-19,9.983861602370145e-18,4.503166447921339e-19,9.686462044216654e-18,-4.208259221733923e-18,-4.95215542069756e-17,-5.964416536316756e-18,-7.090160037249053e-17,-9.738043850032957e-18,-1.165612438478348e-16,-4.515259187866199e-17,-3.7052625136628965e-16,-4.4629024331418135e-17,-3.758804905292423e-16,-4.317100122730603e-17,-3.6703024695863984e-16
submission_h048_h042core_world_tail6_a0.58_0.34_c51_9c9b6ab7.csv,h042_candidate,0.0005623654539271133,0.04305671614590323,0.002534914878528052,0.25965423087007267,51,51,-0.0001588515396056021,0.0006910908645526946,-3.843243852576288e-07,-1.6869323292190823e-05,0.0001174772429397562,0.0016572358144197627,0.001237353948493863,0.0015789747862239283,0.002276903405780238,0.003696750864520076,0.003996452445122323,0.00041988186592589976,0.06606492130551225,0.0015005348747013773,0.011313713659757854,0.00015738265700168024,3.26405569239796e-17,-3.26405569239796e-17,0,0.017744404149696223,-0.0001856572789246975,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006876991165637214,0.0008274016891872556,0.026978634105910865,0.001297518190868983,0.04273671848262178,0.0016788581224151677,0.055789111543363135,0.00040637786104205946,0.014344976773697326,0.0009216837271589913,0.032820110470623595,0.0011603784045360465,0.04157991230715427,0.00016291571914609228,0.005330538811138485,0.00025364447220463257,0.008350320787760997,0.0003963274506759629,0.013115598427086345,3.536166156733411e-19,3.4237954788038006e-17,1.3318574912476337e-18,9.465195840875051e-17,-1.7408941472427833e-05,-0.0017642120677239033,-1.9242337748234385e-06,-0.00013728642906478639,-5.580644140857959e-05,-0.005885389993677628,-2.382605742898933e-05,-0.001705830553386462,0.0009739338019469998,0.020853915374657445,0.0007110302081599174,0.015167786875234113,0.0008418076200643748,0.02156164318815075,0.0006450305311146555,0.016467215964939757,0.000776554858592727,0.023138887346203594,0.0005465062198709209,0.016232103359899865,0.0008680453464434926,0.02866938965823663,0.0006600149457796964,0.021720593153993672,0.5799999999996104,0.9972583355080618,0.4966970283257033,0.9271916264361657,0.4835473491197151,0.9148359516114908,2.5454524913657593e-19,5.4211245949617176e-18,4.654328604044761e-19,9.970137439407195e-18,4.503166447921339e-19,9.67314669701696e-18,-4.208259221733923e-18,-4.945348015835762e-17,-5.964416536316756e-18,-7.080413656974562e-17,-9.738043850032957e-18,-1.1640101471311283e-16,-4.515259187866199e-17,-3.700169131103794e-16,-4.4629024331418135e-17,-3.7536379215019113e-16,-4.317100122730603e-17,-3.665257144318273e-16
submission_h048_h042core_world_tail6_a0.58_0.46_c51_c87f50b5.csv,h042_candidate,0.0005678987229414282,0.04305671614590323,0.002559100555410462,0.25965423087007267,51,51,-0.00015895384017954194,0.0006912118484101908,-6.40597050592843e-07,-1.7493439310813977e-05,0.00011802721682992394,0.0016752318070095142,0.001250131055019447,0.001595170729712151,0.0022998507012327554,0.003732021643306924,0.004040305846927451,0.0004251007519900673,0.06600190097426568,0.0015025081276691975,0.01149279254836161,0.0001602368769176777,3.26405569239796e-17,-3.26405569239796e-17,0,0.017913703887873094,-0.00015942397865195001,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.0002129788424984037,0.006861408120860377,0.0008274016891872556,0.026917501373126353,0.001297518190868983,0.04263987842834666,0.0016788581224151677,0.05566269517866221,0.00040637786104205946,0.014312471509403226,0.0009216837271589913,0.0327457411368952,0.0011638477288093195,0.04160972835659397,0.00016291571914609228,0.005318459978553429,0.00025364447220463257,0.008331399224594414,0.0003963274506759629,0.013085878895296691,3.536166156733411e-19,3.4160372663867873e-17,1.3318574912476337e-18,9.443748006050584e-17,-1.7408941472427833e-05,-0.0017602144188997272,-1.9242337748234385e-06,-0.00013697534235261222,-5.580644140857959e-05,-0.005872053885837486,-2.382605742898933e-05,-0.0017019651952298388,0.0009744218612875945,0.020817087729967276,0.0007110302081599174,0.01513341714923776,0.000842148695906545,0.02152150153744714,0.0006450305311146555,0.016429901773667602,0.00077793976559686,0.023127627715118587,0.0005465062198709209,0.016195321926364876,0.0008710318805511021,0.028702840047419412,0.0006600149457796964,0.021671374975935014,0.5799999999996104,0.9949985796174432,0.4983282616434221,0.9281287866695271,0.48513539676565637,0.9157606233292402,2.5454524913657593e-19,5.408840497851601e-18,4.654328604044761e-19,9.947545422868651e-18,4.503166447921339e-19,9.651227652120447e-18,-4.208259221733923e-18,-4.9341420134269064e-17,-5.964416536316756e-18,-7.064369663257299e-17,-9.738043850032957e-18,-1.161372536902098e-16,-4.515259187866199e-17,-3.6917846647197214e-16,-4.4629024331418135e-17,-3.745132296527567e-16,-4.317100122730603e-17,-3.656951787393588e-16
submission_h048_h042core_world_tail6_a0.66_0.06_c51_f19bd421.csv,h042_candidate,0.0006241641698663984,0.048488496918805524,0.0028186731902660415,0.2954686075418076,51,51,-0.00017464710670437377,0.0007672845322017861,2.439494809421307e-06,-1.4877428760099556e-05,0.00013430510824654165,0.001836796498664197,0.001373216858095733,0.001752644427924826,0.0025284474499999597,0.0041105650691379775,0.004428224549876946,0.00046357964056846414,0.06603362386561393,0.00170212978898923,0.010851559223299159,0.0001713153209548842,3.26405569239796e-17,-3.26405569239796e-17,0,0.01973071233186215,-0.0002827283077952636,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.00024235523456714986,0.006895440878640878,0.0009415260601096369,0.027051012860586553,0.001476486217195741,0.042851373303564685,0.0019104247599896753,0.05593878355426327,0.00046242997980648257,0.01438346173000223,0.001048812517111957,0.032908160840959474,0.0013109796804172756,0.04139305900297161,0.00018538685282141638,0.0053448396745323324,0.000288629916646652,0.00837272317542038,0.00045099330594161423,0.013150785185513506,3.536166156733411e-19,3.0168620009279637e-17,1.3318574912476337e-18,8.340214782237499e-17,-1.9810174778969474e-05,-0.0017689451269271152,-2.1896453299716423e-06,-0.00013765474351431698,-6.35038816028661e-05,-0.0059011794215948835,-2.7112410177815596e-05,-0.0017104069856349283,0.0011069399578049685,0.020884778006385857,0.0008091033403199084,0.015208479280969266,0.0009569898782963097,0.021598519228406138,0.000734000259544265,0.016511394501919817,0.0008798931958701217,0.023101911753165505,0.0006218863881289804,0.01627565113264274,0.0009796400082115221,0.028509537910919966,0.0007510514900251728,0.021778865543808947,0.6599999999995572,0.9999337977325078,0.5607632587120147,0.9223698972953157,0.5459174743765942,0.9100784764130371,2.5454524913657593e-19,4.776799576401729e-18,4.654328604044761e-19,8.785141802770835e-18,4.503166447921339e-19,8.523449744675844e-18,-4.208259221733923e-18,-4.357571181661879e-17,-5.964416536316756e-18,-6.238874677187573e-17,-9.738043850032957e-18,-1.0256623105307174e-16,-4.515259187866199e-17,-3.260387402735296e-16,-4.4629024331418135e-17,-3.3075011871264175e-16,-4.317100122730603e-17,-3.2296248624602707e-16
submission_h048_h042core_world_tail6_a0.66_0.1_c51_5238901d.csv,h042_candidate,0.0006260135455294006,0.048488496918805524,0.002826735082560179,0.2954686075418076,51,51,-0.0001747306183952765,0.0007698654228616041,2.337892398056856e-06,-1.510399351957957e-05,0.00013447648875085995,0.0018427951628607814,0.0013774758936042615,0.001758043075754234,0.0025360965484841325,0.0041223219954002605,0.004442842350478656,0.0004653192692565199,0.06605136805796676,0.0017027875399785036,0.010910539825865491,0.00017226672759355018,3.26405569239796e-17,-3.26405569239796e-17,0,0.01978714557792111,-0.0002739838743710097,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.00024235523456714986,0.006894629504176787,0.0009415260601096369,0.02704782981523105,0.001476486217195741,0.04284633105743979,0.0019104247599896753,0.05593220133547161,0.00046242997980648257,0.014381769253225424,0.001048812517111957,0.03290428859524865,0.0013121361218417003,0.04142469770375717,0.00018538685282141638,0.005344210756599034,0.000288629916646652,0.008371737971733044,0.00045099330594161423,0.013149237755629026,3.536166156733411e-19,3.0165070120545446e-17,1.3318574912476337e-18,8.339233403755915e-17,-1.9810174778969474e-05,-0.0017687369782489338,-2.1896453299716423e-06,-0.0001376385459214851,-6.35038816028661e-05,-0.005900485040136907,-2.7112410177815596e-05,-0.001710205725037416,0.0011071026442518335,0.02088538959595995,0.0008091033403199084,0.015206689725820666,0.0009571035702436998,0.02159854340557044,0.000734000259544265,0.016509451635016714,0.0008803548315381662,0.023111312375639622,0.0006218863881289804,0.016273736005249454,0.0009806355195807253,0.02853515126159617,0.0007510514900251728,0.021776302862804194,0.6599999999995572,0.999816137271989,0.5613070031512544,0.9231556349426261,0.5464468235919081,0.9108537433889236,2.5454524913657593e-19,4.776237498752948e-18,4.654328604044761e-19,8.784108070505178e-18,4.503166447921339e-19,8.522446805256813e-18,-4.208259221733923e-18,-4.357058433884835e-17,-5.964416536316756e-18,-6.238140559719695e-17,-9.738043850032957e-18,-1.0255416226411116e-16,-4.515259187866199e-17,-3.260003758653912e-16,-4.4629024331418135e-17,-3.3071119992484535e-16,-4.317100122730603e-17,-3.22924483815318e-16
submission_h048_h042core_world_tail6_a0.66_0.16_c51_23f639a1.csv,h042_candidate,0.0006287864921396676,0.048488496918805524,0.002838827921001384,0.2954686075418076,51,51,-0.00017484429266205974,0.0007745156031576826,2.189285538989967e-06,-1.5439498334845563e-05,0.00013473636308609804,0.0018517931591556576,0.001383864446867054,0.001766141047498346,0.002547570196210392,0.004139957384793686,0.004464769051381221,0.0004679287122886036,0.06607069311367593,0.0017037741664624136,0.010997772352416824,0.0001736938375515489,3.26405569239796e-17,-3.26405569239796e-17,0,0.01987179544700955,-0.000260867224234639,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.00024235523456714986,0.00689265297823938,0.0009415260601096369,0.027040075847139224,0.001476486217195741,0.04283404803561731,0.0019104247599896753,0.0559161669065572,0.00046242997980648257,0.014377646342786569,0.001048812517111957,0.03289485572002004,0.0013138707839783369,0.04146757055521765,0.00018538685282141638,0.00534267869876054,0.000288629916646652,0.00836933799400657,0.00045099330594161423,0.013145468182591723,3.536166156733411e-19,3.0156422513961097e-17,1.3318574912476337e-18,8.336842744314297e-17,-1.9810174778969474e-05,-0.0017682299235171543,-2.1896453299716423e-06,-0.00013759908823114276,-6.35038816028661e-05,-0.0058987935117207615,-2.7112410177815596e-05,-0.0017097154498207719,0.0011073466739221307,0.02088400453014239,0.0008091033403199084,0.015202330330345248,0.0009572741081647848,0.021596198970442196,0.000734000259544265,0.016504718768754763,0.0008810472850402327,0.023122860177947863,0.0006218863881289804,0.016269070713040002,0.0009821287866345302,0.028570410484421074,0.0007510514900251728,0.021770060115836702,0.6599999999995572,0.9995295138172033,0.5621226198101138,0.9242320106262214,0.5472408474148789,0.9119157753839473,2.5454524913657593e-19,4.7748682653091805e-18,4.654328604044761e-19,8.781589876100705e-18,4.503166447921339e-19,8.520003622900089e-18,-4.208259221733923e-18,-4.35580936908735e-17,-5.964416536316756e-18,-6.236352233514493e-17,-9.738043850032957e-18,-1.0252476243028669e-16,-4.515259187866199e-17,-3.259069193282253e-16,-4.4629024331418135e-17,-3.306163929067095e-16,-4.317100122730603e-17,-3.228319090630854e-16
submission_h048_h042core_world_tail6_a0.66_0.24_c51_f36a3603.csv,h042_candidate,0.0006324816329502128,0.048488496918805524,0.0028549517055896576,0.2954686075418076,51,51,-0.00017497422765260686,0.0007781870630186427,1.9982262519442323e-06,-1.587873256815982e-05,0.00013508809212031052,0.001863790487548825,0.0013923825178841101,0.0017769383431571607,0.0025628683931787372,0.004163471237318251,0.00449400465258464,0.0004714079696647149,0.06608286370734665,0.001705089668440961,0.011111721344434685,0.0001755966508288805,3.26405569239796e-17,-3.26405569239796e-17,0,0.019984661939127464,-0.00024337835738613657,51,9.894862706971707e-18,2.5118795932144166e-18,0,1.2434497875801754e-17,-1.2434497875801754e-17,0,2.801925358397739e-17,-1.647293412787576e-17,0,2.5451862839531715e-17,-1.9068080447937065e-17,0,3.441864848685583e-17,-1.7432236210090934e-17,0,0.00024235523456714986,0.0068886038801172925,0.0009415260601096369,0.027024191118765483,0.001476486217195741,0.04280888511736072,0.0019104247599896753,0.05588331888024129,0.00046242997980648257,0.014369200175397842,0.001048812517111957,0.03287553159345473,0.0013161836668271853,0.041516165259847984,0.00018538685282141638,0.005339540135082031,0.000288629916646652,0.008364421415315952,0.00045099330594161423,0.013137745859895347,3.536166156733411e-19,3.0138707083610014e-17,1.3318574912476337e-18,8.331945255001152e-17,-1.9810174778969474e-05,-0.0017671911745063833,-2.1896453299716423e-06,-0.00013751825546449737,-6.35038816028661e-05,-0.0058953282576587485,-2.7112410177815596e-05,-0.0017087110752150826,0.0011076720468158605,0.02087786895926914,0.0008091033403199084,0.01519339970125565,0.000957501492059565,0.02158863904449421,0.000734000259544265,0.016495023049851877,0.0008819705563763212,0.02313349340813862,0.0006218863881289804,0.016259513425899586,0.0009841198093729362,0.028611512161457773,0.0007510514900251728,0.021757271265184994,0.6599999999995572,0.9989423388803333,0.5632101086885931,0.9254760487930329,0.5482995458455064,0.913143235606545,2.5454524913657593e-19,4.7720632626219255e-18,4.654328604044761e-19,8.776431119495879e-18,4.503166447921339e-19,8.514998535486202e-18,-4.208259221733923e-18,-4.3532505431037667e-17,-5.964416536316756e-18,-6.232688680134232e-17,-9.738043850032957e-18,-1.0246453412279253e-16,-4.515259187866199e-17,-3.2571546487676905e-16,-4.4629024331418135e-17,-3.304221718687614e-16,-4.317100122730603e-17,-3.2264226103048253e-16
