q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h048_q2_coretail_q,h048_core_tail_prior,45,temperature_sample,7,0.0010410346357378278,0.0031472628969054445,0.6977443609012945,0.000890620743589431,0.0035005515547580947
h041_route_private_tempered_q,h048_public_core_tail,155,sample,10,0.0008904663249670706,0.0017411613904946908,0.8917293233070425,0.00089234748984235,0.004225799384234784
h041_route_public_q,h048_core_tail_prior,95,temperature_sample,7,0.0012521568427166605,0.00552918691279977,0.8721804511266182,0.0008938115081337631,0.003604767388476684
h048_q2_public_soft_q,h048_support_q2regime,59,temperature_sample,7,0.001134759974073945,0.005717137219456101,0.7413533834576255,0.0008956165865086081,0.003023038714345618
h048_q2_support_phase_q,h048_core_tail_prior,125,temperature_sample,7,0.0007788232102201914,0.00418264584749351,0.929323308269397,0.0008956459883726235,0.003582289179917656
h048_q2_public_soft_q,h041_public_not_private,125,sample,10,0.0008037123100981799,0.002567474791554095,0.9368421052618676,0.0008972688552807675,0.0034732161444118465
h041_route_public_q,h048_core_tail_prior,59,sample,10,0.0014458986610130886,0.002665003561308181,0.8977443609010195,0.0008977410222224227,0.002211323612926924
h012,h041_public_route,190,sample,10,0.0005297172692409101,0.0023800900540768845,0.9022556390965016,0.0008986622556695571,0.0012777914141155582
h012posterior,uniform,45,temperature_sample,7,0.0011372326673704683,0.0025201555905653918,0.7308270676681663,0.0008991919066608067,0.004852817239701148
h048_q2_coretail_q,uniform,45,sample,10,0.0012264499922600837,0.002634379619540043,0.8691729323296301,0.0009015217415096532,0.002162246390218902
h041_route_private_tempered_q,h041_memory_disagree_public,190,sample,10,0.000744243561979124,0.0018641889770340436,0.9308270676678909,0.0009019556935536129,0.004321625773431436
h012posterior,h048_support_identity_sharp,59,temperature_sample,7,0.0018911571260754553,0.003614583329214348,0.8225563909763107,0.0009038729071176672,0.003034417721008438
posterior_vector_mid,h041_public_route,95,sample,10,0.0009090268353020021,0.002362303820029891,0.956390977442292,0.0009048423720103653,0.001174593468202284
posterior_vector_mid,h048_support_identity_sharp,75,sample,10,0.0017298301939798265,0.0027280140751004744,0.9368421052618675,0.0009060179402810422,0.0022112879676984033
h041_route_private_tempered_q,h048_support_public,155,sample,10,0.000671333116619398,0.0035252615144570057,0.8436090225552291,0.0009083268278052981,0.0025058122749042084
h048_q2_public_soft_q,h048_support_public_not_private,45,temperature_sample,7,0.0006969461700856853,0.003494452736522819,0.7864661654124505,0.0009094573031900134,0.0024795288744999706
h048_q2_public_soft_q,h048_support_identity,75,temperature_sample,7,0.0015358115714695433,0.005521234795008949,0.9082706766904786,0.0009128945013123894,0.004598049694332587
h041_route_private_tempered_q,h048_public_core_tail,75,temperature_sample,7,0.0013002425979108088,0.00294968293093308,0.8345864661642641,0.0009150177346757245,0.004811126560118766
h012,h048_support_public,155,sample,10,0.0007852623565121014,0.0018413081931283278,0.975939849622716,0.0009159599775790102,0.0019303507643264484
h048_q2_coretail_q,uniform,45,temperature_sample,7,0.0014480909282792126,0.00449477274706229,0.6225563909765862,0.0009180190493564819,0.0038432085086506865
h041_route_private_tempered_q,h041_public_not_private,155,sample,10,0.0010125525871473233,0.002288938942955997,0.903759398494996,0.0009190777578019727,0.004094467694565443
h012,h048_core_tail_prior,59,sample,10,0.001234910458432601,0.0027722489913880348,0.8661654135326416,0.0009192924962369558,0.003940287864915681
h041_route_public_q,h048_support_q2regime,95,sample,10,0.0011257894913440927,0.003451544847202297,0.932330827066385,0.0009194956890440647,0.0016910806874859737
posterior_vector_mid,h048_support_identity_sharp,125,temperature_sample,7,0.0010042995322110458,0.0024412130382493675,0.9518796992468094,0.0009201449355114657,0.003812904021121912
posterior_vector_mid,h041_public_not_private,95,sample,10,0.0009581742467148598,0.003910648784968884,0.9503759398483151,0.0009223942874682937,0.0041700239379855
h041_route_public_q,h048_support_identity,59,temperature_sample,7,0.0015719100231210402,0.0023572615960814275,0.8285714285702873,0.0009230702082821046,0.0029051741532144255
h041_route_private_tempered_q,uniform,155,sample,10,0.0011760903357716994,0.0024315210635697257,0.8887218045100543,0.0009248949175818252,0.0037745042434458803
h048_q2_public_soft_q,h048_support_q2regime,45,sample,10,0.0015004217136854623,0.004404213928827309,0.9503759398483151,0.0009260791152110315,0.00438703932140044
h012,h048_core_tail_prior,75,temperature_sample,7,0.0009831923283612947,0.0019180265233163913,0.7142857142847305,0.0009276787126149749,0.0034535642502324746
h048_q2_support_phase_q,h048_public_core_tail,95,sample,10,0.001389961637814584,0.0030999528852475823,0.9368421052618675,0.000927783596847569,0.0026323966630843786
h041_route_private_tempered_q,h048_support_public,190,sample,10,0.0010873134934080157,0.003140914048804522,0.9172932330814434,0.0009282685172931203,0.0036946771069639884
posterior_vector_mid,h048_core_tail_prior,59,sample,10,0.0009067943195798046,0.0027534168175658786,0.9022556390965015,0.0009285508633966651,0.002949154285097214
h048_q2_support_phase_q,h048_support_identity_sharp,59,temperature_sample,7,0.0010886250224730904,0.005742848690496493,0.9007518796980075,0.0009289515601693226,0.0032154383842605185
h012posterior,h048_support_public,59,sample,10,0.0016685971038446403,0.003586604424042372,0.8962406015025249,0.0009294120041233016,0.002451814096827787
h048_q2_support_phase_q,h048_public_core_tail,125,sample,10,0.0005424159183913429,0.003034933410607673,0.9037593984949958,0.0009295141069988704,0.0021920420232651137
posterior_vector_mid,h041_memory_disagree_public,75,temperature_sample,7,0.001632675447780682,0.0034303842060224832,0.8631578947356533,0.0009304704148936297,0.003974244905443355
h012posterior,h048_support_q2regime,45,sample,10,0.0009103362055490956,0.0042856883267983325,0.8902255639085485,0.0009308449973853501,0.004098050821822072
h048_q2_coretail_q,h048_support_identity_sharp,155,sample,10,0.0009956826002153253,0.0018005736403803126,0.8947368421040308,0.0009312973747121778,0.0023786302164753425
h041_route_public_q,h041_public_route,190,temperature_sample,7,0.0010553547231167333,0.0038609826659699933,0.9037593984949961,0.0009314586550105731,0.002816044844179159
h041_route_private_tempered_q,h048_core_tail_prior,190,sample,10,0.0005989246435826718,0.002747716912953257,0.9353383458633734,0.0009339666581966038,0.0030644361814868293
posterior_vector_mid,h048_support_public,45,temperature_sample,7,0.001914548191558256,0.005138587393748288,0.8451127819537234,0.0009349865663210787,0.0024213387745190733
h012posterior,h048_core_tail_prior,95,sample,10,0.001062923721541605,0.0022410352338841184,0.9609022556377743,0.0009351486906007588,0.0015924647259915048
h048_q2_coretail_q,uniform,59,sample,10,0.0008287335953047065,0.002722774068222921,0.8661654135326415,0.0009358560848110323,0.0023944501903278848
h041_route_private_tempered_q,h041_public_not_private,95,sample,10,0.0009546502024019785,0.004179753424426047,0.9368421052618676,0.0009387350395144668,0.004401307461198289
h041_route_private_tempered_q,h041_public_not_private,45,sample,10,0.001546097606816069,0.003684186287332171,0.8962406015025249,0.0009390168854018415,0.004619059292414235
h041_route_public_q,h041_public_not_private,190,temperature_sample,7,0.0007475547302495382,0.0015614012932651164,0.9112781954874668,0.000939637448134616,0.00150641610890429
h048_q2_support_phase_q,h048_support_q2regime,125,sample,10,0.0006474435812904579,0.001455602176452638,0.9428571428558442,0.0009403873884013921,0.00224872278764348
h012,h041_memory_disagree_public,59,temperature_sample,7,0.0010132312420985366,0.00316404152270158,0.8661654135326416,0.0009421575181626906,0.0045158167941212685
h041_route_public_q,h048_core_tail_prior,59,temperature_sample,7,0.0027320013741934826,0.006127095276250907,0.9293233082693969,0.0009430882608658681,0.0017549217863797855
h041_route_private_tempered_q,h048_support_q2regime,59,temperature_sample,7,0.0009994197349674646,0.0036487830798671377,0.6887218045103296,0.0009476991705664335,0.006826039890640854
posterior_vector_mid,h048_support_identity_sharp,59,temperature_sample,7,0.0009533204849544081,0.0024414046239172376,0.9157894736829493,0.0009495925518142132,0.004937693888359978
h048_q2_support_phase_q,h041_public_route,155,sample,10,0.0008473147472091776,0.0017403870795193524,0.914285714284455,0.0009497667420664399,0.0013582134753361372
h048_q2_coretail_q,h041_memory_disagree_public,45,sample,10,0.0010816273998386302,0.004435328050981913,0.9112781954874666,0.0009510041448877096,0.004686942755312607
h048_q2_support_phase_q,h048_support_q2regime,190,temperature_sample,7,0.0008991386845770826,0.003825861855548065,0.932330827066385,0.0009510763131803824,0.004215270263164798
h041_route_private_tempered_q,h048_support_public_not_private,45,temperature_sample,7,0.0014703736080102275,0.007688494825804778,0.6887218045103296,0.0009515428370297372,0.004304591803204977
posterior_vector_mid,h041_public_route,75,sample,10,0.0013619159419112788,0.0017622051892083209,0.9203007518784319,0.0009517806322724184,0.0024806869592436803
h041_route_public_q,h048_support_public_not_private,75,temperature_sample,7,0.001164784589973331,0.0027104503611175127,0.6872180451118354,0.0009531735433619733,0.0030543824621879663
h048_q2_public_soft_q,h048_support_q2regime,95,temperature_sample,7,0.0015068878355971715,0.0037575719227832378,0.8541353383446884,0.0009532428184417723,0.002480439945345518
h012,uniform,75,sample,10,0.000777135169084729,0.004621741581656443,0.9067669172919843,0.0009534158986569967,0.002479479299246054
h048_q2_support_phase_q,h041_memory_disagree_public,190,sample,10,0.0005312456992050588,0.0025203978000095887,0.9714285714272336,0.0009535571905172639,0.002007209160301674
h048_q2_support_phase_q,h048_support_q2regime,59,sample,10,0.001196883219137958,0.002155729798238086,0.9338345864648794,0.000956035014071991,0.002632251610604392
posterior_vector_mid,h048_support_identity,155,temperature_sample,7,0.000658702864935852,0.0028349508091862707,0.9278195488709027,0.0009563600524305916,0.002922174085609486
h048_q2_public_soft_q,h041_public_not_private,45,sample,10,0.001294445926289422,0.004525757059570194,0.9097744360889726,0.0009569263256178271,0.003030619846220459
h041_route_public_q,h048_support_public,155,temperature_sample,7,0.0006862542743292885,0.0019904943194643545,0.8872180451115599,0.0009577293627532422,0.0035636800374312695
h041_route_public_q,uniform,190,temperature_sample,7,0.0009032597917065386,0.002940062008478278,0.8751879699236068,0.0009579059067511015,0.0034414061300407205
h048_q2_public_soft_q,uniform,155,sample,10,0.0006701731327069104,0.002636909209756273,0.9323308270663853,0.0009591560576559532,0.001720958835663755
