candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012,h048_world_delta_vs_h012,h048_world_iqr
h048_h042core_world_tail6_a0.58_0.06_c51_dd5c9987,submission_h048_h042core_world_tail6_a0.58_0.06_c51_dd5c9987.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.06_c51_dd5c9987.csv,h042core_world_tail6_a0.58_0.06,h042core_world_tail6_a0.58_0.06,2,51,51,0.0038460278650596516,0.04305671614590323,0.017349371427283523,0.25965423087007267,-0.00015839674138164517,0.0006752999195898449,2.84393465609965e-07,-1.533200292930016e-05,-5.677718412763177e-05,0.0007797101640032725
h048_h042core_world_tail6_a0.58_0.1_c51_e428e193,submission_h048_h042core_world_tail6_a0.58_0.1_c51_e428e193.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.1_c51_e428e193.csv,h042core_world_tail6_a0.58_0.1,h042core_world_tail6_a0.58_0.1,2,51,51,0.003858973494700669,0.04305671614590323,0.017405804673342486,0.25965423087007267,-0.00015848025307254796,0.0006771571839785905,1.8279105424551276e-07,-1.5558567688780172e-05,-5.641004100751955e-05,0.0007829073322700585
h048_h042core_world_tail6_a0.58_0.16_c51_c6e5ff64,submission_h048_h042core_world_tail6_a0.58_0.16_c51_c6e5ff64.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.16_c51_c6e5ff64.csv,h042core_world_tail6_a0.58_0.16,h042core_world_tail6_a0.58_0.16,2,51,51,0.0038783841209725357,0.04305671614590323,0.017490454542430926,0.25965423087007267,-0.00015859392733933114,0.000682310251351768,3.418419517862347e-08,-1.589407250404616e-05,-5.584653566180185e-05,0.0007893146732883218
h048_h042core_world_tail6_a0.58_0.24_c51_c22824b6,submission_h048_h042core_world_tail6_a0.58_0.24_c51_c22824b6.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.24_c51_c22824b6.csv,h042core_world_tail6_a0.58_0.24,h042core_world_tail6_a0.58_0.24,2,51,51,0.0039042501066463516,0.04305671614590323,0.017603321034548838,0.25965423087007267,-0.0001587238623298783,0.0006861963833558704,-1.56875091867111e-07,-1.633330673736042e-05,-5.507133005158815e-05,0.000799831524959696
h048_h042core_world_tail6_a0.58_0.34_c51_9c9b6ab7,submission_h048_h042core_world_tail6_a0.58_0.34_c51_9c9b6ab7.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.34_c51_9c9b6ab7.csv,h042core_world_tail6_a0.58_0.34,h042core_world_tail6_a0.58_0.34,2,51,51,0.003936558177489767,0.04305671614590323,0.017744404149696236,0.25965423087007267,-0.0001588515396056021,0.0006910908645526946,-3.843243852576288e-07,-1.6869323292190823e-05,-5.4063992041068536e-05,0.0008099673074259267
h048_h042core_world_tail6_a0.58_0.46_c51_c87f50b5,submission_h048_h042core_world_tail6_a0.58_0.46_c51_c87f50b5.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.58_0.46_c51_c87f50b5.csv,h042core_world_tail6_a0.58_0.46,h042core_world_tail6_a0.58_0.46,2,51,51,0.003975291060589972,0.04305671614590323,0.017913703887873108,0.25965423087007267,-0.00015895384017954194,0.0006912118484101908,-6.40597050592843e-07,-1.7493439310813977e-05,-5.27990126220252e-05,0.000817550018793241
h048_h042core_world_tail6_a0.66_0.06_c51_f19bd421,submission_h048_h042core_world_tail6_a0.66_0.06_c51_f19bd421.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.06_c51_f19bd421.csv,h042core_world_tail6_a0.66_0.06,h042core_world_tail6_a0.66_0.06,2,51,51,0.004369149189064762,0.048488496918805524,0.019730712331862153,0.2954686075418076,-0.00017464710670437377,0.0007672845322017861,2.439494809421307e-06,-1.4877428760099556e-05,-5.796093634909186e-05,0.000887028753924222
h048_h042core_world_tail6_a0.66_0.1_c51_5238901d,submission_h048_h042core_world_tail6_a0.66_0.1_c51_5238901d.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.1_c51_5238901d.csv,h042core_world_tail6_a0.66_0.1,h042core_world_tail6_a0.66_0.1,2,51,51,0.004382094818705778,0.048488496918805524,0.019787145577921116,0.2954686075418076,-0.0001747306183952765,0.0007698654228616041,2.337892398056856e-06,-1.510399351957957e-05,-5.7593793228979614e-05,0.0008899945420218865
h048_h042core_world_tail6_a0.66_0.16_c51_23f639a1,submission_h048_h042core_world_tail6_a0.66_0.16_c51_23f639a1.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.16_c51_23f639a1.csv,h042core_world_tail6_a0.66_0.16,h042core_world_tail6_a0.66_0.16,2,51,51,0.004401505444977645,0.048488496918805524,0.019871795447009552,0.2954686075418076,-0.00017484429266205974,0.0007745156031576826,2.189285538989967e-06,-1.5439498334845563e-05,-5.703028788326194e-05,0.0008948123753057887
h048_h042core_world_tail6_a0.66_0.24_c51_f36a3603,submission_h048_h042core_world_tail6_a0.66_0.24_c51_f36a3603.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.24_c51_f36a3603.csv,h042core_world_tail6_a0.66_0.24,h042core_world_tail6_a0.66_0.24,2,51,51,0.004427371430651462,0.048488496918805524,0.01998466193912747,0.2954686075418076,-0.00017497422765260686,0.0007781870630186427,1.9982262519442323e-06,-1.587873256815982e-05,-5.6255082273048254e-05,0.0009064134814165408
